LSP,L Q D,L Q D_3,L Q_3 D,L Q_3 D_3,L_3 Q D,L_3 Q D_3,L_3 Q_3 D,L_3 Q_3 D_3
['B'],"{'jjjjll', 'jjjjE', 'jjjjlE'}","{'bbjjlE', 'bbjjll', 'bbjjE'}","{'tbjjlE', 'ttjjll', 'bbjjE'}","{'ttbbll', 'tbbblE', 'bbbbE'}","{'jjjjTT', 'jjjjTE', 'jjjjE'}","{'bbjjTE', 'bbjjTT', 'bbjjE'}","{'ttjjTT', 'tbjjTE', 'bbjjE'}","{'tbbbTE', 'bbbbE', 'ttbbTT'}"
"['W^+', 'W^0']","{'jjjjLLLLE', 'jjjjll', 'vvjjjjjjlE', 'vv33jjjjE', 'vv33jjjjlE', 'jjjjLE', 'jjjjTTllll', 'jjjjTTTTll', '33jjjjLLE', 'vvvvjjjjE', 'jjjjE', 'vvjjjjLLE', 'jjjjLLE', '33jjjjjjll', 'jjjjjjE', 'jjjjjjTTll', 'jjjjTTll', 'vv33jjjjll', 'jjjjllllll', '33jjjjll', 'vvjjjjll', '3333jjjjE', 'vvjjjjTTll', '33jjjjjjlE', 'jjjjjjLE', 'jjjjjjLLE', 'vvjjjjLLlE', '33jjjjllll', 'jjjjjjjjE', 'jjjjjjjjll', '33jjjjjjE', '3333jjjjlE', '33jjjjE', 'jjjjLLLLlE', 'jjjjllll', 'jjjjLLLE', 'jjjjjjLLlE', '33jjjjTTll', '3333jjjjll', '33jjjjLLlE', 'vvvvjjjjll', 'vvjjjjE', 'vvvvjjjjlE', 'jjjjjjll', 'vvjjjjllll', 'jjjjjjjjlE', 'vvjjjjjjE', 'vvjjjjLE', '33jjjjLE', 'jjjjjjllll', 'vvjjjjjjll'}","{'v3bjjlE', 'v3bjjE', 'vv33jjE', 'bbjjll', 'vv33jjll', 'vv33jjlE', 'bbjjE', 'bbjjlE', 'v3bjjll'}","{'ttjjjjTTll', 'ttjjjjjjll', 'ttjjLLLllE', '3tjjTTll', 'vvtbjjjjlE', '33bbjjTTE', 'vvttjjLllE', '3tjjLLllE', 'vvvvtbjjlE', '33bbjjjjE', 'tbjjTTTTlE', 'ttjjTTllll', '333bjjE', 'bbjjjjTTE', 'tbjjLLLlE', 'vv33tbjjlE', 'vv33jjllE', '33ttjjLllE', '3tjjjjlllE', '33jjllllE', '3333jjllE', '33jjll', 'vvbbjjjjE', 'bbjjLLLE', '33jjTTllE', '333tjjlllE', '3333jjlE', '333tjjll', 'vvbbjjTTE', 'vv3tjjll', '33jjLlE', 'tbjjjjjjlE', '3tjjllll', '3333ttjjll', '3tjjTTlllE', 'bbjjTTTTE', 'bbjjjjLE', '33jjLLlE', '3bjjLE', '33tbjjTTlE', '33jjjjlE', 'vv3tjjlllE', '3333tbjjlE', 'ttjjjjllll', '33jjlE', '33jjE', 'vvttjjllll', 'vvtbjjLlE', 'vvvvbbjjE', '3tjjlllllE', 'vvbbjjLE', '3tjjjjll', 'vv3bjjE', 'vvvvttjjll', 'tbjjjjLlE', 'vv33jjlE', 'vvttjjjjll', '33ttjjjjll', 'tbjjjjTTlE', '33bbjjLE', 'ttjjTTTTll', 'ttjjjjLllE', '33tbjjLlE', 'bbjjjjjjE', '33ttjjllll', 'vvtbjjTTlE', '33jjjjllE', 'vv33ttjjll', 'vv33bbjjE', '3bjjjjE', '3bjjLLE', '3333bbjjE', 'ttjjllllll', 'vvttjjTTll', '33ttjjTTll', '33tbjjjjlE'}","{'33bbE', 'vv33bbE', 'vv33ttll', 'vv33tblE', '33bblE', 'v333blE', 'v33bbE', 'v33tbll', '33bbll'}","{'jjjjLLLLE', 'vv33jjjjE', 'jjjjLE', 'jjjjTTllll', 'jjjjTTTTll', '33jjjjTT', 'vvjjjjTT', '3333jjjjTT', '33jjjjLLE', 'vvvvjjjjE', 'jjjjE', 'vvjjjjLLE', 'jjjjTTTTTT', 'jjjjjjjjTT', 'jjjjLLE', '33jjjjLLTE', 'jjjjjjLLTE', 'jjjjjjTTll', 'jjjjjjE', 'jjjjTTll', '3333jjjjE', 'vvjjjjjjTE', 'vvjjjjTTll', 'jjjjjjLE', 'vvjjjjjjTT', '3333jjjjTE', 'jjjjjjLLE', 'jjjjTTTT', 'jjjjjjTTTT', 'jjjjjjjjE', 'vvjjjjLLTE', '33jjjjjjE', '33jjjjTTTT', '33jjjjE', 'jjjjjjTT', 'jjjjjjjjTE', '33jjjjjjTE', 'jjjjLLLLTE', 'vvvvjjjjTE', 'jjjjLLLE', 'vvjjjjTTTT', '33jjjjTTll', 'vv33jjjjTT', 'vv33jjjjTE', 'vvvvjjjjTT', '33jjjjjjTT', 'vvjjjjE', 'jjjjTT', 'vvjjjjjjE', 'vvjjjjLE', '33jjjjLE'}","{'vv33jjTE', 'vv33jjTT', 'v3bjjE', 'vv33jjE', 'v3bjjTE', 'v3bjjTT', 'bbjjTT', 'bbjjE', 'bbjjTE'}","{'ttjjjjTTll', '333tjjTTTE', '3tjjTTll', '3333jjTE', 'vv3tjjTTTE', 'vv33tbjjTE', 'tbjjTllllE', 'vv33jjTE', 'ttjjjjTTTT', '33jjTTTTE', 'vvtbjjLTE', '33bbjjjjE', '33ttjjTTTT', '33jjTT', 'ttjjTTllll', '333bjjE', '3tjjjjTT', '3tjjLLTTE', '3333jjTTE', 'tbjjjjLTE', 'vvttjjTTTT', '3tjjTTTllE', '33tbjjTllE', 'vvtbjjjjTE', 'tbjjjjjjTE', 'vvbbjjjjE', '3tjjTTTTTE', 'bbjjLLLE', '33jjTTllE', '33ttjjLTTE', '33jjjjTTE', 'tbjjjjTllE', 'vv33ttjjTT', 'bbjjllllE', 'bbjjjjLE', '33jjLTE', '33jjTE', '3bjjLE', '33bbjjllE', 'vvvvttjjTT', '33jjE', '3333tbjjTE', 'vvvvbbjjE', 'vvvvtbjjTE', 'vvbbjjLE', 'vv3bjjE', 'vv3tjjTT', '3333ttjjTT', '333tjjTT', 'ttjjTTTTTT', 'tbjjLLLTE', 'ttjjLLLTTE', '3tjjTTTT', 'vv33jjTTE', '33ttjjjjTT', '33bbjjLE', 'vvtbjjTllE', '33jjLLTE', 'ttjjTTTTll', 'ttjjjjjjTT', 'bbjjjjjjE', 'vvbbjjllE', 'vv33bbjjE', '3bjjjjE', '3bjjLLE', '33tbjjjjTE', '33jjjjTE', 'vvttjjLTTE', '3333bbjjE', '33tbjjLTE', 'vvttjjjjTT', 'vvttjjTTll', 'bbjjjjllE', '33ttjjTTll', '3tjjjjTTTE', 'ttjjjjLTTE'}","{'33bbTT', '33bbE', 'vv33bbE', 'vv33tbTE', 'v33tbTT', 'vv33ttTT', 'v333bTE', 'v33bbE', '33bbTE'}"
['G'],"{'jjjjll', 'jjjjjjjjE', 'jjjjjjjjll', '33jjjjjjE', '3333jjjjlE', '33jjjjE', 'jjjjE', 'jjjjlE', '3333jjjjll', 'jjjjjjE', '33jjjjll', 'jjjjjjll', '33jjjjjjlE', '3333jjjjE', 'jjjjjjjjlE', 'jjjjjjlE', '33jjjjjjll', '33jjjjlE'}","{'bbjjjjjjll', '3333bbjjll', 'bbjjjjll', '33bbjjjjll', '33bbjjlE', 'bbjjll', 'bbjjjjjjE', 'bbjjjjE', 'bbjjE', 'bbjjlE', '3333bbjjlE', '33bbjjll', '33bbjjjjE', '3333bbjjE', '33bbjjjjlE', '33bbjjE', 'bbjjjjjjlE', 'bbjjjjlE'}","{'tbbbbbjjlE', '333bjjjjE', 'tttbbbjjlE', 'ttbbjjE', '33jjjjjjE', 'ttbbbbjjll', '3333jjjjlE', 'tttttbjjlE', 'ttbbjjll', 'ttttttjjll', 'bbjjE', '3bjjjjE', 'ttbbbbjjE', 'bbbbbbjjE', 'bbbbjjE', '3tjjjjll', 'tbjjlE', 'tbbbjjlE', 'ttttbbjjE', '33jjjjjjlE', '333tjjjjll', 'tttbjjlE', 'ttttjjll', 'ttjjll', 'ttttbbjjll', '33jjjjjjll', '33jjjjlE'}","{'ttbbbbbbE', '3bbbjjE', '333tbbjjll', 'bbbbbbE', 'tbbbbblE', 'ttttbbbbE', 'tbbblE', '33bbjjjjll', '33bbjjlE', 'bbbbE', 'bbbbbbbbE', 'ttbbll', 'tbbbbbbblE', 'tttbbbbblE', '3tbbjjll', 'ttbbbbE', '3333bbjjlE', 'ttttbbbbll', 'tttttbbblE', '333bbbjjE', '33bbjjjjE', 'ttttbbll', '33bbjjjjlE', 'tttbbblE', 'ttttttbbll', 'ttbbbbll', 'ttbbbbbbll'}","{'jjjjjjjjE', '33jjjjjjE', 'jjjjTE', '33jjjjE', '33jjjjTT', '3333jjjjTT', 'jjjjjjTE', '33jjjjjjTE', 'jjjjE', 'jjjjjjTT', 'jjjjjjjjTE', 'jjjjjjjjTT', '33jjjjTE', '33jjjjjjTT', 'jjjjTT', '3333jjjjE', '3333jjjjTE', 'jjjjjjE'}","{'3333bbjjTT', 'bbjjjjjjTE', 'bbjjjjjjTT', 'bbjjjjTE', '33bbjjTT', 'bbjjjjTT', 'bbjjjjjjE', 'bbjjjjE', '33bbjjjjTE', 'bbjjE', '33bbjjjjE', '3333bbjjE', '33bbjjE', '33bbjjTE', '3333bbjjTE', 'bbjjTT', 'bbjjTE', '33bbjjjjTT'}","{'333bjjjjE', 'ttbbjjTT', 'ttbbjjE', 'tttbjjTE', '33jjjjjjE', 'ttttbbjjTT', 'ttttjjTT', 'tbbbjjTE', '33jjjjjjTE', 'bbjjE', '333tjjjjTT', '3bjjjjE', 'ttjjTT', 'ttbbbbjjE', 'bbbbbbjjE', '33jjjjTE', 'tttbbbjjTE', 'bbbbjjE', '33jjjjjjTT', 'ttbbbbjjTT', '3tjjjjTT', 'tbbbbbjjTE', '3333jjjjTE', 'tttttbjjTE', 'ttttttjjTT', 'tbjjTE', 'ttttbbjjE'}","{'ttbbbbbbE', '3bbbjjE', 'bbbbbbE', 'tttttbbbTE', 'ttttbbTT', 'tbbbbbTE', 'ttttbbbbE', 'tttbbbbbTE', 'bbbbE', 'bbbbbbbbE', 'ttbbTT', 'ttbbbbTT', 'ttttttbbTT', '33bbjjjjTE', 'ttbbbbE', '333tbbjjTT', 'ttttbbbbTT', '3tbbjjTT', 'tbbbbbbbTE', '333bbbjjE', '33bbjjjjE', 'tbbbTE', 'tttbbbTE', '33bbjjTE', '3333bbjjTE', '33bbjjjjTT', 'ttbbbbbbTT'}"
"['H^+', 'H^0']","{'vvjjjjlE', 'vvjjjjE', 'vvjjjjll'}","{'v3bjjlE', 'v3bjjE', '33jjlE', '33jjE', 'vvbbjjll', 'vvbbjjlE', '33jjll', 'v3bjjll', 'vvbbjjE'}","{'33jjlE', 'v33jjll', 'vv33jjE', '33jjE', 'vv33jjll', '33jjll', 'vv33jjlE', 'v33jjE', 'v33jjlE'}","{'333blE', '33bbE', 'vv33bbE', 'v333bll', '3333ll', 'vv33bblE', 'v333blE', 'vv33bbll', 'v33bbE'}","{'vvjjjjTT', 'vvjjjjE', 'vvjjjjTE'}","{'v3bjjE', 'vvbbjjTT', '33jjE', 'v3bjjTE', '33jjTT', 'v3bjjTT', 'vvbbjjTE', '33jjTE', 'vvbbjjE'}","{'vv33jjTE', 'vv33jjTT', 'v33jjTT', 'vv33jjE', '33jjE', '33jjTT', 'v33jjTE', '33jjTE', 'v33jjE'}","{'33bbE', 'vv33bbE', '3333TT', 'vv33bbTT', '333bTE', 'v333bTT', 'v333bTE', 'v33bbE', 'vv33bbTE'}"
['q'],"{'jjjjll', 'jjE', 'jjlE', 'jjll', 'jjjjjjlE', 'jjjjjjll', 'jjjjE', 'jjjjlE', 'jjjjjjE'}","{'bbE', 'bbjjjjll', 'bbjjll', 'bblE', 'bbll', 'bbjjjjE', 'bbjjE', 'bbjjjjlE', 'bbjjlE'}","{'33jjjjE', '33jjjjll', '33jjjjlE'}","{'33bbjjE', '33bbjjll', '33bbjjlE'}","{'jjE', 'jjTE', 'jjjjTT', 'jjjjTE', 'jjjjjjTE', 'jjjjjjTT', 'jjjjE', 'jjjjjjE', 'jjTT'}","{'bbE', 'bbjjjjTE', 'bbjjjjTT', 'bbTT', 'bbjjjjE', 'bbjjTT', 'bbjjE', 'bbTE', 'bbjjTE'}","{'33jjjjE', '33jjjjTE', '33jjjjTT'}","{'33bbjjTT', '33bbjjTE', '33bbjjE'}"
['d'],"{'jjjjll', 'jjE', 'jjlE', 'jjll', 'jjjjjjlE', 'jjjjjjll', 'jjjjE', 'jjjjlE', 'jjjjjjE'}","{'bbjjjjll', 'bbjjjjE', 'bbjjjjlE'}","{'tbjjjjlE', 'bbE', 'tbjjlE', 'ttll', 'ttjjjjll', 'bbjjjjE', 'bbjjE', 'ttjjll', 'tblE'}","{'ttbbjjll', 'bbbbjjE', 'tbbbjjlE'}","{'jjE', 'jjTE', 'jjjjTT', 'jjjjTE', 'jjjjjjTE', 'jjjjjjTT', 'jjjjE', 'jjjjjjE', 'jjTT'}","{'bbjjjjTT', 'bbjjjjE', 'bbjjjjTE'}","{'tbjjjjTE', 'bbE', 'ttjjjjTT', 'ttTT', 'tbTE', 'bbjjjjE', 'tbjjTE', 'bbjjE', 'ttjjTT'}","{'tbbbjjTE', 'ttbbjjTT', 'bbbbjjE'}"
['u'],"{'jjjjjjE', 'jjjjjjll', 'jjjjjjlE'}","{'bbjjjjll', 'bbjjjjE', 'bbjjjjlE'}","{'ttjjjjll', 'bbjjjjE', 'tbjjjjlE'}","{'ttbbjjll', 'bbbbjjE', 'tbbbjjlE'}","{'jjjjjjE', 'jjjjjjTE', 'jjjjjjTT'}","{'bbjjjjTT', 'bbjjjjE', 'bbjjjjTE'}","{'tbjjjjTE', 'ttjjjjTT', 'bbjjjjE'}","{'tbbbjjTE', 'ttbbjjTT', 'bbbbjjE'}"
"['l', 'nu']","{'jjjjll', 'jjjj', 'jjjjlE', 'jjjjE', 'jjjjllE', 'jjjjllll', 'jjjjlllE'}","{'bbjjllE', 'bbjjlllE', 'bbjj', 'bbjjE', 'bbjjlE', 'bbjjllll', 'bbjjll'}","{'33jjll', '33jjllE', '33jjllll', '33jj', '33jjlE', '33jjlllE', '33jjE'}","{'33bbE', '33bblE', '33bbllE', '33bblllE', '33bbll', '33bb', '33bbllll'}","{'jjjjLTlE', 'jjjjTTll', 'jjjjE', 'jjjjLLE', 'jjjjLE'}","{'bbjjLE', 'bbjjLTlE', 'bbjjE', 'bbjjTTll', 'bbjjLLE'}","{'33jjLLE', '33jjTTll', '33jjE', '33jjLTlE', '33jjLE'}","{'33bbE', '33bbLLE', '33bbLTlE', '33bbLE', '33bbTTll'}"
['e'],"{'jjjjllll', 'jjjjlllE', 'jjjjllE'}","{'bbjjllE', 'bbjjlllE', 'bbjjllll'}","{'bbjjllE', 'tbjjlllE', 'ttjjllll'}","{'bbbbllE', 'tbbblllE', 'ttbbllll'}","{'jjjjTllE', 'jjjjTTll', 'jjjjllE'}","{'bbjjllE', 'bbjjTTll', 'bbjjTllE'}","{'bbjjllE', 'tbjjTllE', 'ttjjTTll'}","{'bbbbllE', 'tbbbTllE', 'ttbbTTll'}"
"['b_L', 't_L']","{'33jjjjE', '33jjjjll', '33jjjjlE'}","{'3333jjlE', '3333jjE', '3333jjll'}","{'jjE', 'jjlE', '33jjlE', 'jjll', '3333jjE', '33jjE', '3333jjll', '33jjll', '3333jjlE'}","{'333blE', '33bbE', '33333blE', 'bbE', '333333ll', '3333bbE', '333bll', 'bblE', 'bbll'}","{'33jjjjE', '33jjjjTE', '33jjjjTT'}","{'3333jjE', '3333jjTT', '3333jjTE'}","{'jjE', '3333jjE', 'jjTE', '3333jjTT', '33jjE', '33jjTT', '3333jjTE', '33jjTE', 'jjTT'}","{'33bbE', '333333TT', 'bbE', '33333bTE', '333bTT', '3333bbE', '333bTE', 'bbTT', 'bbTE'}"
