Mother,Daughter,Transitions
H^pm,e,E
H^pm,l,E
H^pm,nu,l
H^pm,tau,E
H^pm,tau_L,E
H^pm,nu_tau,T
H^pm,d,j
H^pm,q,j
H^pm,u,j
e,H^pm,E
l,H^pm,E
nu,H^pm,l
tau,H^pm,E
tau_L,H^pm,E
nu_tau,H^pm,T
d,H^pm,j
q,H^pm,j
u,H^pm,j
H^0,e,l
H^0,l,l
H^0,tau,T
H^0,tau_L,T
H^0,d,j
H^0,q,j
H^0,u,j
e,H^0,l
l,H^0,l
tau,H^0,T
tau_L,H^0,T
d,H^0,j
q,H^0,j
u,H^0,j
