Mother,Daughter,Nvertex,Intermediate,Signatures,Chain,Signatures (Easy-Read),All Possible Signature,Minimal Set,Minimal Set (number of elements),Minimal Set (same flavour)
W^+,b,2,H^+,vt,W^+ -- (v) -- H^+ -- (t) -- b, 1t + 1v,"{'vb', 'vt'}",['v3'],[2],['v3']
W^+,b,2,H^0,vb,W^+ -- (v) -- H^0 -- (b) -- b, 1b + 1v,"{'vb', 'vt'}",['v3'],[2],['v3']
W^+,tau_L,1,-,E,W^+ -- (E) -- tau_L, MET,{'E'},['E'],[1],['E']
W^+,nu_tau,1,-,T,W^+ -- (T) -- nu_tau, 1tau,{'T'},['T'],[1],['T']
W^+,tau,3,H^+ B,vvT,W^+ -- (v) -- H^+ -- (v) -- B -- (T) -- tau, 1tau + 2v,"{'TTE', 'jjT', 'TlE', 'vvT', 'tbT'}","['LTE', 'jjT', 'tbT', 'vvT']","[2, 1, 1, 1]","['LTE', 'jjT', 'tbT', 'vvT']"
W^+,tau,3,H^0 B,vvT,W^+ -- (v) -- H^0 -- (v) -- B -- (T) -- tau, 1tau + 2v,"{'TTE', 'jjT', 'TlE', 'vvT', 'tbT'}","['LTE', 'jjT', 'tbT', 'vvT']","[2, 1, 1, 1]","['LTE', 'jjT', 'tbT', 'vvT']"
W^+,tau,3,q B,jjT,W^+ -- (j) -- q -- (j) -- B -- (T) -- tau, 2j_l + 1tau,"{'TTE', 'jjT', 'TlE', 'vvT', 'tbT'}","['LTE', 'jjT', 'tbT', 'vvT']","[2, 1, 1, 1]","['LTE', 'jjT', 'tbT', 'vvT']"
W^+,tau,3,l B,TlE,W^+ -- (E) -- l -- (l) -- B -- (T) -- tau, 1l + 1tau + MET,"{'TTE', 'jjT', 'TlE', 'vvT', 'tbT'}","['LTE', 'jjT', 'tbT', 'vvT']","[2, 1, 1, 1]","['LTE', 'jjT', 'tbT', 'vvT']"
W^+,tau,3,nu B,TlE,W^+ -- (l) -- nu -- (E) -- B -- (T) -- tau, 1l + 1tau + MET,"{'TTE', 'jjT', 'TlE', 'vvT', 'tbT'}","['LTE', 'jjT', 'tbT', 'vvT']","[2, 1, 1, 1]","['LTE', 'jjT', 'tbT', 'vvT']"
W^+,tau,3,b_L B,tbT,W^+ -- (t) -- b_L -- (b) -- B -- (T) -- tau, 1t + 1b + 1tau,"{'TTE', 'jjT', 'TlE', 'vvT', 'tbT'}","['LTE', 'jjT', 'tbT', 'vvT']","[2, 1, 1, 1]","['LTE', 'jjT', 'tbT', 'vvT']"
W^+,tau,3,t_L B,tbT,W^+ -- (b) -- t_L -- (t) -- B -- (T) -- tau, 1t + 1b + 1tau,"{'TTE', 'jjT', 'TlE', 'vvT', 'tbT'}","['LTE', 'jjT', 'tbT', 'vvT']","[2, 1, 1, 1]","['LTE', 'jjT', 'tbT', 'vvT']"
W^+,tau,3,tau_L B,TTE,W^+ -- (E) -- tau_L -- (T) -- B -- (T) -- tau, 2tau + MET,"{'TTE', 'jjT', 'TlE', 'vvT', 'tbT'}","['LTE', 'jjT', 'tbT', 'vvT']","[2, 1, 1, 1]","['LTE', 'jjT', 'tbT', 'vvT']"
W^+,tau,3,nu_tau B,TTE,W^+ -- (T) -- nu_tau -- (E) -- B -- (T) -- tau, 2tau + MET,"{'TTE', 'jjT', 'TlE', 'vvT', 'tbT'}","['LTE', 'jjT', 'tbT', 'vvT']","[2, 1, 1, 1]","['LTE', 'jjT', 'tbT', 'vvT']"
W^0,B,2,H^+,vv,W^0 -- (v) -- H^+ -- (v) -- B, 2v,"{'bb', 'TT', 'vv', 'E', 'tt', 'jj', 'll'}","['vv', 'E', 'TT', 'll', 'bb', 'tt', 'jj']","[1, 1, 1, 1, 1, 1, 1]","['vv', 'E', '(LL)', '(JJ)']"
