Category,LSP,decays via,Signatures,Chain,NV_cascade,Signatures (ER)
L_3 L E_3,G,nu,ttTTE,"G -- (t) -- t_L -- (t) -- B -- (E) -- nu -- [T,T]",3, 2t + 2tau + MET
L_3 L E_3,G,nu,tbTTl,"G -- (b) -- b_L -- (t) -- W^+ -- (l) -- nu -- [T,T]",3, 1t + 1b + 1l + 2tau
L_3 L E_3,G,tau,bbTTE,"G -- (b) -- b_L -- (b) -- B -- (T) -- tau -- [T,E]",3, 2b + 2tau + MET
L_3 L E_3,G,tau,ttTTE,"G -- (t) -- t_L -- (t) -- B -- (T) -- tau -- [T,E]",3, 2t + 2tau + MET
L_3 L E_3,G,tau,jjTTE,"G -- (j) -- q -- (j) -- B -- (T) -- tau -- [T,E]",3, 2j_l + 2tau + MET
L L E,H^+,l,vlE,"H^+ -- (v) -- W^+ -- (E) -- l -- [E,l]",2, 1l + 1v + MET
L L E,H^+,l,vllE,"H^+ -- (v) -- B -- (l) -- l -- [E,l]",2, 2l + 1v + MET
L L E,H^+,nu,vllE,"H^+ -- (v) -- B -- (E) -- nu -- [l,l]",2, 2l + 1v + MET
L L E,H^+,nu,vlll,"H^+ -- (v) -- W^+ -- (l) -- nu -- [l,l]",2, 3l + 1v
L L E,H^+,e,vllE,"H^+ -- (v) -- B -- (l) -- e -- [l,E]",2, 2l + 1v + MET
L_3 L E,H^+,l,vlE,"H^+ -- (v) -- W^+ -- (E) -- l -- [E,l]",2, 1l + 1v + MET
L_3 L E,H^+,l,vllE,"H^+ -- (v) -- B -- (l) -- l -- [E,l]",2, 2l + 1v + MET
L_3 L E,H^+,nu_tau,vTll,"H^+ -- (v) -- W^+ -- (T) -- nu_tau -- [l,l]",2, 2l + 1tau + 1v
L_3 L E,H^+,nu_tau,vllE,"H^+ -- (v) -- B -- (E) -- nu_tau -- [l,l]",2, 2l + 1v + MET
L_3 L E,H^+,e,vllE,"H^+ -- (v) -- B -- (l) -- e -- [l,E]",2, 2l + 1v + MET
L_3 L E,H^+,tau_L,vTlE,"H^+ -- (v) -- B -- (T) -- tau_L -- [E,l]",2, 1l + 1tau + 1v + MET
L_3 L E,H^+,tau_L,vlE,"H^+ -- (v) -- W^+ -- (E) -- tau_L -- [E,l]",2, 1l + 1v + MET
L_3 L E,H^+,nu,vTlE,"H^+ -- (v) -- B -- (E) -- nu -- [T,l]",2, 1l + 1tau + 1v + MET
L_3 L E,H^+,nu,vTll,"H^+ -- (v) -- W^+ -- (l) -- nu -- [T,l]",2, 2l + 1tau + 1v
L_3 L E,H^+,e,vTlE,"H^+ -- (v) -- B -- (l) -- e -- [T,E]",2, 1l + 1tau + 1v + MET
L L E_3,H^+,l,vTE,"H^+ -- (v) -- W^+ -- (E) -- l -- [E,T]",2, 1tau + 1v + MET
L L E_3,H^+,l,vTlE,"H^+ -- (v) -- B -- (l) -- l -- [E,T]",2, 1l + 1tau + 1v + MET
L L E_3,H^+,nu,vTlE,"H^+ -- (v) -- B -- (E) -- nu -- [l,T]",2, 1l + 1tau + 1v + MET
L L E_3,H^+,nu,vTll,"H^+ -- (v) -- W^+ -- (l) -- nu -- [l,T]",2, 2l + 1tau + 1v
L L E_3,H^+,tau,vTlE,"H^+ -- (v) -- B -- (T) -- tau -- [l,E]",2, 1l + 1tau + 1v + MET
L_3 L E_3,H^+,l,vTE,"H^+ -- (v) -- W^+ -- (E) -- l -- [E,T]",2, 1tau + 1v + MET
L_3 L E_3,H^+,l,vTlE,"H^+ -- (v) -- B -- (l) -- l -- [E,T]",2, 1l + 1tau + 1v + MET
