CAT,LSP,AA,AB,BB,ALL,AA (Common),AB (Common),BB (Common),ALL (Common),AA (Same Flavour),AB (Same Flavour),BB (Same Flavour),ALL (Same Flavour)
L L E,['b'],{'bbllllE'},-,-,{'bbllllE'},llllbbE,-,-,llllbbE,['bbllllE'],-,-,['bbllllE']
L L E,"['tau_L', 'nu_tau']","{'llE', 'LlllE', 'LLllllE'}","{'LLlllE', 'LTlllllE', 'LllE'}","{'TTllllll', 'LTllllE', 'LLllE'}","{'TTllllll', 'LLllllE', 'LLllE', 'LLlllE', 'LTlllllE', 'LllE', 'llE'}",llE,llE,ll,ll,"['LLllllE', 'llE', 'LlllE']","['LLlllE', 'LTlllllE', 'LllE']","['LTllllE', 'LLllE', 'TTllllll']","['LllE', 'TTllllll', 'LTlllllE', 'LLllE', 'LLlllE', 'llE', 'LLllllE']"
L L E,['tau'],{'TTllllE'},-,-,{'TTllllE'},llllETT,-,-,llllETT,['TTllllE'],-,-,['TTllllE']
L_3 L E,['B'],{'LLllE'},-,-,{'LLllE'},llE,-,-,llE,['LLllE'],-,-,['LLllE']
L_3 L E,"['W^+', 'W^0']","{'vvjjLLllE', 'tbLllE', 'jjLLLllE', 'TTllll', 'LLllE', 'vvLLLllE', 'tbjjLLllE', 'vvLllE', 'jjLllE', 'jjjjLLllE', 'vvvvLLllE', 'tbLLLllE', 'ttbbLLllE', 'LLLLllE', 'llE', 'vvtbLLllE'}","{'tbLLLLllE', 'LLLLLllE', 'LLLllE', 'bbLLLllE', 'vvLllE', 'jjLllE', 'vvLLLLllE', 'tbLLllE', 'jjjjLLllE', 'LllE', 'ttLllE', 'vv33LLllE', 'vvLLllE', 'jjLLLllE', 'vvLLLllE', 'ttLLLllE', 'bbLllE', 'jjLLLLllE', 'vvvvLLllE', 'vvjjLLllE', 'tbbbLLllE', 'jjLLllE', '33jjLLllE', 'tttbLLllE'}","{'vvttLLllE', 'LLLLLLllE', 'bbbbLLllE', 'vvLLLLllE', 'vvbbLLllE', 'bbLLllE', 'ttLLLLllE', 'jjjjLLllE', 'ttbbLLllE', 'vvLLllE', 'ttttLLllE', 'LLllE', 'jjLLLLllE', 'bbLLLLllE', 'vvvvLLllE', 'vvjjLLllE', 'jjLLllE', 'ttjjLLllE', 'bbjjLLllE', 'ttLLllE', 'LLLLllE'}","{'LLLLLllE', '33LLllE', 'LLLllE', 'LLLLLLllE', 'vvLllE', 'vvLLLLllE', 'jjLllE', 'llE', '33LLLLllE', 'jjjjLLllE', 'LllE', '3333LLllE', 'vv33LLllE', 'vvLLllE', '33LLLllE', '33LllE', 'TTllll', 'vvLLLllE', 'jjLLLllE', 'LLllE', 'jjLLLLllE', 'vvvvLLllE', 'vvjjLLllE', 'jjLLllE', '33jjLLllE', 'LLLLllE'}",ll,llE,llE,ll,"['jjvvLLllE', 'tbvvLLllE', 'jjLLLllE', 'tbLLLllE', 'tbLllE', 'jjLllE', 'TTllll', 'tbjjLLllE', 'jjjjLLllE', 'ttbbLLllE', 'vvLLLllE', 'vvLllE', 'llE', 'LLLLllE', 'LLllE', 'vvvvLLllE']","['(JJ)vvLLllE', 'LllE', 'vvLLllE', '(JJ)LLLllE', '(JJ)LllE', 'LLLLLllE', 'jjjjLLllE', 'tbbbLLllE', '33jjLLllE', 'tttbLLllE', 'LLLllE', 'vvLLLllE', 'vvLllE', 'vvLLLLllE', 'tbLLllE', 'jjLLllE', 'tbLLLLllE', 'jjLLLLllE', 'vvvvLLllE']","['(JJ)vvLLllE', 'LLLLLLllE', 'vvLLllE', 'bbbbLLllE', 'jjjjLLllE', 'ttbbLLllE', 'ttttLLllE', 'ttjjLLllE', 'bbjjLLllE', 'vvLLLLllE', '(JJ)LLllE', '(JJ)LLLLllE', 'LLLLllE', 'LLllE', 'vvvvLLllE']","['LLLLLLllE', 'TTllll', 'LLLLLllE', 'vvLLLllE', 'llE', '(JJ)LLllE', 'LLLLllE', 'vvvvLLllE', '(JJ)vvLLllE', '(JJ)LLLllE', 'jjjjLLllE', '3333LLllE', '33jjLLllE', 'LLLllE', 'vvLllE', 'vvLLLLllE', '(JJ)LLLLllE', 'vvLLllE', '(JJ)LllE', 'LllE', 'LLllE']"
L_3 L E,['G'],"{'bbbbLLllE', 'jjjjLTlllE', 'tttbLllE', 'tbjjllE', 'tbbbLllE', 'ttbbTTllll', 'ttbbllE', 'jjjjllE', 'jjjjLLllE', 'tbbbLTlllE', '33jjLTlllE', 'ttbbLLllE', 'ttttLLllE', 'tbjjTTllll', '33jjLllE', 'tttbLTlllE', 'jjjjTTllll', '33jjTlllE', 'ttjjLLllE', 'bbjjLLllE', 'jjjjLllE'}",-,-,"{'bbbbLLllE', 'jjjjLTlllE', 'tttbLllE', 'tbjjllE', 'tbbbLllE', 'ttbbTTllll', 'ttbbllE', 'jjjjllE', 'jjjjLLllE', 'tbbbLTlllE', '33jjLTlllE', 'ttbbLLllE', 'ttttLLllE', 'tbjjTTllll', '33jjLllE', 'tttbLTlllE', 'jjjjTTllll', '33jjTlllE', 'ttjjLLllE', 'bbjjLLllE', 'jjjjLllE'}",ll,-,-,ll,"['bbbbLLllE', 'jjjjLLllE', 'ttbbLLllE', 'ttttLLllE', '33jjTlllE', 'ttjjLLllE', 'bbjjLLllE', 'tbjjllE', 'ttbbllE', 'jjjjllE', 'jjjjLTlllE', 'tbbbLTlllE', '33jjLTlllE', 'tttbLTlllE', 'tttbLllE', 'tbbbLllE', '33jjLllE', 'jjjjLllE', 'ttbbTTllll', 'tbjjTTllll', 'jjjjTTllll']",-,-,"['bbbbLLllE', 'jjjjLLllE', 'ttbbLLllE', 'ttttLLllE', '33jjTlllE', 'ttjjLLllE', 'bbjjLLllE', 'tbjjllE', 'ttbbllE', 'jjjjllE', 'jjjjLTlllE', 'tbbbLTlllE', '33jjLTlllE', 'tttbLTlllE', 'tttbLllE', 'tbbbLllE', '33jjLllE', 'jjjjLllE', 'ttbbTTllll', 'tbjjTTllll', 'jjjjTTllll']"
L_3 L E,"['H^+', 'H^0']","{'vvLTlllE', 'vvTTllll', 'vvLllE', 'vvllE', 'vvLLllE'}","{'vvLTlllE', 'vvTTllll', 'vvLllE', 'vvllE', 'vvLLllE'}","{'vvLTlllE', 'vvTTllll', 'vvLllE', 'vvllE', 'vvLLllE'}","{'vvLTlllE', 'vvTTllll', 'vvLllE', 'vvllE', 'vvLLllE'}",vvll,vvll,vvll,vvll,"['vvLTlllE', 'vvLllE', 'vvLLllE', 'vvllE', 'vvTTllll']","['vvLTlllE', 'vvLllE', 'vvLLllE', 'vvllE', 'vvTTllll']","['vvLTlllE', 'vvLllE', 'vvLLllE', 'vvllE', 'vvTTllll']","['vvLTlllE', 'vvLllE', 'vvLLllE', 'vvllE', 'vvTTllll']"
L_3 L E,['q'],"{'jjLLllE', 'jjLllE', 'jjllE', 'jjTTllll', 'jjLTlllE'}",-,-,"{'jjLLllE', 'jjLllE', 'jjllE', 'jjTTllll', 'jjLTlllE'}",lljj,-,-,lljj,"['jjLTlllE', 'jjLllE', 'jjllE', 'jjTTllll', 'jjLLllE']",-,-,"['jjLTlllE', 'jjLllE', 'jjllE', 'jjTTllll', 'jjLLllE']"
L_3 L E,['d'],{'jjLLllE'},-,-,{'jjLLllE'},llEjj,-,-,llEjj,['jjLLllE'],-,-,['jjLLllE']
L_3 L E,['u'],{'jjLLllE'},-,-,{'jjLLllE'},llEjj,-,-,llEjj,['jjLLllE'],-,-,['jjLLllE']
