Category,LSP,decays via,Signatures,Chain,NV_cascade,Signatures (ER)
L_3 Q_3 D_3,H^+,b,ttT,"H^+ -- (t) -- b -- [T,t]",1, 2t + 1tau
L_3 Q_3 D_3,H^+,nu_tau,vbbE,"H^+ -- (v) -- B -- (E) -- nu_tau -- [b,b]",2, 2b + 1v + MET
L_3 Q_3 D_3,H^+,nu_tau,vbbT,"H^+ -- (v) -- W^+ -- (T) -- nu_tau -- [b,b]",2, 2b + 1tau + 1v
L_3 Q_3 D_3,H^+,b_L,tbE,"H^+ -- (t) -- b_L -- [E,b]",1, 1t + 1b + MET
L_3 Q_3 D_3,H^+,b,tbE,"H^+ -- (t) -- b -- [E,b]",1, 1t + 1b + MET
L Q D,H^0,l,vjjE,"H^0 -- (v) -- W^+ -- (E) -- l -- [j,j]",2, 2j_l + 1v + MET
L Q D,H^0,l,vjjl,"H^0 -- (v) -- B -- (l) -- l -- [j,j]",2, 2j_l + 1l + 1v
L Q D,H^0,q,vjjl,"H^0 -- (v) -- B -- (j) -- q -- [l,j]",2, 2j_l + 1l + 1v
L Q D,H^0,d,vjjl,"H^0 -- (v) -- B -- (j) -- d -- [l,j]",2, 2j_l + 1l + 1v
L Q D,H^0,nu,vjjE,"H^0 -- (v) -- B -- (E) -- nu -- [j,j]",2, 2j_l + 1v + MET
L Q D,H^0,nu,vjjl,"H^0 -- (v) -- W^+ -- (l) -- nu -- [j,j]",2, 2j_l + 1l + 1v
L Q D,H^0,q,vjjE,"H^0 -- (v) -- B -- (j) -- q -- [E,j]",2, 2j_l + 1v + MET
L Q D,H^0,d,vjjE,"H^0 -- (v) -- B -- (j) -- d -- [E,j]",2, 2j_l + 1v + MET
L Q D_3,H^0,l,vbjE,"H^0 -- (v) -- W^+ -- (E) -- l -- [j,b]",2, 1j_l + 1b + 1v + MET
L Q D_3,H^0,l,vbjl,"H^0 -- (v) -- B -- (l) -- l -- [j,b]",2, 1j_l + 1b + 1l + 1v
L Q D_3,H^0,q,vbjl,"H^0 -- (v) -- B -- (j) -- q -- [l,b]",2, 1j_l + 1b + 1l + 1v
L Q D_3,H^0,b,bjl,"H^0 -- (b) -- b -- [l,j]",1, 1j_l + 1b + 1l
L Q D_3,H^0,nu,vbjE,"H^0 -- (v) -- B -- (E) -- nu -- [j,b]",2, 1j_l + 1b + 1v + MET
L Q D_3,H^0,nu,vbjl,"H^0 -- (v) -- W^+ -- (l) -- nu -- [j,b]",2, 1j_l + 1b + 1l + 1v
L Q D_3,H^0,q,vbjE,"H^0 -- (v) -- B -- (j) -- q -- [E,b]",2, 1j_l + 1b + 1v + MET
L Q D_3,H^0,b,bjE,"H^0 -- (b) -- b -- [E,j]",1, 1j_l + 1b + MET
L Q_3 D,H^0,l,vtjE,"H^0 -- (v) -- W^+ -- (E) -- l -- [t,j]",2, 1j_l + 1t + 1v + MET
L Q_3 D,H^0,l,vtjl,"H^0 -- (v) -- B -- (l) -- l -- [t,j]",2, 1j_l + 1t + 1l + 1v
L Q_3 D,H^0,t_L,tjl,"H^0 -- (t) -- t_L -- [l,j]",1, 1j_l + 1t + 1l
L Q_3 D,H^0,d,vtjl,"H^0 -- (v) -- B -- (j) -- d -- [l,t]",2, 1j_l + 1t + 1l + 1v
L Q_3 D,H^0,nu,vbjE,"H^0 -- (v) -- B -- (E) -- nu -- [b,j]",2, 1j_l + 1b + 1v + MET
L Q_3 D,H^0,nu,vbjl,"H^0 -- (v) -- W^+ -- (l) -- nu -- [b,j]",2, 1j_l + 1b + 1l + 1v
L Q_3 D,H^0,b_L,bjE,"H^0 -- (b) -- b_L -- [E,j]",1, 1j_l + 1b + MET
L Q_3 D,H^0,d,vbjE,"H^0 -- (v) -- B -- (j) -- d -- [E,b]",2, 1j_l + 1b + 1v + MET
L Q_3 D_3,H^0,l,vtbE,"H^0 -- (v) -- W^+ -- (E) -- l -- [t,b]",2, 1t + 1b + 1v + MET
L Q_3 D_3,H^0,l,vtbl,"H^0 -- (v) -- B -- (l) -- l -- [t,b]",2, 1t + 1b + 1l + 1v
