CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
U D_3 D,b_L,b_L,ttjj,bbjj,"['b_L -- (t) -- H^+ -- (t) -- b -- [j,j]']","['b_L -- (b) -- B -- (j) -- u -- [j,b]', 'b_L -- (b) -- B -- (j) -- d -- [j,b]', 'b_L -- (b) -- B -- (b) -- b -- [j,j]']",ttbbjjjj, 2j_l + 2t, 2j_l + 2b, 4j_l + 2t + 2b
U D_3 D,b_L,b_L,bbjj,ttjj,"['b_L -- (b) -- B -- (j) -- u -- [j,b]', 'b_L -- (b) -- B -- (j) -- d -- [j,b]', 'b_L -- (b) -- B -- (b) -- b -- [j,j]']","['b_L -- (t) -- H^+ -- (t) -- b -- [j,j]']",ttbbjjjj, 2j_l + 2b, 2j_l + 2t, 4j_l + 2t + 2b
U D_3 D,b_L,b_L,bbjj,bbjj,"['b_L -- (b) -- B -- (j) -- u -- [j,b]', 'b_L -- (b) -- B -- (j) -- d -- [j,b]', 'b_L -- (b) -- B -- (b) -- b -- [j,j]']","['b_L -- (b) -- B -- (j) -- u -- [j,b]', 'b_L -- (b) -- B -- (j) -- d -- [j,b]', 'b_L -- (b) -- B -- (b) -- b -- [j,j]']",bbbbjjjj, 2j_l + 2b, 2j_l + 2b, 4j_l + 4b
U D_3 D,b_L,t_L,ttjj,tbjj,"['b_L -- (t) -- H^+ -- (t) -- b -- [j,j]']","['t_L -- (t) -- B -- (j) -- u -- [j,b]', 't_L -- (t) -- B -- (j) -- d -- [j,b]', 't_L -- (t) -- B -- (b) -- b -- [j,j]']",tttbjjjj, 2j_l + 2t, 2j_l + 1t + 1b, 4j_l + 3t + 1b
U D_3 D,b_L,t_L,bbjj,tbjj,"['b_L -- (b) -- B -- (j) -- u -- [j,b]', 'b_L -- (b) -- B -- (j) -- d -- [j,b]', 'b_L -- (b) -- B -- (b) -- b -- [j,j]']","['t_L -- (t) -- B -- (j) -- u -- [j,b]', 't_L -- (t) -- B -- (j) -- d -- [j,b]', 't_L -- (t) -- B -- (b) -- b -- [j,j]']",tbbbjjjj, 2j_l + 2b, 2j_l + 1t + 1b, 4j_l + 1t + 3b
U D_3 D,t_L,t_L,tbjj,tbjj,"['t_L -- (t) -- B -- (j) -- u -- [j,b]', 't_L -- (t) -- B -- (j) -- d -- [j,b]', 't_L -- (t) -- B -- (b) -- b -- [j,j]']","['t_L -- (t) -- B -- (j) -- u -- [j,b]', 't_L -- (t) -- B -- (j) -- d -- [j,b]', 't_L -- (t) -- B -- (b) -- b -- [j,j]']",ttbbjjjj, 2j_l + 1t + 1b, 2j_l + 1t + 1b, 4j_l + 2t + 2b
U D_3 D,t,t,tbjj,tbjj,"['t -- (t) -- B -- (j) -- u -- [j,b]', 't -- (t) -- B -- (j) -- d -- [j,b]', 't -- (t) -- B -- (b) -- b -- [j,j]']","['t -- (t) -- B -- (j) -- u -- [j,b]', 't -- (t) -- B -- (j) -- d -- [j,b]', 't -- (t) -- B -- (b) -- b -- [j,j]']",ttbbjjjj, 2j_l + 1t + 1b, 2j_l + 1t + 1b, 4j_l + 2t + 2b
U D_3 D,b,b,bbjj,bbjj,"['b -- (b) -- B -- (j) -- u -- [j,b]', 'b -- (b) -- B -- (j) -- d -- [j,b]']","['b -- (b) -- B -- (j) -- u -- [j,b]', 'b -- (b) -- B -- (j) -- d -- [j,b]']",bbbbjjjj, 2j_l + 2b, 2j_l + 2b, 4j_l + 4b
U D_3 D,b,b,bbjj,jj,"['b -- (b) -- B -- (j) -- u -- [j,b]', 'b -- (b) -- B -- (j) -- d -- [j,b]']","['b -- [j,j]']",bbjjjj, 2j_l + 2b, 2j_l, 4j_l + 2b
U D_3 D,b,b,jj,bbjj,"['b -- [j,j]']","['b -- (b) -- B -- (j) -- u -- [j,b]', 'b -- (b) -- B -- (j) -- d -- [j,b]']",bbjjjj, 2j_l, 2j_l + 2b, 4j_l + 2b
