Mother,Daughter,Nvertex,Intermediate,Signatures,Chain,Signatures (Easy-Read),All Possible Signature,Minimal Set,Minimal Set (number of elements),Minimal Set (same flavour)
u,W^0,3,B l,jll,u -- (j) -- B -- (l) -- l -- (l) -- W^0, 1j_l + 2l,"{'bbj', 'jX', 'jjj', 'vvj', 'jll', 'jTT', 'ttj'}","['jll', 'jTT', 'jX', 'vvj', 'bbj', 'jjj', 'ttj']","[1, 1, 1, 1, 1, 1, 1]","['(LL)j', 'jX', 'vvj', '(JJ)j']"
u,W^0,3,B nu,jX,u -- (j) -- B -- (X) -- nu -- (X) -- W^0, 1j_l + MET,"{'bbj', 'jX', 'jjj', 'vvj', 'jll', 'jTT', 'ttj'}","['jll', 'jTT', 'jX', 'vvj', 'bbj', 'jjj', 'ttj']","[1, 1, 1, 1, 1, 1, 1]","['(LL)j', 'jX', 'vvj', '(JJ)j']"
u,W^0,3,B b_L,bbj,u -- (j) -- B -- (b) -- b_L -- (b) -- W^0, 1j_l + 2b,"{'bbj', 'jX', 'jjj', 'vvj', 'jll', 'jTT', 'ttj'}","['jll', 'jTT', 'jX', 'vvj', 'bbj', 'jjj', 'ttj']","[1, 1, 1, 1, 1, 1, 1]","['(LL)j', 'jX', 'vvj', '(JJ)j']"
u,W^0,3,B t_L,ttj,u -- (j) -- B -- (t) -- t_L -- (t) -- W^0, 1j_l + 2t,"{'bbj', 'jX', 'jjj', 'vvj', 'jll', 'jTT', 'ttj'}","['jll', 'jTT', 'jX', 'vvj', 'bbj', 'jjj', 'ttj']","[1, 1, 1, 1, 1, 1, 1]","['(LL)j', 'jX', 'vvj', '(JJ)j']"
u,W^0,3,B tau_L,jTT,u -- (j) -- B -- (T) -- tau_L -- (T) -- W^0, 1j_l + 2tau,"{'bbj', 'jX', 'jjj', 'vvj', 'jll', 'jTT', 'ttj'}","['jll', 'jTT', 'jX', 'vvj', 'bbj', 'jjj', 'ttj']","[1, 1, 1, 1, 1, 1, 1]","['(LL)j', 'jX', 'vvj', '(JJ)j']"
u,W^0,3,B nu_tau,jX,u -- (j) -- B -- (X) -- nu_tau -- (X) -- W^0, 1j_l + MET,"{'bbj', 'jX', 'jjj', 'vvj', 'jll', 'jTT', 'ttj'}","['jll', 'jTT', 'jX', 'vvj', 'bbj', 'jjj', 'ttj']","[1, 1, 1, 1, 1, 1, 1]","['(LL)j', 'jX', 'vvj', '(JJ)j']"
u,W^0,3,G q,jjj,u -- (j) -- G -- (j) -- q -- (j) -- W^0, 3j_l,"{'bbj', 'jX', 'jjj', 'vvj', 'jll', 'jTT', 'ttj'}","['jll', 'jTT', 'jX', 'vvj', 'bbj', 'jjj', 'ttj']","[1, 1, 1, 1, 1, 1, 1]","['(LL)j', 'jX', 'vvj', '(JJ)j']"
u,W^0,3,G b_L,bbj,u -- (j) -- G -- (b) -- b_L -- (b) -- W^0, 1j_l + 2b,"{'bbj', 'jX', 'jjj', 'vvj', 'jll', 'jTT', 'ttj'}","['jll', 'jTT', 'jX', 'vvj', 'bbj', 'jjj', 'ttj']","[1, 1, 1, 1, 1, 1, 1]","['(LL)j', 'jX', 'vvj', '(JJ)j']"
u,W^0,3,G t_L,ttj,u -- (j) -- G -- (t) -- t_L -- (t) -- W^0, 1j_l + 2t,"{'bbj', 'jX', 'jjj', 'vvj', 'jll', 'jTT', 'ttj'}","['jll', 'jTT', 'jX', 'vvj', 'bbj', 'jjj', 'ttj']","[1, 1, 1, 1, 1, 1, 1]","['(LL)j', 'jX', 'vvj', '(JJ)j']"
u,G,1,-,j,u -- (j) -- G, 1j_l,{'j'},['j'],[1],['j']
