Category,LSP,decays via,Signatures,Chain,NV_cascade,Signatures (ER)
L_3 L E,H^0,l,vllX,"['H^0 -- (v) -- W^0 -- (l) -- l -- [X,l]', 'H^0 -- (v) -- B -- (l) -- l -- [X,l]']",2, 2l + 1v + MET
L_3 L E,H^0,l,vlX,"['H^0 -- (v) -- W^+ -- (X) -- l -- [X,l]']",2, 1l + 1v + MET
L_3 L E,H^0,nu_tau,vllX,"['H^0 -- (v) -- W^0 -- (X) -- nu_tau -- [l,l]', 'H^0 -- (v) -- B -- (X) -- nu_tau -- [l,l]']",2, 2l + 1v + MET
L_3 L E,H^0,nu_tau,vTll,"['H^0 -- (v) -- W^+ -- (T) -- nu_tau -- [l,l]']",2, 2l + 1tau + 1v
L_3 L E,H^0,e,vllX,"['H^0 -- (v) -- B -- (l) -- e -- [l,X]']",2, 2l + 1v + MET
L_3 L E,H^0,tau_L,vTlX,"['H^0 -- (v) -- W^0 -- (T) -- tau_L -- [X,l]', 'H^0 -- (v) -- B -- (T) -- tau_L -- [X,l]']",2, 1l + 1tau + 1v + MET
L_3 L E,H^0,tau_L,vlX,"['H^0 -- (v) -- W^+ -- (X) -- tau_L -- [X,l]']",2, 1l + 1v + MET
L_3 L E,H^0,nu,vTll,"['H^0 -- (v) -- W^+ -- (l) -- nu -- [T,l]']",2, 2l + 1tau + 1v
L_3 L E,H^0,nu,vTlX,"['H^0 -- (v) -- B -- (X) -- nu -- [T,l]', 'H^0 -- (v) -- W^0 -- (X) -- nu -- [T,l]']",2, 1l + 1tau + 1v + MET
L_3 L E,H^0,e,vTlX,"['H^0 -- (v) -- B -- (l) -- e -- [T,X]']",2, 1l + 1tau + 1v + MET
L L E_3,H^0,l,vTlX,"['H^0 -- (v) -- B -- (l) -- l -- [X,T]', 'H^0 -- (v) -- W^0 -- (l) -- l -- [X,T]']",2, 1l + 1tau + 1v + MET
L L E_3,H^0,l,vTX,"['H^0 -- (v) -- W^+ -- (X) -- l -- [X,T]']",2, 1tau + 1v + MET
L L E_3,H^0,nu,vTll,"['H^0 -- (v) -- W^+ -- (l) -- nu -- [l,T]']",2, 2l + 1tau + 1v
L L E_3,H^0,nu,vTlX,"['H^0 -- (v) -- B -- (X) -- nu -- [l,T]', 'H^0 -- (v) -- W^0 -- (X) -- nu -- [l,T]']",2, 1l + 1tau + 1v + MET
L L E_3,H^0,tau,vTlX,"['H^0 -- (v) -- B -- (T) -- tau -- [l,X]']",2, 1l + 1tau + 1v + MET
L_3 L E_3,H^0,l,vTlX,"['H^0 -- (v) -- B -- (l) -- l -- [X,T]', 'H^0 -- (v) -- W^0 -- (l) -- l -- [X,T]']",2, 1l + 1tau + 1v + MET
L_3 L E_3,H^0,l,vTX,"['H^0 -- (v) -- W^+ -- (X) -- l -- [X,T]']",2, 1tau + 1v + MET
L_3 L E_3,H^0,nu_tau,vTlX,"['H^0 -- (v) -- W^0 -- (X) -- nu_tau -- [l,T]', 'H^0 -- (v) -- B -- (X) -- nu_tau -- [l,T]']",2, 1l + 1tau + 1v + MET
