Category,LSP,decays via,Signatures,Chain,NV_cascade,Signatures (ER)
L_3 Q_3 D_3,b,b_L,bbbX,"['b -- (b) -- B -- (b) -- b_L -- [X,b]', 'b -- (b) -- H^0 -- (b) -- b_L -- [X,b]', 'b -- (b) -- G -- (b) -- b_L -- [X,b]']",2, 3b + MET
L_3 Q_3 D_3,b,b_L,ttbX,"['b -- (t) -- H^+ -- (t) -- b_L -- [X,b]']",2, 2t + 1b + MET
L_3 Q_3 D_3,b,b,bX,"['b -- [X,b]']",0, 1b + MET
L Q D,tau_L,l,jjTl,"['tau_L -- (T) -- W^0 -- (l) -- l -- [j,j]', 'tau_L -- (T) -- B -- (l) -- l -- [j,j]']",2, 2j_l + 1l + 1tau
L Q D,tau_L,l,jjX,"['tau_L -- (X) -- W^+ -- (X) -- l -- [j,j]']",2, 2j_l + MET
L Q D,tau_L,q,jjTl,"['tau_L -- (T) -- B -- (j) -- q -- [l,j]', 'tau_L -- (T) -- W^0 -- (j) -- q -- [l,j]']",2, 2j_l + 1l + 1tau
L Q D,tau_L,q,jjlX,"['tau_L -- (X) -- W^+ -- (j) -- q -- [l,j]']",2, 2j_l + 1l + MET
L Q D,tau_L,d,jjTl,"['tau_L -- (T) -- B -- (j) -- d -- [l,j]']",2, 2j_l + 1l + 1tau
L Q D,tau_L,nu,jjlX,"['tau_L -- (X) -- W^+ -- (l) -- nu -- [j,j]']",2, 2j_l + 1l + MET
L Q D,tau_L,nu,jjTX,"['tau_L -- (T) -- W^0 -- (X) -- nu -- [j,j]', 'tau_L -- (T) -- B -- (X) -- nu -- [j,j]']",2, 2j_l + 1tau + MET
L Q D,tau_L,q,jjTX,"['tau_L -- (T) -- W^0 -- (j) -- q -- [X,j]', 'tau_L -- (T) -- B -- (j) -- q -- [X,j]']",2, 2j_l + 1tau + MET
L Q D,tau_L,q,jjX,"['tau_L -- (X) -- W^+ -- (j) -- q -- [X,j]']",2, 2j_l + MET
L Q D,tau_L,d,jjTX,"['tau_L -- (T) -- B -- (j) -- d -- [X,j]']",2, 2j_l + 1tau + MET
L Q D_3,tau_L,l,bjTl,"['tau_L -- (T) -- B -- (l) -- l -- [j,b]', 'tau_L -- (T) -- W^0 -- (l) -- l -- [j,b]']",2, 1j_l + 1b + 1l + 1tau
L Q D_3,tau_L,l,bjX,"['tau_L -- (X) -- W^+ -- (X) -- l -- [j,b]']",2, 1j_l + 1b + MET
L Q D_3,tau_L,q,bjTl,"['tau_L -- (T) -- B -- (j) -- q -- [l,b]', 'tau_L -- (T) -- W^0 -- (j) -- q -- [l,b]']",2, 1j_l + 1b + 1l + 1tau
