LSP,L Q D,L Q D_3,L Q_3 D,L Q_3 D_3,L_3 Q D,L_3 Q D_3,L_3 Q_3 D,L_3 Q_3 D_3
B,"{'jjl', 'jjX'}","{'bjX', 'bjl'}","{'bjX', 'tjl'}","{'bbX', 'tbl'}","{'jjX', 'jjT'}","{'bjX', 'bjT'}","{'bjX', 'tjT'}","{'bbX', 'tbT'}"
W^+,"{'tbjjl', 'vvjjX', 'vvjjl', 'jjlX', 'jjX', 'jjTX', 'jjTlX', 'jjllX', 'jjjjX', 'tbjjX', 'jjl', 'jjjjl'}","{'vtjX', 'bjl', 'vbjl', 'bjX', 'vbjX', 'vtjl'}","{'tjjjl', 'vvtjl', 'tjX', 'bjlX', 'bjjjX', 'tbbjX', 'tjllX', 'bjl', 'tjTlX', 'bjTX', 'vvbjX', 'ttbjl'}","{'vtbX', 'tbX', 'vttl', 'vbbX', 'vtbl', 'bbl'}","{'vvjjX', 'vvjjT', 'jjlX', 'jjX', 'jjjjT', 'jjTX', 'jjTlX', 'jjT', 'jjjjX', 'tbjjT', 'tbjjX', 'jjTTX'}","{'vtjX', 'vtjT', 'vbjT', 'bjX', 'vbjX', 'bjT'}","{'tjX', 'bjlX', 'bjjjX', 'tbbjX', 'tjjjT', 'tjTlX', 'bjTX', 'vvbjX', 'tjTTX', 'ttbjT', 'bjT', 'vvtjT'}","{'vtbX', 'tbX', 'bbT', 'vtbT', 'vbbX', 'vttT'}"
W^0,"{'jjlll', 'jjTTl', 'vvjjX', 'vvjjl', 'jjlX', 'jjX', 'bbjjl', 'ttjjX', 'jjjjX', 'jjllX', 'bbjjX', 'ttjjl', 'jjTTX', 'jjl', 'jjjjl'}","{'vtjX', 'bjl', 'vbjl', 'vtjl', 'vbjX', 'bjX'}","{'tjjjl', 'vvtjl', 'ttbjX', 'bjjjX', 'tjlX', 'bbbjX', 'tbbjl', 'bjTTX', 'tjTTl', 'bjllX', 'tjlll', 'bjX', 'vvbjX', 'tttjl', 'tjl'}","{'vtbX', 'bbX', 'vttl', 'vbbX', 'tbl', 'vtbl'}","{'vvjjX', 'vvjjT', 'jjX', 'jjjjT', 'jjTX', 'ttjjX', 'jjTTT', 'jjT', 'jjTll', 'jjjjX', 'bbjjX', 'bbjjT', 'jjllX', 'jjTTX', 'ttjjT'}","{'vtjX', 'vtjT', 'vbjT', 'vbjX', 'bjT', 'bjX'}","{'tbbjT', 'ttbjX', 'bjjjX', 'tjTTT', 'tjT', 'tjTX', 'tttjT', 'bbbjX', 'tjjjT', 'bjTTX', 'bjllX', 'bjX', 'vvbjX', 'tjTll', 'vvtjT'}","{'vtbX', 'bbX', 'vtbT', 'vbbX', 'vttT', 'tbT'}"
G,"{'tbjjl', 'jjX', 'bbjjl', 'ttjjX', 'jjjjX', 'bbjjX', 'ttjjl', 'tbjjX', 'jjl', 'jjjjl'}","{'bjjjX', 'bbbjX', 'tbbjX', 'tbbjl', 'bbbjl', 'bjjjl', 'bjl', 'bjX', 'ttbjX', 'ttbjl'}","{'tjjjl', 'bjjjX', 'bbbjX', 'tbbjl', 'bjjjl', 'tjjjX', 'bjX', 'ttbjX', 'tttjl', 'tjl'}","{'tbjjl', 'bbX', 'bbjjl', 'ttbbX', 'tbbbl', 'bbbbX', 'bbjjX', 'tttbl', 'tbjjX', 'tbl'}","{'jjX', 'jjjjT', 'ttjjX', 'jjjjX', 'jjT', 'bbjjX', 'bbjjT', 'tbjjX', 'tbjjT', 'ttjjT'}","{'tbbjT', 'bjjjX', 'bjjjT', 'bbbjX', 'tbbjX', 'bjT', 'bbbjT', 'bjX', 'ttbjX', 'ttbjT'}","{'tbbjT', 'bjjjX', 'bjjjT', 'tjT', 'tttjT', 'bbbjX', 'tjjjT', 'tjjjX', 'bjX', 'ttbjX'}","{'tbbbT', 'bbX', 'tttbT', 'ttbbX', 'bbbbX', 'bbjjX', 'bbjjT', 'tbjjX', 'tbT', 'tbjjT'}"
H^+,"{'vjjX', 'vjjl'}","{'vbjX', 'tjX', 'vbjl', 'tjl'}","{'tjX', 'vtjX', 'bjl', 'vbjl', 'vtjl', 'vbjX'}","{'vtbX', 'tbX', 'ttl', 'vbbl', 'vbbX', 'vtbl', 'bbl'}","{'vjjX', 'vjjT'}","{'vbjT', 'vbjX', 'tjX', 'tjT'}","{'tjX', 'vtjX', 'vtjT', 'vbjT', 'vbjX', 'bjT'}","{'vtbX', 'tbX', 'bbT', 'vtbT', 'ttT', 'vbbX', 'vbbT'}"
H^0,"{'vjjX', 'vjjl'}","{'bjX', 'vbjX', 'vbjl', 'bjl'}","{'vtjX', 'vbjl', 'vtjl', 'vbjX', 'bjX', 'tjl'}","{'vtbX', 'bbX', 'vbbl', 'vbbX', 'tbl', 'vtbl'}","{'vjjX', 'vjjT'}","{'vbjT', 'vbjX', 'bjT', 'bjX'}","{'vtjX', 'tjT', 'vtjT', 'vbjT', 'vbjX', 'bjX'}","{'vtbX', 'bbX', 'vtbT', 'vbbX', 'tbT', 'vbbT'}"
q,"{'jjjX', 'jX', 'jjjl', 'jl'}","{'bX', 'bl', 'bjjX', 'bjjl'}","{'tjjX', 'bjjX', 'tjjl', 'bjjl'}","{'bbjX', 'tbjX', 'tbjl', 'bbjl'}","{'jjjX', 'jX', 'jT', 'jjjT'}","{'bjjT', 'bT', 'bjjX', 'bX'}","{'bjjT', 'tjjT', 'tjjX', 'bjjX'}","{'bbjT', 'tbjT', 'bbjX', 'tbjX'}"
d,"{'jjjX', 'jX', 'jjjl', 'jl'}","{'bjjX', 'bjjl'}","{'bX', 'bjjX', 'tl', 'tjjl'}","{'bbjX', 'tbjl'}","{'jT', 'jX', 'jjjX', 'jjjT'}","{'bjjT', 'bjjX'}","{'bX', 'tjjT', 'bjjX', 'tT'}","{'tbjT', 'bbjX'}"
u,"{'jjjX', 'jjjl'}","{'bjjX', 'bjjl'}","{'bjjX', 'tjjl'}","{'bbjX', 'tbjl'}","{'jjjX', 'jjjT'}","{'bjjT', 'bjjX'}","{'tjjT', 'bjjX'}","{'tbjT', 'bbjX'}"
l,"{'jj', 'jjlX', 'jjX', 'jjll'}","{'bjX', 'bj', 'bjlX', 'bjll'}","{'tjX', 'bjlX', 'tj', 'tjll'}","{'tbll', 'tbX', 'tb', 'bblX'}","{'jjTX', 'jjlX', 'jjX', 'jjTl'}","{'bjX', 'bjTl', 'bjlX', 'bjTX'}","{'bjTX', 'bjlX', 'tjX', 'tjTl'}","{'tbTl', 'bbTX', 'tbX', 'bblX'}"
nu,"{'jj', 'jjlX', 'jjX', 'jjll'}","{'bjX', 'bj', 'bjll', 'bjlX'}","{'bjX', 'bj', 'bjll', 'tjlX'}","{'bbX', 'bb', 'bbll', 'tblX'}","{'jjTX', 'jjlX', 'jjX', 'jjTl'}","{'bjX', 'bjTX', 'bjTl', 'bjlX'}","{'bjX', 'bjTl', 'tjlX', 'tjTX'}","{'bbX', 'tbTX', 'bbTl', 'tblX'}"
e,"{'jjlX', 'jjll'}","{'bjll', 'bjlX'}","{'bjlX', 'tjll'}","{'tbll', 'bblX'}","{'jjlX', 'jjTl'}","{'bjTl', 'bjlX'}","{'bjlX', 'tjTl'}","{'tbTl', 'bblX'}"
