CAT,LSP,AA,AB,BB,ALL,AA (Common),AB (Common),BB (Common),ALL (Common),AA (Same Flavour),AB (Same Flavour),BB (Same Flavour),ALL (Same Flavour)
L L E_3,['b'],{'bbTTllX'},-,-,{'bbTTllX'},TTXllbb,-,-,TTXllbb,['bbTTllX'],-,-,['bbTTllX']
L L E_3,"['tau_L', 'nu_tau']","{'LTTlX', 'TTX', 'LLTTllX'}","{'LTTTlllX', 'LLTTlX', 'LTTX'}","{'LLTTX', 'TTTTllll', 'LTTTllX'}","{'TTX', 'LTTX', 'LLTTlX', 'LLTTllX', 'TTTTllll', 'LTTTlllX', 'LLTTX'}",TTX,TTX,TT,TT,"['TTX', 'LLTTllX', 'LTTlX']","['LTTTlllX', 'LLTTlX', 'LTTX']","['LTTTllX', 'LLTTX', 'TTTTllll']","['LTTTlllX', 'LLTTllX', 'LLTTX', 'LTTX', 'TTX', 'TTTTllll', 'LLTTlX']"
L L E_3,['tau'],"{'TTTTllX', 'llX', 'TTllX'}",-,-,"{'TTTTllX', 'llX', 'TTllX'}",Xll,-,-,Xll,"['TTTTllX', 'llX', 'TTllX']",-,-,"['TTTTllX', 'llX', 'TTllX']"
L_3 L E_3,['B'],{'LLTTX'},-,-,{'LLTTX'},TTX,-,-,TTX,['LLTTX'],-,-,['LLTTX']
L_3 L E_3,"['W^+', 'W^0']","{'jjLTTX', 'tbjjLLTTX', 'TTX', 'vvtbLLTTX', 'tbLLLTTX', 'ttbbLLTTX', 'tbLTTX', 'jjLLLTTX', 'jjjjLLTTX', 'vvvvLLTTX', 'vvjjLLTTX', 'LLLLTTX', 'vvLLLTTX', 'LLTTX', 'TTTTll', 'vvLTTX'}","{'tttbLLTTX', 'jjLLLLTTX', 'ttLLLTTX', 'tbLLLLTTX', 'tbbbLLTTX', 'LTTX', 'bbLTTX', 'vvvvLLTTX', 'jjLTTX', 'vv33LLTTX', 'LLLLLTTX', '33jjLLTTX', 'jjLLLTTX', 'jjjjLLTTX', 'vvLLLTTX', 'vvLLTTX', 'bbLLLTTX', 'tbLLTTX', 'ttLTTX', 'LLLTTX', 'vvjjLLTTX', 'jjLLTTX', 'vvLLLLTTX', 'vvLTTX'}","{'bbbbLLTTX', 'jjLLLLTTX', 'LLTTX', 'vvttLLTTX', 'LLLLLLTTX', 'bbjjLLTTX', 'bbLLLLTTX', 'bbLLTTX', 'vvvvLLTTX', 'LLLLTTX', 'ttLLTTX', 'jjjjLLTTX', 'vvLLTTX', 'ttjjLLTTX', 'vvbbLLTTX', 'ttttLLTTX', 'ttbbLLTTX', 'ttLLLLTTX', 'vvjjLLTTX', 'jjLLTTX', 'vvLLLLTTX'}","{'TTX', '33LTTX', '33LLLLTTX', '33LLLTTX', 'jjLLLLTTX', 'LLTTX', 'LLLLLLTTX', 'LTTX', 'TTTTll', 'vvvvLLTTX', 'LLLLTTX', 'jjLTTX', 'vv33LLTTX', 'LLLLLTTX', '33LLTTX', '33jjLLTTX', 'jjLLLTTX', 'vvLLLTTX', 'jjjjLLTTX', 'vvLLTTX', 'LLLTTX', 'vvjjLLTTX', 'jjLLTTX', 'vvLLLLTTX', '3333LLTTX', 'vvLTTX'}",TT,XTT,XTT,TT,"['jjLTTX', 'tbLTTX', 'tbjjLLTTX', 'ttbbLLTTX', 'jjjjLLTTX', 'LLLLTTX', 'tbLLLTTX', 'jjLLLTTX', 'LLTTX', 'vvLTTX', 'TTX', 'vvvvLLTTX', 'tbvvLLTTX', 'jjvvLLTTX', 'vvLLLTTX', 'TTTTll']","['LLLLLTTX', 'jjLLLLTTX', 'tbLLLLTTX', '(JJ)LTTX', 'tttbLLTTX', 'tbbbLLTTX', '33jjLLTTX', 'jjjjLLTTX', 'tbLLTTX', 'jjLLTTX', '(JJ)LLLTTX', 'LTTX', 'vvLTTX', 'vvLLTTX', 'vvvvLLTTX', '(JJ)vvLLTTX', 'vvLLLTTX', 'LLLTTX', 'vvLLLLTTX']","['(JJ)LLLLTTX', 'LLLLLLTTX', 'bbbbLLTTX', 'bbjjLLTTX', 'jjjjLLTTX', 'ttjjLLTTX', 'ttttLLTTX', 'ttbbLLTTX', 'LLLLTTX', '(JJ)LLTTX', 'LLTTX', 'vvLLTTX', 'vvvvLLTTX', '(JJ)vvLLTTX', 'vvLLLLTTX']","['(JJ)LLLLTTX', 'LLLLTTX', '(JJ)LLTTX', 'LTTX', 'vvLTTX', 'vvLLTTX', 'vvvvLLTTX', 'vvLLLTTX', 'TTTTll', 'LLLLLTTX', 'TTX', 'vvLLLLTTX', 'LLLLLLTTX', '(JJ)LTTX', 'LLTTX', '(JJ)vvLLTTX', 'LLLTTX', '33jjLLTTX', 'jjjjLLTTX', '3333LLTTX', '(JJ)LLLTTX']"
L_3 L E_3,['G'],"{'jjjjLTTTlX', '33jjLTTX', 'bbbbLLTTX', 'bbjjLLTTX', '33jjTTTlX', 'tttbLTTX', 'jjjjTTTTll', 'tttbLTTTlX', 'tbbbLTTTlX', 'tbjjTTX', 'jjjjLLTTX', 'jjjjLTTX', '33jjLTTTlX', 'tbjjTTTTll', 'ttjjLLTTX', 'ttbbTTTTll', 'ttttLLTTX', 'ttbbLLTTX', 'jjjjTTX', 'ttbbTTX', 'tbbbLTTX'}",-,-,"{'jjjjLTTTlX', '33jjLTTX', 'bbbbLLTTX', 'bbjjLLTTX', '33jjTTTlX', 'tttbLTTX', 'jjjjTTTTll', 'tttbLTTTlX', 'tbbbLTTTlX', 'tbjjTTX', 'jjjjLLTTX', 'jjjjLTTX', '33jjLTTTlX', 'tbjjTTTTll', 'ttjjLLTTX', 'ttbbTTTTll', 'ttttLLTTX', 'ttbbLLTTX', 'jjjjTTX', 'ttbbTTX', 'tbbbLTTX'}",TT,-,-,TT,"['jjjjTTTTll', 'tbjjTTTTll', 'ttbbTTTTll', 'bbbbLLTTX', 'bbjjLLTTX', '33jjTlTTX', 'jjjjLLTTX', 'ttjjLLTTX', 'ttttLLTTX', 'ttbbLLTTX', '33jjLTTX', 'tttbLTTX', 'jjjjLTTX', 'tbbbLTTX', 'tbjjTTX', 'jjjjTTX', 'ttbbTTX', 'jjjjLTTTlX', 'tttbLTTTlX', 'tbbbLTTTlX', '33jjLTTTlX']",-,-,"['jjjjTTTTll', 'tbjjTTTTll', 'ttbbTTTTll', 'bbbbLLTTX', 'bbjjLLTTX', '33jjTlTTX', 'jjjjLLTTX', 'ttjjLLTTX', 'ttttLLTTX', 'ttbbLLTTX', '33jjLTTX', 'tttbLTTX', 'jjjjLTTX', 'tbbbLTTX', 'tbjjTTX', 'jjjjTTX', 'ttbbTTX', 'jjjjLTTTlX', 'tttbLTTTlX', 'tbbbLTTTlX', '33jjLTTTlX']"
L_3 L E_3,"['H^+', 'H^0']","{'vvTTX', 'vvTTTTll', 'vvLLTTX', 'vvLTTX', 'vvLTTTlX'}","{'vvTTX', 'vvTTTTll', 'vvLLTTX', 'vvLTTX', 'vvLTTTlX'}","{'vvTTX', 'vvTTTTll', 'vvLLTTX', 'vvLTTX', 'vvLTTTlX'}","{'vvTTX', 'vvTTTTll', 'vvLLTTX', 'vvLTTX', 'vvLTTTlX'}",TTvv,TTvv,TTvv,TTvv,"['vvTTTTll', 'vvTTX', 'vvLTTX', 'vvLLTTX', 'vvLTTTlX']","['vvTTTTll', 'vvTTX', 'vvLTTX', 'vvLLTTX', 'vvLTTTlX']","['vvTTTTll', 'vvTTX', 'vvLTTX', 'vvLLTTX', 'vvLTTTlX']","['vvTTTTll', 'vvTTX', 'vvLTTX', 'vvLLTTX', 'vvLTTTlX']"
L_3 L E_3,['q'],"{'jjLTTX', 'jjLTTTlX', 'jjTTX', 'jjTTTTll', 'jjLLTTX'}",-,-,"{'jjLTTX', 'jjLTTTlX', 'jjTTX', 'jjTTTTll', 'jjLLTTX'}",TTjj,-,-,TTjj,"['jjLTTX', 'jjTTTTll', 'jjLLTTX', 'jjLTTTlX', 'jjTTX']",-,-,"['jjLTTX', 'jjTTTTll', 'jjLLTTX', 'jjLTTTlX', 'jjTTX']"
L_3 L E_3,['d'],{'jjLLTTX'},-,-,{'jjLLTTX'},TTXjj,-,-,TTXjj,['jjLLTTX'],-,-,['jjLLTTX']
L_3 L E_3,['u'],{'jjLLTTX'},-,-,{'jjLLTTX'},TTXjj,-,-,TTXjj,['jjLLTTX'],-,-,['jjLLTTX']
L_3 L E_3,"['l', 'nu']","{'LTTlX', 'TTX', 'LLTTllX'}","{'LTTTlllX', 'LLTTlX', 'LTTX'}","{'TTTT', 'TTTTll', 'TTTTllll', 'LTTTllX', 'LLTTX'}","{'TTTT', 'TTX', 'LTTX', 'LLTTlX', 'LLTTllX', 'TTTTll', 'TTTTllll', 'LTTTlllX', 'LLTTX'}",TTX,TTX,TT,TT,"['TTX', 'LLTTllX', 'LTTlX']","['LTTTlllX', 'LLTTlX', 'LTTX']","['LTTTllX', 'TTTT', 'LLTTX', 'TTTTllll', 'TTTTll']","['LTTTlllX', 'LLTTllX', 'LLTTX', 'LTTX', 'TTX', 'TTTTllll', 'TTTTll', 'LLTTlX', 'TTTT']"
L_3 L E_3,['e'],{'LLTTllX'},-,-,{'LLTTllX'},TTXll,-,-,TTXll,['LLTTllX'],-,-,['LLTTllX']
L_3 L E_3,"['b_L', 't_L']","{'ttTTTTll', 'tbLTTTlX', 'tbLTTX', 'bbLLTTX', 'ttTTX', 'ttTTTlX'}","{'ttLTTX', 'bbLTTX', 'ttLTTTlX', 'bbLTTTlX', 'tbTTTTll', 'tbTTX', 'tbLLTTX'}","{'ttLLTTX', 'tbLTTTlX', 'tbLTTX', 'bbTTTlX', 'bbTTTTll', 'bbTTX'}","{'33TTTTll', '33LTTX', '33LTTTlX', '33TTX', '33LLTTX'}",TT,TT,TT,TT,"['tbLTTX', 'ttTTTTll', 'bbLLTTX', 'ttTlTTX', 'tbLTTTlX', 'ttTTX']","['ttLTTX', 'bbLTTX', 'tbTTTTll', 'tbLLTTX', 'ttLTTTlX', 'bbLTTTlX', 'tbTTX']","['tbLTTX', 'bbTTTTll', 'ttLLTTX', 'bbTlTTX', 'tbLTTTlX', 'bbTTX']","['33LTTX', '33TTTTll', '33LLTTX', '33LTTTlX', '33TTX']"
L_3 L E_3,['t'],{'ttLLTTX'},-,-,{'ttLLTTX'},TTXtt,-,-,TTXtt,['ttLLTTX'],-,-,['ttLLTTX']
L_3 L E_3,['b'],{'bbLLTTX'},-,-,{'bbLLTTX'},TTXbb,-,-,TTXbb,['bbLLTTX'],-,-,['bbLLTTX']
L_3 L E_3,"['tau_L', 'nu_tau']","{'LLTTTTX', 'TTX', 'LTTTX'}","{'LTTTTTlX', 'LLTTTX', 'LTTX'}","{'TTll', 'LTTTTlX', 'TTTTTTll', 'TTTTll', 'LLTTX'}","{'TTll', 'TTX', 'LTTX', 'TTTTTTll', 'LLTTTTX', 'LLTTTX', 'LTTTTTlX', 'TTTTll', 'LLTTX'}",TTX,TTX,TT,TT,"['LLTTTTX', 'TTX', 'LTTTX']","['LTTTTTlX', 'LLTTTX', 'LTTX']","['LTTTTlX', 'TTll', 'LLTTX', 'TTTTTTll', 'TTTTll']","['LTTTTTlX', 'LLTTTTX', 'LLTTX', 'LTTX', 'TTX', 'TTTTTTll', 'TTTTll', 'LLTTTX', 'TTll']"
L_3 L E_3,['tau'],"{'LLX', 'LLTTX', 'LLTTTTX'}",-,-,"{'LLX', 'LLTTX', 'LLTTTTX'}",X,-,-,X,"['LLX', 'LLTTTTX', 'LLTTX']",-,-,"['LLX', 'LLTTTTX', 'LLTTX']"
