LSP,L L E,L_3 L E,L L E_3,L_3 L E_3
['B'],{'llllX'},{'LLllX'},{'TTllX'},{'LLTTX'}
"['W^+', 'W^0']","{'33TTllllX', 'vv33llllX', '33llllllX', 'llllll', 'vvvvllllX', 'vvlllX', 'jjllllX', 'LLLllllX', '33jjllllX', 'jjLllllX', 'llllllllX', 'vvllllX', 'jjTTllllX', 'TTllllllX', 'jjllllllX', 'jjlllX', 'vvTTllllX', '33lllX', 'vvllllllX', '33llllX', 'vvjjllllX', 'jjjjllllX', 'LLlllX', 'LlllX', 'vvLllllX', 'TTTTllllX', 'lllX', 'llX', '33LllllX', 'LLllllX', '3333llllX'}","{'LLLLLLllX', 'vvjjLLllX', 'jjLllX', 'jjLLLLllX', 'vvLLllX', 'vvvvLLllX', 'vvLLLllX', 'LllX', 'LLLLllX', 'vvLllX', '33LLLllX', '33LllX', '33LLLLllX', '3333LLllX', 'vvLLLLllX', 'LLLllX', 'LLLLLllX', 'vv33LLllX', 'jjLLLllX', '33jjLLllX', 'LLllX', 'jjjjLLllX', '33LLllX', 'llX', 'jjLLllX', 'TTllll'}","{'33TTllX', '33TTllllX', 'TTTTTTllX', 'LLTTllX', 'LLLTTllX', 'vvTTTTllX', '33TTlX', 'vvLTTllX', 'LTTlX', 'jjjjTTllX', 'vvTTlX', '33LTTllX', 'jjTTllllX', 'TTllllllX', 'TTlX', 'vvTTllllX', 'vvvvTTllX', 'vvjjTTllX', 'jjTTllX', 'jjLTTllX', 'vvTTllX', 'jjTTTTllX', 'LLTTlX', '33jjTTllX', 'TTTTllllX', 'vv33TTllX', '33TTTTllX', 'TTX', 'jjTTlX', '3333TTllX', 'TTllll'}","{'LTTX', '33LLTTX', 'LLLLLTTX', 'vvvvLLTTX', '33LLLLTTX', 'LLLTTX', 'vvLLTTX', '33LTTX', '33LLLTTX', 'TTTTll', '33jjLLTTX', 'jjLLLTTX', 'LLLLTTX', 'jjjjLLTTX', 'LLTTX', '3333LLTTX', 'jjLLLLTTX', 'vvLTTX', 'vvLLLTTX', 'LLLLLLTTX', 'vv33LLTTX', 'vvLLLLTTX', 'jjLLTTX', 'jjLTTX', 'TTX', 'vvjjLLTTX'}"
['G'],"{'tbbblllllX', 'jjjjlllllX', '33jjlllllX', 'ttbbllX', 'jjjjllllll', '33jjlllX', 'tttblllX', '33jjllllX', 'jjjjlllX', 'tttblllllX', 'ttbbllllX', 'tbjjllX', 'jjjjllllX', 'ttttllllX', 'jjjjllX', 'tbbblllX', 'bbbbllllX', 'tbjjllllll', 'ttbbllllll'}","{'bbjjLLllX', 'bbbbLLllX', 'ttbbllX', 'tbjjTTllll', 'ttttLLllX', 'ttjjLLllX', 'jjjjLTlllX', 'tbjjllX', 'ttbbLLllX', '33jjTlllX', 'tttbLTlllX', '33jjLTlllX', 'jjjjllX', 'tttbLllX', 'jjjjTTllll', 'jjjjLLllX', 'ttbbTTllll', 'tbbbLTlllX', 'jjjjLllX', 'tbbbLllX', '33jjLllX'}","{'bbbbTTllX', 'tbbbTTlX', 'ttbbTTX', 'ttttTTllX', 'jjjjTTlX', 'jjjjTTllX', '33jjTTlX', '33jjTTlllX', 'tbbbTTlllX', 'tbjjTTllll', 'tttbTTlllX', 'tbjjTTX', 'ttbbTTllX', '33jjTTllX', 'jjjjTTlllX', 'jjjjTTllll', 'jjjjTTX', 'ttbbTTllll', 'tttbTTlX'}","{'ttbbTTX', 'tbbbLTTX', 'jjjjLTTTlX', 'ttbbTTTTll', 'tbjjTTX', 'jjjjTTTTll', '33jjTTTlX', 'jjjjLLTTX', '33jjLTTX', 'tttbLTTX', 'ttjjLLTTX', 'bbjjLLTTX', 'jjjjLTTX', 'bbbbLLTTX', 'tttbLTTTlX', '33jjLTTTlX', 'ttttLLTTX', 'jjjjTTX', 'ttbbLLTTX', 'tbbbLTTTlX', 'tbjjTTTTll'}"
"['H^+', 'H^0']","{'vvlllllX', 'vvllX', 'vvllllX', 'vvllllll', 'vvlllX'}","{'vvLLllX', 'vvLllX', 'vvllX', 'vvTTllll', 'vvLTlllX'}","{'vvTTlX', 'vvTTllll', 'vvTTllX', 'vvTTX', 'vvTTlllX'}","{'vvTTTTll', 'vvLTTTlX', 'vvLLTTX', 'vvTTX', 'vvLTTX'}"
['q'],"{'jjlllX', 'jjllllX', 'jjllX', 'jjlllllX', 'jjllllll'}","{'jjLllX', 'jjLTlllX', 'jjllX', 'jjTTllll', 'jjLLllX'}","{'jjTTllX', 'jjTTlllX', 'jjTTllll', 'jjTTlX', 'jjTTX'}","{'jjLTTTlX', 'jjTTTTll', 'jjLLTTX', 'jjLTTX', 'jjTTX'}"
['d'],{'jjllllX'},{'jjLLllX'},{'jjTTllX'},{'jjLLTTX'}
['u'],{'jjllllX'},{'jjLLllX'},{'jjTTllX'},{'jjLLTTX'}
"['l', 'nu']","{'llll', 'lllllX', 'lllX', 'llX', 'llllllX', 'llllX'}","{'LLlllX', 'TTllllll', 'TTll', 'LllX', 'LLllX', 'LTlllllX', 'llX', 'LLllllX', 'TTllll'}","{'TTllllX', 'TTlllX', 'TTX', 'TTlX', 'TTll', 'TTllX'}","{'TTTTll', 'LTTX', 'LLTTX', 'LLTTllX', 'LTTTlllX', 'TTTT', 'LLTTlX', 'TTX', 'TTTTllll'}"
['e'],"{'llX', 'llllX', 'llllllX'}","{'LLllX', 'LLllllX', 'LLX'}",{'TTllllX'},{'LLTTllX'}
"['b_L', 't_L']","{'33llX', '33lllX', '33llllll', '33llllX', '33lllllX'}","{'33llX', '33LTlllX', '33LLllX', '33TTllll', '33LllX'}","{'33TTX', '33TTllX', '33TTlX', '33TTllll', '33TTlllX'}","{'33TTX', '33LLTTX', '33LTTX', '33LTTTlX', '33TTTTll'}"
['t'],{'ttllllX'},{'ttLLllX'},{'ttTTllX'},{'ttLLTTX'}
['b'],{'bbllllX'},{'bbLLllX'},{'bbTTllX'},{'bbLLTTX'}
"['tau_L', 'nu_tau']","{'LLllX', 'TTllllll', 'LTlllllX', 'LLlllX', 'llX', 'LLllllX', 'LllX'}","{'LLTTllX', 'LTTTlllX', 'LLTllX', 'LllX', 'LLllX', 'llll', 'llX', 'TTllll', 'TTTTllll'}","{'LTTX', 'LLTTX', 'LLTTlX', 'TTX', 'LLTTllX', 'LTTTlllX', 'TTTTllll'}","{'TTTTll', 'LTTX', 'LLTTX', 'LLTTTX', 'TTll', 'TTTTTTll', 'TTX', 'LLTTTTX', 'LTTTTTlX'}"
['tau'],{'TTllllX'},{'LLTTllX'},"{'llX', 'TTTTllX', 'TTllX'}","{'LLTTTTX', 'LLTTX', 'LLX'}"
