CAT,LSP,AA,AB,BB,ALL,AA (Common),AB (Common),BB (Common),ALL (Common),AA (Same Flavour),AB (Same Flavour),BB (Same Flavour),ALL (Same Flavour)
U D_3 D,"['W^+', 'W^0']","{'v3bjjjjLX', 'v3tbbjjjj', 'ttbbbbjjjj', 'vvv3bjjjj', 'bbjjjjjjjj', 'tbbbjjjjLX', 'bbjjjjLLX', 'vvbbjjjjjj', 'vvbbjjjjLX', 'vvtbbbjjjj', 'v3bjjjjjj', 'bbjjjjjjLX', 'tbbbjjjjjj', 'vvvvbbjjjj', 'vv33jjjj'}","{'v3bjjjjll', 'vvbbjjjjll', 'v3bjjjjjj', 'v333bjjjj', 'bbjjjjLLLX', 'vvvvbbjjjj', 'tbbbjjjjX', 'tbbbbbjjjj', 'tbbbjjjjll', 'bbjjjjjjll', 'vvbbjjjjjj', 'bbbbjjjjLX', 'vvbbjjjjLX', 'vv33bbjjjj', 'bbjjjjjjLX', 'ttbbjjjjLX', 'vvbbjjjjTT', '33bbjjjjjj', 'v3bjjjjLX', 'v3bjjjjX', 'vvv3bjjjj', 'bbjjjjjjX', 'bbjjjjjjTT', 'v3bjjjjTT', 'bbjjjjjjjj', 'tttbbbjjjj', 'bbjjjjLX', 'tbbbjjjjTT', 'vvbbjjjjX', 'vv33jjjj'}","{'bbjjjjTTTT', 'v3bjjjjll', 'vvbbjjjjll', 'vvbbbbjjjj', 'v3bjjjjjj', 'v333bjjjj', 'bbjjjjX', 'vvvvbbjjjj', 'ttbbjjjjjj', 'bbjjjjllll', 'bbjjjjjjll', 'vvbbjjjjjj', 'ttbbjjjjX', 'ttbbjjjjTT', 'vvbbjjjjTT', 'bbbbjjjjX', 'v3bjjjjX', 'vvv3bjjjj', 'bbbbjjjjTT', 'bbjjjjjjX', 'bbjjjjTTX', 'bbjjjjTTll', 'ttbbjjjjll', 'bbjjjjllX', 'bbjjjjjjTT', 'ttttbbjjjj', 'bbbbbbjjjj', 'v3bjjjjTT', 'bbjjjjjjjj', 'bbbbjjjjjj', 'vvbbjjjjX', 'bbbbjjjjll', 'ttbbbbjjjj', 'vvttbbjjjj', 'vv33jjjj'}","{'bbjjjjTTTT', 'v3bjjjjll', '33bbjjjjLX', '33bbjjjjll', 'vvbbjjjjll', 'v3bjjjjjj', 'v333bjjjj', 'bbjjjjLLLX', 'bbjjjjX', 'vvvvbbjjjj', 'bbjjjjllll', 'bbjjjjjjll', 'vvbbjjjjjj', '33bbjjjjX', 'vvbbjjjjLX', 'vv33bbjjjj', 'bbjjjjjjLX', 'vvbbjjjjTT', '33bbjjjjjj', 'v3bjjjjLX', 'v3bjjjjX', 'vvv3bjjjj', '3333bbjjjj', 'bbjjjjjjX', 'bbjjjjLLX', 'bbjjjjjjTT', 'v3bjjjjTT', 'bbjjjjjjjj', '33bbjjjjTT', 'bbjjjjLX', 'vvbbjjjjX', 'bbjjjjTTll', 'vv33jjjj'}",jjjj,jjjj,jjjj,jjjj,"['bbjjjjLLX', 'vv33jjjj', 'v3bjjjjLX', 'jjvvbbjjjj', 'tbvvbbjjjj', 'vvbbjjjjLX', 'tbv3bjjjj', 'jjv3bjjjj', 'vvvvbbjjjj', 'vvv3bjjjj', 'ttbbbbjjjj', 'jjjjbbjjjj', 'tbjjbbjjjj', 'tbbbjjjjLX', 'jjbbjjjjLX']","['tbllbbjjjj', 'jjllbbjjjj', 'jjTTbbjjjj', 'tbTTbbjjjj', 'vvbbjjjjX', 'v3bjjjjX', 'vv33jjjj', 'bbjjjjLLLX', '(JJ)vvbbjjjj', 'v3bjjjjLX', '(LL)vvbbjjjj', 'vvbbjjjjLX', '(JJ)v3bjjjj', '(LL)v3bjjjj', 'vvv3bjjjj', 'vvvvbbjjjj', 'bbjjjjLX', 'tbbbbbjjjj', '33jjbbjjjj', 'jjjjbbjjjj', 'tttbbbjjjj', '(JJ)bbjjjjLX', 'tbbbjjjjX', 'jjbbjjjjX']","['jjllbbjjjj', 'ttTTbbjjjj', 'bbTTbbjjjj', 'ttllbbjjjj', 'jjTTbbjjjj', 'bbllbbjjjj', 'vvbbjjjjX', 'v3bjjjjX', '(LL)bbjjjjX', 'vv33jjjj', 'TTTTbbjjjj', 'llllbbjjjj', 'TTllbbjjjj', '(JJ)vvbbjjjj', '(LL)vvbbjjjj', '(JJ)v3bjjjj', '(LL)v3bjjjj', 'vvv3bjjjj', 'vvvvbbjjjj', 'ttjjbbjjjj', 'ttttbbjjjj', 'bbbbbbjjjj', 'jjjjbbjjjj', 'bbjjbbjjjj', 'ttbbbbjjjj', 'bbjjjjX', '(JJ)bbjjjjX']","['bbjjjjLLX', '(JJ)v3bjjjj', '33llbbjjjj', 'jjllbbjjjj', 'jjTTbbjjjj', '33TTbbjjjj', 'vv33jjjj', 'bbjjjjLLLX', '(JJ)vvbbjjjj', '(LL)v3bjjjj', '33jjbbjjjj', '3333bbjjjj', 'jjjjbbjjjj', '(JJ)bbjjjjLX', '(JJ)bbjjjjX', 'vvbbjjjjX', 'v3bjjjjX', 'TTTTbbjjjj', 'llllbbjjjj', 'TTllbbjjjj', 'vvbbjjjjLX', 'vvv3bjjjj', 'v3bjjjjLX', '(LL)vvbbjjjj', 'vvvvbbjjjj', 'bbjjjjLX', 'bbjjjjX']"
U D_3 D,['G'],{'bbjjjj'},-,-,{'bbjjjj'},bbjjjj,-,-,bbjjjj,['bbjjjj'],-,-,['bbjjjj']
U D_3 D,"['H^+', 'H^0']","{'vtbjjjj', 'ttjjjj', 'vvbbjjjj'}","{'tbjjjj', 'v3bjjjj', 'vvbbjjjj'}","{'bbjjjj', 'vbbjjjj', 'vvbbjjjj'}","{'v3bjjjj', '33jjjj', 'vvbbjjjj'}",jjjj,bjjjj,bbjjjj,jjjj,"['ttjjjj', 'vtbjjjj', 'vvbbjjjj']","['tbjjjj', 'v3bjjjj', 'vvbbjjjj']","['bbjjjj', 'vbbjjjj', 'vvbbjjjj']","['33jjjj', 'v3bjjjj', 'vvbbjjjj']"
U D_3 D,['q'],{'bbjjjjjj'},-,-,{'bbjjjjjj'},bbjjjjjj,-,-,bbjjjjjj,['bbjjjjjj'],-,-,['bbjjjjjj']
U D_3 D,['d'],"{'bbjjjj', 'bbjjjjjj', 'bbjj'}",-,-,"{'bbjjjj', 'bbjjjjjj', 'bbjj'}",bbjj,-,-,bbjj,"['bbjjjj', 'bbjjjjjj', 'bbjj']",-,-,"['bbjjjj', 'bbjjjjjj', 'bbjj']"
U D_3 D,['u'],"{'bbjjjj', 'bbjjjjjj', 'bbjj'}",-,-,"{'bbjjjj', 'bbjjjjjj', 'bbjj'}",bbjj,-,-,bbjj,"['bbjjjj', 'bbjjjjjj', 'bbjj']",-,-,"['bbjjjj', 'bbjjjjjj', 'bbjj']"
U D_3 D,"['l', 'nu']",{'bbjjjjll'},{'bbjjjjlX'},{'bbjjjjX'},"{'bbjjjjlX', 'bbjjjjX', 'bbjjjjll'}",bbjjjjll,bbXjjjjl,bbXjjjj,bbjjjj,['bbjjjjll'],['bbjjjjlX'],['bbjjjjX'],"['bbjjjjlX', 'bbjjjjX', 'bbjjjjll']"
U D_3 D,['e'],{'bbjjjjll'},-,-,{'bbjjjjll'},bbjjjjll,-,-,bbjjjjll,['bbjjjjll'],-,-,['bbjjjjll']
U D_3 D,"['b_L', 't_L']","{'ttttjjjj', 'ttbbjjjj', 'bbbbjjjj'}","{'tbbbjjjj', 'tttbjjjj'}",{'ttbbjjjj'},{'3333jjjj'},jjjj,tbjjjj,ttbbjjjj,jjjj,"['ttttjjjj', 'ttbbjjjj', 'bbbbjjjj']","['bbtbjjjj', 'tttbjjjj']",['ttbbjjjj'],['3333jjjj']
U D_3 D,['t'],{'ttbbjjjj'},-,-,{'ttbbjjjj'},ttbbjjjj,-,-,ttbbjjjj,['ttbbjjjj'],-,-,['ttbbjjjj']
