CAT,LSP,AA,AB,BB,ALL,AA (Common),AB (Common),BB (Common),ALL (Common),AA (Same Flavour),AB (Same Flavour),BB (Same Flavour),ALL (Same Flavour)
L_3 Q D_3,"['W^+', 'W^0']","{'v3bjjX', 'vv33jjTT', 'bbjjTX', 'v3bjjTX', 'vv33jjX', 'v3bjjTT', 'bbjjX', 'bbjjTT', 'vv33jjTX'}","{'v3bjjX', 'vv33jjTT', 'bbjjTX', 'v3bjjTX', 'vv33jjX', 'v3bjjTT', 'bbjjX', 'bbjjTT', 'vv33jjTX'}","{'v3bjjX', 'vv33jjTT', 'bbjjTX', 'v3bjjTX', 'vv33jjX', 'v3bjjTT', 'bbjjX', 'bbjjTT', 'vv33jjTX'}","{'v3bjjX', 'vv33jjTT', 'bbjjTX', 'v3bjjTX', 'vv33jjX', 'v3bjjTT', 'bbjjX', 'bbjjTT', 'vv33jjTX'}",jj,jj,jj,jj,"['vv33jjX', 'v3bjjTT', 'v3bjjTX', 'bbjjTX', 'vv33jjTX', 'v3bjjX', 'bbjjX', 'bbjjTT', 'vv33jjTT']","['vv33jjX', 'v3bjjTT', 'v3bjjTX', 'bbjjTX', 'vv33jjTX', 'v3bjjX', 'bbjjX', 'bbjjTT', 'vv33jjTT']","['vv33jjX', 'v3bjjTT', 'v3bjjTX', 'bbjjTX', 'vv33jjTX', 'v3bjjX', 'bbjjX', 'bbjjTT', 'vv33jjTT']","['vv33jjX', 'v3bjjTT', 'v3bjjTX', 'bbjjTX', 'vv33jjTX', 'v3bjjX', 'bbjjX', 'bbjjTT', 'vv33jjTT']"
L_3 Q D_3,['G'],"{'33bbjjTX', 'bbjjTX', '33bbjjjjTT', '33bbjjTT', '33bbjjX', 'bbjjjjjjX', '3333bbjjX', '3333bbjjTX', 'bbjjjjX', 'bbjjX', '3333bbjjTT', 'bbjjjjjjTT', 'bbjjjjTX', 'bbjjTT', '33bbjjjjTX', 'bbjjjjTT', '33bbjjjjX', 'bbjjjjjjTX'}",-,-,"{'33bbjjTX', 'bbjjTX', '33bbjjjjTT', '33bbjjTT', '33bbjjX', 'bbjjjjjjX', '3333bbjjX', '3333bbjjTX', 'bbjjjjX', 'bbjjX', '3333bbjjTT', 'bbjjjjjjTT', 'bbjjjjTX', 'bbjjTT', '33bbjjjjTX', 'bbjjjjTT', '33bbjjjjX', 'bbjjjjjjTX'}",jjbb,-,-,jjbb,"['(JJ)bbjjTT', '(JJ)bbjjTX', '(JJ)bbjjX', 'jjjjbbjjX', '3333bbjjX', '33jjbbjjX', 'bbjjTX', 'bbjjX', '3333bbjjTX', '33jjbbjjTX', 'jjjjbbjjTX', 'bbjjTT', '33jjbbjjTT', '3333bbjjTT', 'jjjjbbjjTT']",-,-,"['(JJ)bbjjTT', '(JJ)bbjjTX', '(JJ)bbjjX', 'jjjjbbjjX', '3333bbjjX', '33jjbbjjX', 'bbjjTX', 'bbjjX', '3333bbjjTX', '33jjbbjjTX', 'jjjjbbjjTX', 'bbjjTT', '33jjbbjjTT', '3333bbjjTT', 'jjjjbbjjTT']"
L_3 Q D_3,"['H^+', 'H^0']","{'ttjjTX', 'vtbjjTT', 'vtbjjTX', 'vvbbjjX', 'vvbbjjTX', 'ttjjX', 'vvbbjjTT', 'vtbjjX', 'ttjjTT'}","{'v3bjjX', 'vvbbjjTX', 'vvbbjjX', 'v3bjjTX', 'vvbbjjTT', 'v3bjjTT', 'tbjjTX', 'tbjjTT', 'tbjjX'}","{'vbbjjTT', 'vbbjjX', 'bbjjTX', 'vvbbjjTX', 'vvbbjjX', 'vbbjjTX', 'vvbbjjTT', 'bbjjX', 'bbjjTT'}","{'v3bjjX', 'vvbbjjX', 'vvbbjjTX', 'v3bjjTX', 'vvbbjjTT', '33jjTX', '33jjTT', 'v3bjjTT', '33jjX'}",jj,jjb,jjbb,jj,"['vvbbjjX', 'vtbjjTT', 'vtbjjTX', 'ttjjTX', 'vvbbjjTX', 'vtbjjX', 'ttjjX', 'ttjjTT', 'vvbbjjTT']","['vvbbjjX', 'v3bjjTT', 'v3bjjTX', 'tbjjTX', 'vvbbjjTX', 'v3bjjX', 'tbjjX', 'tbjjTT', 'vvbbjjTT']","['vvbbjjX', 'vbbjjTT', 'vbbjjTX', 'bbjjTX', 'vvbbjjTX', 'vbbjjX', 'bbjjX', 'bbjjTT', 'vvbbjjTT']","['vvbbjjX', 'v3bjjTT', 'v3bjjTX', '33jjTX', 'vvbbjjTX', 'v3bjjX', '33jjX', '33jjTT', 'vvbbjjTT']"
L_3 Q D_3,['q'],"{'bbTT', 'bbjjTX', 'bbjjjjX', 'bbjjX', 'bbjjTT', 'bbX', 'bbjjjjTX', 'bbjjjjTT', 'bbTX'}",-,-,"{'bbTT', 'bbjjTX', 'bbjjjjX', 'bbjjX', 'bbjjTT', 'bbX', 'bbjjjjTX', 'bbjjjjTT', 'bbTX'}",bb,-,-,bb,"['bbjjjjTT', 'bbjjjjTX', 'bbjjTX', 'bbTT', 'bbX', 'bbjjX', 'bbTX', 'bbjjTT', 'bbjjjjX']",-,-,"['bbjjjjTT', 'bbjjjjTX', 'bbjjTX', 'bbTT', 'bbX', 'bbjjX', 'bbTX', 'bbjjTT', 'bbjjjjX']"
L_3 Q D_3,['d'],"{'bbjjjjX', 'bbjjjjTT', 'bbjjjjTX'}",-,-,"{'bbjjjjX', 'bbjjjjTT', 'bbjjjjTX'}",jjjjbb,-,-,jjjjbb,"['bbjjjjTT', 'bbjjjjTX', 'bbjjjjX']",-,-,"['bbjjjjTT', 'bbjjjjTX', 'bbjjjjX']"
L_3 Q D_3,['u'],"{'bbjjjjX', 'bbjjjjTT', 'bbjjjjTX'}",-,-,"{'bbjjjjX', 'bbjjjjTT', 'bbjjjjTX'}",jjjjbb,-,-,jjjjbb,"['bbjjjjTT', 'bbjjjjTX', 'bbjjjjX']",-,-,"['bbjjjjTT', 'bbjjjjTX', 'bbjjjjX']"
L_3 Q D_3,"['l', 'nu']","{'bbjjLX', 'bbjjTTll', 'bbjjLTlX', 'bbjjX', 'bbjjLLX'}","{'bbjjLX', 'bbjjTTll', 'bbjjLTlX', 'bbjjX', 'bbjjLLX'}","{'bbjjLX', 'bbjjTTll', 'bbjjLTlX', 'bbjjX', 'bbjjLLX'}","{'bbjjLX', 'bbjjTTll', 'bbjjLTlX', 'bbjjX', 'bbjjLLX'}",jjbb,jjbb,jjbb,jjbb,"['bbjjLTlX', 'bbjjLX', 'bbjjLLX', 'bbjjX', 'bbjjTTll']","['bbjjLTlX', 'bbjjLX', 'bbjjLLX', 'bbjjX', 'bbjjTTll']","['bbjjLTlX', 'bbjjLX', 'bbjjLLX', 'bbjjX', 'bbjjTTll']","['bbjjLTlX', 'bbjjLX', 'bbjjLLX', 'bbjjX', 'bbjjTTll']"
L_3 Q D_3,['e'],"{'bbjjTllX', 'bbjjTTll', 'bbjjllX'}",-,-,"{'bbjjTllX', 'bbjjTTll', 'bbjjllX'}",jjllbb,-,-,jjllbb,"['bbjjllX', 'bbjjTllX', 'bbjjTTll']",-,-,"['bbjjllX', 'bbjjTllX', 'bbjjTTll']"
L_3 Q D_3,"['b_L', 't_L']","{'3333jjTX', '3333jjTT', '3333jjX'}","{'333bjjX', '333bjjTX', '333bjjTT'}","{'33bbjjTX', '33bbjjTT', '33bbjjX'}","{'3333jjTX', '3333jjTT', '3333jjX'}",jj,jjb,jjbb,jj,"['3333jjTT', '3333jjTX', '3333jjX']","['333bjjTT', '333bjjTX', '333bjjX']","['33bbjjTT', '33bbjjTX', '33bbjjX']","['3333jjTT', '3333jjTX', '3333jjX']"
L_3 Q D_3,['t'],"{'ttbbjjTT', 'ttbbjjX', 'ttbbjjTX'}",-,-,"{'ttbbjjTT', 'ttbbjjX', 'ttbbjjTX'}",jjttbb,-,-,jjttbb,"['ttbbjjTT', 'ttbbjjTX', 'ttbbjjX']",-,-,"['ttbbjjTT', 'ttbbjjTX', 'ttbbjjX']"
