LSP,U D D,U D_3 D,U D_3 D_3,U_3 D D,U_3 D_3 D,U_3 D_3 D_3
['B'],{'jjjjjj'},{'bbjjjj'},{'bbbbjj'},{'ttjjjj'},{'ttbbjj'},{'ttbbbb'}
"['W^+', 'W^0']","{'33jjjjjjjj', 'jjjjjjX', '33jjjjjjX', 'vvjjjjjjll', 'jjjjjjLX', '33jjjjjjLX', 'jjjjjjTTll', 'jjjjjjllll', '33jjjjjjTT', 'jjjjjjTTTT', 'jjjjjjjjX', 'vvvvjjjjjj', 'jjjjjjjjll', 'jjjjjjjjLX', 'vv33jjjjjj', 'vvjjjjjjX', 'jjjjjjjjTT', 'jjjjjjLLLX', 'vvjjjjjjjj', 'vvjjjjjjLX', 'vvjjjjjjTT', 'jjjjjjLLX', 'jjjjjjjjjj', '33jjjjjjll', '3333jjjjjj'}","{'bbjjjjLX', 'v3bjjjjX', '3333bbjjjj', 'bbjjjjTTTT', 'vvbbjjjjll', 'bbjjjjjjll', 'v3bjjjjll', 'vv33bbjjjj', 'bbjjjjLLX', '33bbjjjjX', 'v3bjjjjjj', 'bbjjjjX', 'vv33jjjj', '33bbjjjjll', '33bbjjjjTT', '33bbjjjjLX', 'bbjjjjTTll', 'bbjjjjjjjj', 'vvbbjjjjLX', 'bbjjjjjjLX', 'v333bjjjj', 'v3bjjjjTT', 'bbjjjjjjTT', 'vvv3bjjjj', 'bbjjjjllll', 'vvbbjjjjTT', 'vvbbjjjjjj', 'v3bjjjjLX', 'vvbbjjjjX', '33bbjjjjjj', 'vvvvbbjjjj', 'bbjjjjLLLX', 'bbjjjjjjX'}","{'bbbbjjjjjj', 'bbbbjjTTll', 'vvbbbbjjll', 'v333bbbjj', 'vvbbbbjjTT', '33bbbbjjTT', 'vvvvbbbbjj', 'bbbbjjjjll', 'v3bbbjjll', 'bbbbjjjjLX', '3333bbbbjj', '33bbbbjjX', 'bbbbjjllll', 'v3bbbjjTT', '33bbbbjjLX', 'vvv3bbbjj', 'bbbbjjTTTT', 'bbbbjjX', 'bbbbjjLLLX', 'vv33bbbbjj', 'vvbbbbjjjj', 'v3bbbjjX', '33bbbbjjjj', 'bbbbjjLX', 'vvbbbbjjX', 'bbbbjjjjTT', 'v3bbbjjjj', 'v3bbbjjLX', 'bbbbjjjjX', 'vvbbbbjjLX', 'bbbbjjLLX', 'vv33bbjj', '33bbbbjjll'}","{'33ttjjjjLX', 'vvv3tjjjj', 'ttjjjjllll', 'v3tjjjjLX', '3333ttjjjj', 'ttjjjjLX', 'v3tjjjjll', 'ttjjjjjjll', 'vvttjjjjTT', 'vvttjjjjjj', 'v3tjjjjX', 'vvttjjjjX', 'vv33jjjj', 'ttjjjjjjLX', 'ttjjjjTTTT', 'vv33ttjjjj', 'vvttjjjjll', 'ttjjjjjjjj', 'ttjjjjTTll', '33ttjjjjjj', 'ttjjjjLLLX', 'ttjjjjX', 'v3tjjjjjj', '33ttjjjjll', '33ttjjjjTT', '33ttjjjjX', 'v3tjjjjTT', 'ttjjjjLLX', 'vvvvttjjjj', 'ttjjjjjjTT', 'vvttjjjjLX', 'ttjjjjjjX', 'v333tjjjj'}","{'v33tbjjjj', 'ttbbjjTTll', 'v33tbjjTT', 'ttbbjjjjll', '33ttbbjjjj', '33ttbbjjLX', 'vvttbbjjTT', 'ttbbjjTTTT', 'vvttbbjjX', 'v33tbjjll', 'ttbbjjLX', 'ttbbjjjjX', 'vv33ttbbjj', '33ttbbjjll', 'v33tbjjX', 'vvttbbjjLX', 'v3333tbjj', 'vvttbbjjjj', 'ttbbjjLLX', 'ttbbjjjjLX', 'ttbbjjllll', 'ttbbjjjjjj', 'ttbbjjX', 'vvttbbjjll', 'vv3333jj', 'vvv33tbjj', 'v33tbjjLX', '33ttbbjjTT', '3333ttbbjj', '33ttbbjjX', 'ttbbjjjjTT', 'vvvvttbbjj', 'ttbbjjLLLX'}",{'vv3333bb'}
['G'],{'jjjjjj'},{'bbjjjj'},{'bbbbjj'},{'ttjjjj'},{'ttbbjj'},{'ttbbbb'}
"['H^+', 'H^0']",{'vvjjjjjj'},"{'33jjjj', 'vvbbjjjj', 'v3bjjjj'}","{'v3bbbjj', 'vvbbbbjj', '33bbjj'}","{'33jjjj', 'vvttjjjj', 'v3tjjjj'}","{'3333jj', 'v33tbjj', 'vvttbbjj'}",{'3333bb'}
['q'],{'jjjjjjjj'},{'bbjjjjjj'},{'bbbbjjjj'},{'ttjjjjjj'},{'ttbbjjjj'},{'ttbbbbjj'}
['d'],"{'jjjjjj', 'jjjj', 'jjjjjjjj'}","{'bbjjjjjj', 'bbjj', 'bbjjjj'}",{'bbbbjjjj'},"{'ttjjjjjj', 'ttjj', 'ttjjjj'}","{'ttbbjj', 'ttbb', 'ttbbjjjj'}",{'ttbbbbjj'}
['u'],"{'jjjjjj', 'jjjj', 'jjjjjjjj'}","{'bbjjjjjj', 'bbjj', 'bbjjjj'}","{'bbbbjjjj', 'bbbbjj', 'bbbb'}",{'ttjjjjjj'},{'ttbbjjjj'},{'ttbbbbjj'}
"['l', 'nu']","{'jjjjjjll', 'jjjjjjlX', 'jjjjjjX'}","{'bbjjjjlX', 'bbjjjjll', 'bbjjjjX'}","{'bbbbjjX', 'bbbbjjll', 'bbbbjjlX'}","{'ttjjjjlX', 'ttjjjjX', 'ttjjjjll'}","{'ttbbjjll', 'ttbbjjX', 'ttbbjjlX'}","{'ttbbbblX', 'ttbbbbX', 'ttbbbbll'}"
['e'],{'jjjjjjll'},{'bbjjjjll'},{'bbbbjjll'},{'ttjjjjll'},{'ttbbjjll'},{'ttbbbbll'}
"['b_L', 't_L']",{'33jjjjjj'},{'3333jjjj'},{'3333bbjj'},{'3333jjjj'},{'333333jj'},{'333333bb'}
