CAT A,CAT B,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
U D_3 D_3,L_3 L E_3,B,B,bbj,TTX,"['B -- (j) -- u -- [b,b]', 'B -- (b) -- b -- [j,b]', 'B -- (b) -- b -- [j,b]']","['B -- (T) -- tau_L -- [X,T]', 'B -- (X) -- nu -- [T,T]', 'B -- (T) -- tau -- [T,X]']",bbjTTX, 1j_l + 2b, 2tau + MET, 1j_l + 2b + 2tau + MET
U D_3 D_3,L_3 L E_3,B,B,bbj,TlX,"['B -- (j) -- u -- [b,b]', 'B -- (b) -- b -- [j,b]', 'B -- (b) -- b -- [j,b]']","['B -- (l) -- l -- [X,T]', 'B -- (X) -- nu_tau -- [l,T]', 'B -- (T) -- tau -- [l,X]']",bbjTlX, 1j_l + 2b, 1l + 1tau + MET, 1j_l + 2b + 1l + 1tau + MET
U_3 D D,L L E,B,B,tjj,llX,"['B -- (t) -- t -- [j,j]', 'B -- (j) -- d -- [t,j]', 'B -- (j) -- d -- [t,j]']","['B -- (l) -- l -- [X,l]', 'B -- (X) -- nu -- [l,l]', 'B -- (l) -- e -- [l,X]']",tjjllX, 2j_l + 1t, 2l + MET, 2j_l + 1t + 2l + MET
U_3 D D,L_3 L E,B,B,tjj,llX,"['B -- (t) -- t -- [j,j]', 'B -- (j) -- d -- [t,j]', 'B -- (j) -- d -- [t,j]']","['B -- (l) -- l -- [X,l]', 'B -- (X) -- nu_tau -- [l,l]', 'B -- (l) -- e -- [l,X]']",tjjllX, 2j_l + 1t, 2l + MET, 2j_l + 1t + 2l + MET
U_3 D D,L_3 L E,B,B,tjj,TlX,"['B -- (t) -- t -- [j,j]', 'B -- (j) -- d -- [t,j]', 'B -- (j) -- d -- [t,j]']","['B -- (T) -- tau_L -- [X,l]', 'B -- (X) -- nu -- [T,l]', 'B -- (l) -- e -- [T,X]']",tjjTlX, 2j_l + 1t, 1l + 1tau + MET, 2j_l + 1t + 1l + 1tau + MET
U_3 D D,L L E_3,B,B,tjj,TlX,"['B -- (t) -- t -- [j,j]', 'B -- (j) -- d -- [t,j]', 'B -- (j) -- d -- [t,j]']","['B -- (l) -- l -- [X,T]', 'B -- (X) -- nu -- [l,T]', 'B -- (T) -- tau -- [l,X]']",tjjTlX, 2j_l + 1t, 1l + 1tau + MET, 2j_l + 1t + 1l + 1tau + MET
U_3 D D,L_3 L E_3,B,B,tjj,TTX,"['B -- (t) -- t -- [j,j]', 'B -- (j) -- d -- [t,j]', 'B -- (j) -- d -- [t,j]']","['B -- (T) -- tau_L -- [X,T]', 'B -- (X) -- nu -- [T,T]', 'B -- (T) -- tau -- [T,X]']",tjjTTX, 2j_l + 1t, 2tau + MET, 2j_l + 1t + 2tau + MET
U_3 D D,L_3 L E_3,B,B,tjj,TlX,"['B -- (t) -- t -- [j,j]', 'B -- (j) -- d -- [t,j]', 'B -- (j) -- d -- [t,j]']","['B -- (l) -- l -- [X,T]', 'B -- (X) -- nu_tau -- [l,T]', 'B -- (T) -- tau -- [l,X]']",tjjTlX, 2j_l + 1t, 1l + 1tau + MET, 2j_l + 1t + 1l + 1tau + MET
U_3 D_3 D,L L E,B,B,tbj,llX,"['B -- (t) -- t -- [j,b]', 'B -- (j) -- d -- [t,b]', 'B -- (b) -- b -- [t,j]']","['B -- (l) -- l -- [X,l]', 'B -- (X) -- nu -- [l,l]', 'B -- (l) -- e -- [l,X]']",tbjllX, 1j_l + 1t + 1b, 2l + MET, 1j_l + 1t + 1b + 2l + MET
U_3 D_3 D,L_3 L E,B,B,tbj,llX,"['B -- (t) -- t -- [j,b]', 'B -- (j) -- d -- [t,b]', 'B -- (b) -- b -- [t,j]']","['B -- (l) -- l -- [X,l]', 'B -- (X) -- nu_tau -- [l,l]', 'B -- (l) -- e -- [l,X]']",tbjllX, 1j_l + 1t + 1b, 2l + MET, 1j_l + 1t + 1b + 2l + MET
