Mother,Daughter,All Possible Signature,Minimal Set (same flavour)
l,G,"['jjE', 'jjl', 'bbl', 'ttl', 'tbE']","['jjE', '(JJ)l', 'tbE']"
l,H^+,"['vE', 'vl']","['vE', 'vl']"
l,H^0,"['vE', 'vl']","['vE', 'vl']"
l,q,"['jE', 'jl']","['jE', 'jl']"
l,d,['jl'],['jl']
l,u,['jl'],['jl']
l,nu,['lE'],['lE']
l,e,['ll'],['ll']
l,b_L,"['tE', 'bl']","['tE', 'bl']"
l,t_L,"['bE', 'tl']","['bE', 'tl']"
l,t,['tl'],['tl']
l,b,['bl'],['bl']
l,tau_L,"['Tl', 'E']","['Tl', 'E']"
l,nu_tau,"['TE', 'lE']",['LE']
l,tau,['Tl'],['Tl']
nu,B,['E'],['E']
nu,W^+,['l'],['l']
nu,W^0,['E'],['E']
nu,G,"['jjE', 'tbl', 'jjl', 'ttE', 'bbE']","['jjl', 'tbl', '(JJ)E']"
nu,H^+,"['vE', 'vl']","['vE', 'vl']"
nu,H^0,"['vE', 'vl']","['vE', 'vl']"
nu,q,"['jE', 'jl']","['jE', 'jl']"
nu,d,['jE'],['jE']
nu,u,['jE'],['jE']
nu,l,['lE'],['lE']
nu,e,['lE'],['lE']
nu,b_L,"['bE', 'tl']","['bE', 'tl']"
nu,t_L,"['tE', 'bl']","['tE', 'bl']"
nu,t,['tE'],['tE']
nu,b,['bE'],['bE']
nu,tau_L,"['TE', 'lE']",['LE']
nu,nu_tau,"['Tl', 'E']","['Tl', 'E']"
nu,tau,['TE'],['TE']
e,B,['l'],['l']
e,W^+,"['tbl', 'jjl', 'vvl', 'TlE', 'llE']","['jjl', 'tbl', 'LlE', 'vvl']"
e,W^0,"['jjl', 'lE', 'bbl', 'vvl', 'ttl', 'lll', 'TTl']","['(JJ)l', 'lE', '(LL)l', 'vvl']"
e,G,"['ttl', 'jjl', 'bbl']",['(JJ)l']
e,H^+,['vl'],['vl']
e,H^0,['vl'],['vl']
e,q,['jl'],['jl']
e,d,['jl'],['jl']
e,u,['jl'],['jl']
e,l,['ll'],['ll']
e,nu,['lE'],['lE']
e,b_L,['bl'],['bl']
e,t_L,['tl'],['tl']
e,t,['tl'],['tl']
e,b,['bl'],['bl']
e,tau_L,['Tl'],['Tl']
e,nu_tau,['lE'],['lE']
e,tau,['Tl'],['Tl']
b_L,B,['b'],['b']
b_L,W^+,['t'],['t']
b_L,W^0,['b'],['b']
b_L,G,['b'],['b']
b_L,H^+,['t'],['t']
b_L,H^0,['b'],['b']
b_L,q,"['bj', 'tj']",['3j']
b_L,d,['bj'],['bj']
b_L,u,['bj'],['bj']
b_L,l,"['tE', 'bl']","['tE', 'bl']"
b_L,nu,"['bE', 'tl']","['bE', 'tl']"
b_L,e,['bl'],['bl']
b_L,t_L,['tb'],['tb']
b_L,t,['tb'],['tb']
b_L,b,"['tt', 'bb']","['tt', 'bb']"
b_L,tau_L,"['bT', 'tE']","['bT', 'tE']"
b_L,nu_tau,"['bE', 'tT']","['bE', 'tT']"
b_L,tau,['bT'],['bT']
t_L,B,['t'],['t']
t_L,W^+,['b'],['b']
t_L,W^0,['t'],['t']
t_L,G,['t'],['t']
t_L,H^+,['b'],['b']
t_L,H^0,['t'],['t']
t_L,q,"['bj', 'tj']",['3j']
t_L,d,['tj'],['tj']
t_L,u,['tj'],['tj']
t_L,l,"['bE', 'tl']","['bE', 'tl']"
t_L,nu,"['tE', 'bl']","['tE', 'bl']"
t_L,e,['tl'],['tl']
t_L,b_L,['tb'],['tb']
t_L,t,"['tt', 'bb']","['tt', 'bb']"
t_L,b,['tb'],['tb']
t_L,tau_L,"['bE', 'tT']","['bE', 'tT']"
t_L,nu_tau,"['bT', 'tE']","['bT', 'tE']"
t_L,tau,['tT'],['tT']
t,B,['t'],['t']
t,W^+,"['vt', 'vb']",['v3']
t,W^0,"['vt', 'vb']",['v3']
t,G,['t'],['t']
t,H^+,['b'],['b']
t,H^0,['t'],['t']
t,q,['tj'],['tj']
t,d,['tj'],['tj']
t,u,['tj'],['tj']
t,l,['tl'],['tl']
t,nu,['tE'],['tE']
t,e,['tl'],['tl']
t,b_L,['tb'],['tb']
t,t_L,"['tt', 'bb']","['tt', 'bb']"
t,b,['tb'],['tb']
t,tau_L,['tT'],['tT']
t,nu_tau,['tE'],['tE']
t,tau,['tT'],['tT']
b,B,['b'],['b']
b,W^+,"['vt', 'vb']",['v3']
b,W^0,"['vt', 'vb']",['v3']
b,G,['b'],['b']
b,H^+,['t'],['t']
b,H^0,['b'],['b']
b,q,['bj'],['bj']
b,d,['bj'],['bj']
b,u,['bj'],['bj']
b,l,['bl'],['bl']
b,nu,['bE'],['bE']
b,e,['bl'],['bl']
b,b_L,"['tt', 'bb']","['tt', 'bb']"
b,t_L,['tb'],['tb']
b,t,['tb'],['tb']
b,tau_L,['bT'],['bT']
b,nu_tau,['bE'],['bE']
b,tau,['bT'],['bT']
tau_L,B,['T'],['T']
tau_L,W^+,['E'],['E']
tau_L,W^0,['T'],['T']
tau_L,G,"['ttT', 'jjE', 'jjT', 'bbT', 'tbE']","['jjE', '(JJ)T', 'tbE']"
tau_L,H^+,"['vE', 'vT']","['vE', 'vT']"
tau_L,H^0,"['vE', 'vT']","['vE', 'vT']"
tau_L,q,"['jT', 'jE']","['jT', 'jE']"
tau_L,d,['jT'],['jT']
tau_L,u,['jT'],['jT']
tau_L,l,"['Tl', 'E']","['Tl', 'E']"
tau_L,nu,"['TE', 'lE']",['LE']
tau_L,e,['Tl'],['Tl']
tau_L,b_L,"['bT', 'tE']","['bT', 'tE']"
tau_L,t_L,"['bE', 'tT']","['bE', 'tT']"
tau_L,t,['tT'],['tT']
tau_L,b,['bT'],['bT']
tau_L,nu_tau,['TE'],['TE']
tau_L,tau,['TT'],['TT']
nu_tau,B,['E'],['E']
nu_tau,W^+,['T'],['T']
nu_tau,W^0,['E'],['E']
nu_tau,G,"['jjE', 'tbT', 'jjT', 'ttE', 'bbE']","['tbT', 'jjT', '(JJ)E']"
nu_tau,H^+,"['vE', 'vT']","['vE', 'vT']"
nu_tau,H^0,"['vE', 'vT']","['vE', 'vT']"
nu_tau,q,"['jT', 'jE']","['jT', 'jE']"
nu_tau,d,['jE'],['jE']
nu_tau,u,['jE'],['jE']
nu_tau,l,"['TE', 'lE']",['LE']
nu_tau,nu,"['Tl', 'E']","['Tl', 'E']"
nu_tau,e,['lE'],['lE']
nu_tau,b_L,"['bE', 'tT']","['bE', 'tT']"
nu_tau,t_L,"['bT', 'tE']","['bT', 'tE']"
nu_tau,t,['tE'],['tE']
nu_tau,b,['bE'],['bE']
nu_tau,tau_L,['TE'],['TE']
nu_tau,tau,['TE'],['TE']
tau,B,['T'],['T']
tau,W^+,"['tbT', 'jjT', 'TlE', 'vvT', 'TTE']","['LTE', 'tbT', 'vvT', 'jjT']"
tau,W^0,"['ttT', 'jjT', 'TE', 'bbT', 'vvT', 'Tll', 'TTT']","['TE', '(JJ)T', 'vvT', '(LL)T']"
