CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L_3 L E,G,G,tblE,tblE,"['G -- (b) -- b_L -- (t) -- W^+ -- (E) -- l -- [E,l]', 'G -- (b) -- b_L -- (t) -- W^+ -- (E) -- tau_L -- [E,l]']","['G -- (b) -- b_L -- (t) -- W^+ -- (E) -- l -- [E,l]', 'G -- (b) -- b_L -- (t) -- W^+ -- (E) -- tau_L -- [E,l]']",ttbbllE, 1t + 1b + 1l + MET, 1t + 1b + 1l + MET, 2t + 2b + 2l + MET
L_3 L E,G,G,tblE,jjTll,"['G -- (b) -- b_L -- (t) -- W^+ -- (E) -- l -- [E,l]', 'G -- (b) -- b_L -- (t) -- W^+ -- (E) -- tau_L -- [E,l]']","['G -- (j) -- q -- (j) -- W^+ -- (T) -- nu_tau -- [l,l]', 'G -- (j) -- q -- (j) -- W^+ -- (l) -- nu -- [T,l]']",tbjjTlllE, 1t + 1b + 1l + MET, 2j_l + 2l + 1tau, 2j_l + 1t + 1b + 3l + 1tau + MET
L_3 L E,G,G,tblE,jjTlE,"['G -- (b) -- b_L -- (t) -- W^+ -- (E) -- l -- [E,l]', 'G -- (b) -- b_L -- (t) -- W^+ -- (E) -- tau_L -- [E,l]']","['G -- (j) -- q -- (j) -- B -- (T) -- tau_L -- [E,l]', 'G -- (j) -- q -- (j) -- B -- (E) -- nu -- [T,l]', 'G -- (j) -- q -- (j) -- B -- (l) -- e -- [T,E]']",tbjjTllE, 1t + 1b + 1l + MET, 2j_l + 1l + 1tau + MET, 2j_l + 1t + 1b + 2l + 1tau + MET
L_3 L E,G,G,tblE,ttllE,"['G -- (b) -- b_L -- (t) -- W^+ -- (E) -- l -- [E,l]', 'G -- (b) -- b_L -- (t) -- W^+ -- (E) -- tau_L -- [E,l]']","['G -- (t) -- t_L -- (t) -- B -- (l) -- l -- [E,l]', 'G -- (t) -- t_L -- (t) -- B -- (E) -- nu_tau -- [l,l]', 'G -- (t) -- t_L -- (t) -- B -- (l) -- e -- [l,E]']",tttblllE, 1t + 1b + 1l + MET, 2t + 2l + MET, 3t + 1b + 3l + MET
L_3 L E,G,G,tblE,ttTlE,"['G -- (b) -- b_L -- (t) -- W^+ -- (E) -- l -- [E,l]', 'G -- (b) -- b_L -- (t) -- W^+ -- (E) -- tau_L -- [E,l]']","['G -- (t) -- t_L -- (t) -- B -- (T) -- tau_L -- [E,l]', 'G -- (t) -- t_L -- (t) -- B -- (E) -- nu -- [T,l]', 'G -- (t) -- t_L -- (t) -- B -- (l) -- e -- [T,E]']",tttbTllE, 1t + 1b + 1l + MET, 2t + 1l + 1tau + MET, 3t + 1b + 2l + 1tau + MET
L_3 L E,G,G,tblE,jjlE,"['G -- (b) -- b_L -- (t) -- W^+ -- (E) -- l -- [E,l]', 'G -- (b) -- b_L -- (t) -- W^+ -- (E) -- tau_L -- [E,l]']","['G -- (j) -- q -- (j) -- W^+ -- (E) -- l -- [E,l]', 'G -- (j) -- q -- (j) -- W^+ -- (E) -- tau_L -- [E,l]']",tbjjllE, 1t + 1b + 1l + MET, 2j_l + 1l + MET, 2j_l + 1t + 1b + 2l + MET
L_3 L E,G,G,tblE,jjllE,"['G -- (b) -- b_L -- (t) -- W^+ -- (E) -- l -- [E,l]', 'G -- (b) -- b_L -- (t) -- W^+ -- (E) -- tau_L -- [E,l]']","['G -- (j) -- q -- (j) -- B -- (l) -- l -- [E,l]', 'G -- (j) -- q -- (j) -- B -- (E) -- nu_tau -- [l,l]', 'G -- (j) -- q -- (j) -- B -- (l) -- e -- [l,E]']",tbjjlllE, 1t + 1b + 1l + MET, 2j_l + 2l + MET, 2j_l + 1t + 1b + 3l + MET
L_3 L E,G,G,tblE,tbTll,"['G -- (b) -- b_L -- (t) -- W^+ -- (E) -- l -- [E,l]', 'G -- (b) -- b_L -- (t) -- W^+ -- (E) -- tau_L -- [E,l]']","['G -- (b) -- b_L -- (t) -- W^+ -- (T) -- nu_tau -- [l,l]', 'G -- (b) -- b_L -- (t) -- W^+ -- (l) -- nu -- [T,l]']",ttbbTlllE, 1t + 1b + 1l + MET, 1t + 1b + 2l + 1tau, 2t + 2b + 3l + 1tau + MET
L_3 L E,G,G,jjTll,bbTlE,"['G -- (j) -- q -- (j) -- W^+ -- (T) -- nu_tau -- [l,l]', 'G -- (j) -- q -- (j) -- W^+ -- (l) -- nu -- [T,l]']","['G -- (b) -- b_L -- (b) -- B -- (T) -- tau_L -- [E,l]', 'G -- (b) -- b_L -- (b) -- B -- (E) -- nu -- [T,l]', 'G -- (b) -- b_L -- (b) -- B -- (l) -- e -- [T,E]']",bbjjTTlllE, 2j_l + 2l + 1tau, 2b + 1l + 1tau + MET, 2j_l + 2b + 3l + 2tau + MET
L_3 L E,G,G,jjTll,bbllE,"['G -- (j) -- q -- (j) -- W^+ -- (T) -- nu_tau -- [l,l]', 'G -- (j) -- q -- (j) -- W^+ -- (l) -- nu -- [T,l]']","['G -- (b) -- b_L -- (b) -- B -- (l) -- l -- [E,l]', 'G -- (b) -- b_L -- (b) -- B -- (E) -- nu_tau -- [l,l]', 'G -- (b) -- b_L -- (b) -- B -- (l) -- e -- [l,E]']",bbjjTllllE, 2j_l + 2l + 1tau, 2b + 2l + MET, 2j_l + 2b + 4l + 1tau + MET
L_3 L E,G,G,jjTll,tblE,"['G -- (j) -- q -- (j) -- W^+ -- (T) -- nu_tau -- [l,l]', 'G -- (j) -- q -- (j) -- W^+ -- (l) -- nu -- [T,l]']","['G -- (b) -- b_L -- (t) -- W^+ -- (E) -- l -- [E,l]', 'G -- (b) -- b_L -- (t) -- W^+ -- (E) -- tau_L -- [E,l]']",tbjjTlllE, 2j_l + 2l + 1tau, 1t + 1b + 1l + MET, 2j_l + 1t + 1b + 3l + 1tau + MET
L_3 L E,G,G,jjTll,jjTll,"['G -- (j) -- q -- (j) -- W^+ -- (T) -- nu_tau -- [l,l]', 'G -- (j) -- q -- (j) -- W^+ -- (l) -- nu -- [T,l]']","['G -- (j) -- q -- (j) -- W^+ -- (T) -- nu_tau -- [l,l]', 'G -- (j) -- q -- (j) -- W^+ -- (l) -- nu -- [T,l]']",jjjjTTllll, 2j_l + 2l + 1tau, 2j_l + 2l + 1tau, 4j_l + 4l + 2tau
