CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L_3 Q D_3,tau_L,nu_tau,bjTE,bjE,"['tau_L -- (E) -- W^+ -- (j) -- q -- [T,b]', 'tau_L -- (T) -- B -- (j) -- q -- [E,b]', 'tau_L -- (T) -- B -- (b) -- b -- [E,j]']","['nu_tau -- (E) -- B -- (j) -- q -- [E,b]', 'nu_tau -- (E) -- B -- (b) -- b -- [E,j]']",bbjjTE, 1j_l + 1b + 1tau + MET, 1j_l + 1b + MET, 2j_l + 2b + 1tau + MET
L_3 Q D_3,tau_L,nu_tau,bjTE,bj,"['tau_L -- (E) -- W^+ -- (j) -- q -- [T,b]', 'tau_L -- (T) -- B -- (j) -- q -- [E,b]', 'tau_L -- (T) -- B -- (b) -- b -- [E,j]']","['nu_tau -- [j,b]']",bbjjTE, 1j_l + 1b + 1tau + MET, 1j_l + 1b, 2j_l + 2b + 1tau + MET
L_3 Q D_3,tau_L,nu_tau,bjTT,bjTE,"['tau_L -- (T) -- B -- (j) -- q -- [T,b]', 'tau_L -- (T) -- B -- (b) -- b -- [T,j]']","['nu_tau -- (E) -- B -- (j) -- q -- [T,b]', 'nu_tau -- (E) -- B -- (b) -- b -- [T,j]', 'nu_tau -- (T) -- W^+ -- (j) -- q -- [E,b]']",bbjjTTTE, 1j_l + 1b + 2tau, 1j_l + 1b + 1tau + MET, 2j_l + 2b + 3tau + MET
L_3 Q D_3,tau_L,nu_tau,bjTT,bjTT,"['tau_L -- (T) -- B -- (j) -- q -- [T,b]', 'tau_L -- (T) -- B -- (b) -- b -- [T,j]']","['nu_tau -- (T) -- W^+ -- (j) -- q -- [T,b]']",bbjjTTTT, 1j_l + 1b + 2tau, 1j_l + 1b + 2tau, 2j_l + 2b + 4tau
L_3 Q D_3,tau_L,nu_tau,bjTT,bjE,"['tau_L -- (T) -- B -- (j) -- q -- [T,b]', 'tau_L -- (T) -- B -- (b) -- b -- [T,j]']","['nu_tau -- (E) -- B -- (j) -- q -- [E,b]', 'nu_tau -- (E) -- B -- (b) -- b -- [E,j]']",bbjjTTE, 1j_l + 1b + 2tau, 1j_l + 1b + MET, 2j_l + 2b + 2tau + MET
L_3 Q D_3,tau_L,nu_tau,bjTT,bj,"['tau_L -- (T) -- B -- (j) -- q -- [T,b]', 'tau_L -- (T) -- B -- (b) -- b -- [T,j]']","['nu_tau -- [j,b]']",bbjjTT, 1j_l + 1b + 2tau, 1j_l + 1b, 2j_l + 2b + 2tau
L_3 Q D_3,tau_L,nu_tau,bjE,bjTE,"['tau_L -- (E) -- W^+ -- (j) -- q -- [E,b]']","['nu_tau -- (E) -- B -- (j) -- q -- [T,b]', 'nu_tau -- (E) -- B -- (b) -- b -- [T,j]', 'nu_tau -- (T) -- W^+ -- (j) -- q -- [E,b]']",bbjjTE, 1j_l + 1b + MET, 1j_l + 1b + 1tau + MET, 2j_l + 2b + 1tau + MET
L_3 Q D_3,tau_L,nu_tau,bjE,bjTT,"['tau_L -- (E) -- W^+ -- (j) -- q -- [E,b]']","['nu_tau -- (T) -- W^+ -- (j) -- q -- [T,b]']",bbjjTTE, 1j_l + 1b + MET, 1j_l + 1b + 2tau, 2j_l + 2b + 2tau + MET
L_3 Q D_3,tau_L,nu_tau,bjE,bjE,"['tau_L -- (E) -- W^+ -- (j) -- q -- [E,b]']","['nu_tau -- (E) -- B -- (j) -- q -- [E,b]', 'nu_tau -- (E) -- B -- (b) -- b -- [E,j]']",bbjjE, 1j_l + 1b + MET, 1j_l + 1b + MET, 2j_l + 2b + MET
L_3 Q D_3,tau_L,nu_tau,bjE,bj,"['tau_L -- (E) -- W^+ -- (j) -- q -- [E,b]']","['nu_tau -- [j,b]']",bbjjE, 1j_l + 1b + MET, 1j_l + 1b, 2j_l + 2b + MET
L_3 Q D_3,tau_L,nu_tau,bj,bjTE,"['tau_L -- [j,b]']","['nu_tau -- (E) -- B -- (j) -- q -- [T,b]', 'nu_tau -- (E) -- B -- (b) -- b -- [T,j]', 'nu_tau -- (T) -- W^+ -- (j) -- q -- [E,b]']",bbjjTE, 1j_l + 1b, 1j_l + 1b + 1tau + MET, 2j_l + 2b + 1tau + MET
L_3 Q D_3,tau_L,nu_tau,bj,bjTT,"['tau_L -- [j,b]']","['nu_tau -- (T) -- W^+ -- (j) -- q -- [T,b]']",bbjjTT, 1j_l + 1b, 1j_l + 1b + 2tau, 2j_l + 2b + 2tau
L_3 Q D_3,tau_L,nu_tau,bj,bjE,"['tau_L -- [j,b]']","['nu_tau -- (E) -- B -- (j) -- q -- [E,b]', 'nu_tau -- (E) -- B -- (b) -- b -- [E,j]']",bbjjE, 1j_l + 1b, 1j_l + 1b + MET, 2j_l + 2b + MET
L_3 Q D_3,tau_L,nu_tau,bj,bj,"['tau_L -- [j,b]']","['nu_tau -- [j,b]']",bbjj, 1j_l + 1b, 1j_l + 1b, 2j_l + 2b
L_3 Q_3 D,tau_L,nu_tau,bjTE,bjTT,"['tau_L -- (E) -- W^+ -- (b) -- t_L -- [T,j]', 'tau_L -- (T) -- B -- (b) -- b_L -- [E,j]', 'tau_L -- (T) -- B -- (j) -- d -- [E,b]']","['nu_tau -- (T) -- W^+ -- (b) -- t_L -- [T,j]']",bbjjTTTE, 1j_l + 1b + 1tau + MET, 1j_l + 1b + 2tau, 2j_l + 2b + 3tau + MET
L_3 Q_3 D,tau_L,nu_tau,bjTE,tjTE,"['tau_L -- (E) -- W^+ -- (b) -- t_L -- [T,j]', 'tau_L -- (T) -- B -- (b) -- b_L -- [E,j]', 'tau_L -- (T) -- B -- (j) -- d -- [E,b]']","['nu_tau -- (E) -- B -- (t) -- t_L -- [T,j]', 'nu_tau -- (E) -- B -- (j) -- d -- [T,t]', 'nu_tau -- (T) -- W^+ -- (t) -- b_L -- [E,j]']",tbjjTTE, 1j_l + 1b + 1tau + MET, 1j_l + 1t + 1tau + MET, 2j_l + 1t + 1b + 2tau + MET
L_3 Q_3 D,tau_L,nu_tau,bjTE,bj,"['tau_L -- (E) -- W^+ -- (b) -- t_L -- [T,j]', 'tau_L -- (T) -- B -- (b) -- b_L -- [E,j]', 'tau_L -- (T) -- B -- (j) -- d -- [E,b]']","['nu_tau -- [b,j]']",bbjjTE, 1j_l + 1b + 1tau + MET, 1j_l + 1b, 2j_l + 2b + 1tau + MET
L_3 Q_3 D,tau_L,nu_tau,bjTE,bjE,"['tau_L -- (E) -- W^+ -- (b) -- t_L -- [T,j]', 'tau_L -- (T) -- B -- (b) -- b_L -- [E,j]', 'tau_L -- (T) -- B -- (j) -- d -- [E,b]']","['nu_tau -- (E) -- B -- (b) -- b_L -- [E,j]', 'nu_tau -- (E) -- B -- (j) -- d -- [E,b]']",bbjjTE, 1j_l + 1b + 1tau + MET, 1j_l + 1b + MET, 2j_l + 2b + 1tau + MET
L_3 Q_3 D,tau_L,nu_tau,tjTT,bjTT,"['tau_L -- (T) -- B -- (t) -- t_L -- [T,j]', 'tau_L -- (T) -- B -- (j) -- d -- [T,t]']","['nu_tau -- (T) -- W^+ -- (b) -- t_L -- [T,j]']",tbjjTTTT, 1j_l + 1t + 2tau, 1j_l + 1b + 2tau, 2j_l + 1t + 1b + 4tau
L_3 Q_3 D,tau_L,nu_tau,tjTT,tjTE,"['tau_L -- (T) -- B -- (t) -- t_L -- [T,j]', 'tau_L -- (T) -- B -- (j) -- d -- [T,t]']","['nu_tau -- (E) -- B -- (t) -- t_L -- [T,j]', 'nu_tau -- (E) -- B -- (j) -- d -- [T,t]', 'nu_tau -- (T) -- W^+ -- (t) -- b_L -- [E,j]']",ttjjTTTE, 1j_l + 1t + 2tau, 1j_l + 1t + 1tau + MET, 2j_l + 2t + 3tau + MET
L_3 Q_3 D,tau_L,nu_tau,tjTT,bj,"['tau_L -- (T) -- B -- (t) -- t_L -- [T,j]', 'tau_L -- (T) -- B -- (j) -- d -- [T,t]']","['nu_tau -- [b,j]']",tbjjTT, 1j_l + 1t + 2tau, 1j_l + 1b, 2j_l + 1t + 1b + 2tau
L_3 Q_3 D,tau_L,nu_tau,tjTT,bjE,"['tau_L -- (T) -- B -- (t) -- t_L -- [T,j]', 'tau_L -- (T) -- B -- (j) -- d -- [T,t]']","['nu_tau -- (E) -- B -- (b) -- b_L -- [E,j]', 'nu_tau -- (E) -- B -- (j) -- d -- [E,b]']",tbjjTTE, 1j_l + 1t + 2tau, 1j_l + 1b + MET, 2j_l + 1t + 1b + 2tau + MET
