CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L L E,t,t,tllE,tllE,"['t -- (t) -- B -- (l) -- l -- [E,l]', 't -- (t) -- B -- (E) -- nu -- [l,l]', 't -- (t) -- B -- (l) -- e -- [l,E]']","['t -- (t) -- B -- (l) -- l -- [E,l]', 't -- (t) -- B -- (E) -- nu -- [l,l]', 't -- (t) -- B -- (l) -- e -- [l,E]']",ttllllE, 1t + 2l + MET, 1t + 2l + MET, 2t + 4l + MET
L_3 L E,B,B,llE,ttllE,"['B -- (l) -- l -- [E,l]', 'B -- (E) -- nu -- (l) -- W^+ -- (E) -- l -- [E,l]', 'B -- (E) -- nu_tau -- [l,l]', 'B -- (l) -- e -- [l,E]', 'B -- (l) -- l -- (E) -- W^+ -- (E) -- tau_L -- [E,l]']","['B -- (t) -- t_L -- (t) -- W^0 -- (l) -- l -- [E,l]', 'B -- (t) -- t_L -- (t) -- W^0 -- (E) -- nu_tau -- [l,l]']",ttllllE, 2l + MET, 2t + 2l + MET, 2t + 4l + MET
L_3 L E,B,B,ttllE,llE,"['B -- (t) -- t_L -- (t) -- W^0 -- (l) -- l -- [E,l]', 'B -- (t) -- t_L -- (t) -- W^0 -- (E) -- nu_tau -- [l,l]']","['B -- (l) -- l -- [E,l]', 'B -- (E) -- nu -- (l) -- W^+ -- (E) -- l -- [E,l]', 'B -- (E) -- nu_tau -- [l,l]', 'B -- (l) -- e -- [l,E]', 'B -- (l) -- l -- (E) -- W^+ -- (E) -- tau_L -- [E,l]']",ttllllE, 2t + 2l + MET, 2l + MET, 2t + 4l + MET
L_3 L E,W^0,W^0,llE,ttllE,"['W^0 -- (l) -- l -- [E,l]', 'W^0 -- (E) -- nu -- (E) -- B -- (l) -- l -- [E,l]', 'W^0 -- (E) -- nu_tau -- [l,l]', 'W^0 -- (E) -- nu -- (E) -- B -- (l) -- e -- [l,E]', 'W^0 -- (l) -- l -- (E) -- W^+ -- (E) -- tau_L -- [E,l]']","['W^0 -- (t) -- t_L -- (t) -- B -- (l) -- l -- [E,l]', 'W^0 -- (t) -- t_L -- (t) -- B -- (E) -- nu_tau -- [l,l]', 'W^0 -- (t) -- t_L -- (t) -- B -- (l) -- e -- [l,E]']",ttllllE, 2l + MET, 2t + 2l + MET, 2t + 4l + MET
L_3 L E,W^0,W^0,ttllE,llE,"['W^0 -- (t) -- t_L -- (t) -- B -- (l) -- l -- [E,l]', 'W^0 -- (t) -- t_L -- (t) -- B -- (E) -- nu_tau -- [l,l]', 'W^0 -- (t) -- t_L -- (t) -- B -- (l) -- e -- [l,E]']","['W^0 -- (l) -- l -- [E,l]', 'W^0 -- (E) -- nu -- (E) -- B -- (l) -- l -- [E,l]', 'W^0 -- (E) -- nu_tau -- [l,l]', 'W^0 -- (E) -- nu -- (E) -- B -- (l) -- e -- [l,E]', 'W^0 -- (l) -- l -- (E) -- W^+ -- (E) -- tau_L -- [E,l]']",ttllllE, 2t + 2l + MET, 2l + MET, 2t + 4l + MET
L_3 L E,t_L,t_L,tllE,tllE,"['t_L -- (t) -- B -- (l) -- l -- [E,l]', 't_L -- (t) -- B -- (E) -- nu_tau -- [l,l]', 't_L -- (t) -- B -- (l) -- e -- [l,E]']","['t_L -- (t) -- B -- (l) -- l -- [E,l]', 't_L -- (t) -- B -- (E) -- nu_tau -- [l,l]', 't_L -- (t) -- B -- (l) -- e -- [l,E]']",ttllllE, 1t + 2l + MET, 1t + 2l + MET, 2t + 4l + MET
L_3 L E,t,t,tllE,tllE,"['t -- (t) -- B -- (l) -- l -- [E,l]', 't -- (t) -- B -- (E) -- nu_tau -- [l,l]', 't -- (t) -- B -- (l) -- e -- [l,E]']","['t -- (t) -- B -- (l) -- l -- [E,l]', 't -- (t) -- B -- (E) -- nu_tau -- [l,l]', 't -- (t) -- B -- (l) -- e -- [l,E]']",ttllllE, 1t + 2l + MET, 1t + 2l + MET, 2t + 4l + MET
L L E,W^+,W^0,lllE,tblE,"['W^+ -- (l) -- nu -- (E) -- B -- (l) -- l -- [E,l]', 'W^+ -- (E) -- l -- (l) -- B -- (E) -- nu -- [l,l]', 'W^+ -- (E) -- l -- (l) -- B -- (l) -- e -- [l,E]']","['W^0 -- (b) -- b_L -- (t) -- W^+ -- (E) -- l -- [E,l]']",tbllllE, 3l + MET, 1t + 1b + 1l + MET, 1t + 1b + 4l + MET
L L E,W^+,W^0,lE,tblll,"['W^+ -- (E) -- l -- [E,l]']","['W^0 -- (b) -- b_L -- (t) -- W^+ -- (l) -- nu -- [l,l]']",tbllllE, 1l + MET, 1t + 1b + 3l, 1t + 1b + 4l + MET
L L E,W^+,W^0,tbllE,llE,"['W^+ -- (t) -- b_L -- (b) -- B -- (l) -- l -- [E,l]', 'W^+ -- (t) -- b_L -- (b) -- B -- (E) -- nu -- [l,l]', 'W^+ -- (t) -- b_L -- (b) -- B -- (l) -- e -- [l,E]']","['W^0 -- (l) -- l -- [E,l]', 'W^0 -- (E) -- nu -- (E) -- B -- (l) -- l -- [E,l]', 'W^0 -- (E) -- nu -- [l,l]', 'W^0 -- (E) -- nu -- (E) -- B -- (l) -- e -- [l,E]']",tbllllE, 1t + 1b + 2l + MET, 2l + MET, 1t + 1b + 4l + MET
