CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L Q D,tau,tau,jjTl,jjTl,"['tau -- (T) -- B -- (l) -- l -- [j,j]', 'tau -- (T) -- B -- (j) -- q -- [l,j]', 'tau -- (T) -- B -- (j) -- d -- [l,j]']","['tau -- (T) -- B -- (l) -- l -- [j,j]', 'tau -- (T) -- B -- (j) -- q -- [l,j]', 'tau -- (T) -- B -- (j) -- d -- [l,j]']",jjjjTTll, 2j_l + 1l + 1tau, 2j_l + 1l + 1tau, 4j_l + 2l + 2tau
L Q D,tau,tau,jjTl,jjTE,"['tau -- (T) -- B -- (l) -- l -- [j,j]', 'tau -- (T) -- B -- (j) -- q -- [l,j]', 'tau -- (T) -- B -- (j) -- d -- [l,j]']","['tau -- (T) -- B -- (E) -- nu -- [j,j]', 'tau -- (T) -- B -- (j) -- q -- [E,j]', 'tau -- (T) -- B -- (j) -- d -- [E,j]']",jjjjTTlE, 2j_l + 1l + 1tau, 2j_l + 1tau + MET, 4j_l + 1l + 2tau + MET
L Q D,tau,tau,jjTE,jjTl,"['tau -- (T) -- B -- (E) -- nu -- [j,j]', 'tau -- (T) -- B -- (j) -- q -- [E,j]', 'tau -- (T) -- B -- (j) -- d -- [E,j]']","['tau -- (T) -- B -- (l) -- l -- [j,j]', 'tau -- (T) -- B -- (j) -- q -- [l,j]', 'tau -- (T) -- B -- (j) -- d -- [l,j]']",jjjjTTlE, 2j_l + 1tau + MET, 2j_l + 1l + 1tau, 4j_l + 1l + 2tau + MET
L Q D,tau,tau,jjTE,jjTE,"['tau -- (T) -- B -- (E) -- nu -- [j,j]', 'tau -- (T) -- B -- (j) -- q -- [E,j]', 'tau -- (T) -- B -- (j) -- d -- [E,j]']","['tau -- (T) -- B -- (E) -- nu -- [j,j]', 'tau -- (T) -- B -- (j) -- q -- [E,j]', 'tau -- (T) -- B -- (j) -- d -- [E,j]']",jjjjTTE, 2j_l + 1tau + MET, 2j_l + 1tau + MET, 4j_l + 2tau + MET
L Q D_3,tau,tau,bjTE,bjTE,"['tau -- (T) -- B -- (E) -- nu -- [j,b]', 'tau -- (T) -- B -- (j) -- q -- [E,b]', 'tau -- (T) -- B -- (b) -- b -- [E,j]']","['tau -- (T) -- B -- (E) -- nu -- [j,b]', 'tau -- (T) -- B -- (j) -- q -- [E,b]', 'tau -- (T) -- B -- (b) -- b -- [E,j]']",bbjjTTE, 1j_l + 1b + 1tau + MET, 1j_l + 1b + 1tau + MET, 2j_l + 2b + 2tau + MET
L Q D_3,tau,tau,bjTE,bjTl,"['tau -- (T) -- B -- (E) -- nu -- [j,b]', 'tau -- (T) -- B -- (j) -- q -- [E,b]', 'tau -- (T) -- B -- (b) -- b -- [E,j]']","['tau -- (T) -- B -- (l) -- l -- [j,b]', 'tau -- (T) -- B -- (j) -- q -- [l,b]', 'tau -- (T) -- B -- (b) -- b -- [l,j]']",bbjjTTlE, 1j_l + 1b + 1tau + MET, 1j_l + 1b + 1l + 1tau, 2j_l + 2b + 1l + 2tau + MET
L Q D_3,tau,tau,bjTl,bjTE,"['tau -- (T) -- B -- (l) -- l -- [j,b]', 'tau -- (T) -- B -- (j) -- q -- [l,b]', 'tau -- (T) -- B -- (b) -- b -- [l,j]']","['tau -- (T) -- B -- (E) -- nu -- [j,b]', 'tau -- (T) -- B -- (j) -- q -- [E,b]', 'tau -- (T) -- B -- (b) -- b -- [E,j]']",bbjjTTlE, 1j_l + 1b + 1l + 1tau, 1j_l + 1b + 1tau + MET, 2j_l + 2b + 1l + 2tau + MET
L Q D_3,tau,tau,bjTl,bjTl,"['tau -- (T) -- B -- (l) -- l -- [j,b]', 'tau -- (T) -- B -- (j) -- q -- [l,b]', 'tau -- (T) -- B -- (b) -- b -- [l,j]']","['tau -- (T) -- B -- (l) -- l -- [j,b]', 'tau -- (T) -- B -- (j) -- q -- [l,b]', 'tau -- (T) -- B -- (b) -- b -- [l,j]']",bbjjTTll, 1j_l + 1b + 1l + 1tau, 1j_l + 1b + 1l + 1tau, 2j_l + 2b + 2l + 2tau
L Q_3 D,tau,tau,bjTE,bjTE,"['tau -- (T) -- B -- (E) -- nu -- [b,j]', 'tau -- (T) -- B -- (b) -- b_L -- [E,j]', 'tau -- (T) -- B -- (j) -- d -- [E,b]']","['tau -- (T) -- B -- (E) -- nu -- [b,j]', 'tau -- (T) -- B -- (b) -- b_L -- [E,j]', 'tau -- (T) -- B -- (j) -- d -- [E,b]']",bbjjTTE, 1j_l + 1b + 1tau + MET, 1j_l + 1b + 1tau + MET, 2j_l + 2b + 2tau + MET
L Q_3 D,tau,tau,bjTE,tjTl,"['tau -- (T) -- B -- (E) -- nu -- [b,j]', 'tau -- (T) -- B -- (b) -- b_L -- [E,j]', 'tau -- (T) -- B -- (j) -- d -- [E,b]']","['tau -- (T) -- B -- (l) -- l -- [t,j]', 'tau -- (T) -- B -- (t) -- t_L -- [l,j]', 'tau -- (T) -- B -- (j) -- d -- [l,t]']",tbjjTTlE, 1j_l + 1b + 1tau + MET, 1j_l + 1t + 1l + 1tau, 2j_l + 1t + 1b + 1l + 2tau + MET
