CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L_3 Q D,l,nu,jjE,jjTE,"['l -- (E) -- W^+ -- (E) -- tau_L -- [j,j]', 'l -- (E) -- W^+ -- (j) -- q -- [E,j]']","['nu -- (E) -- B -- (T) -- tau_L -- [j,j]', 'nu -- (E) -- B -- (j) -- q -- [T,j]', 'nu -- (E) -- B -- (j) -- d -- [T,j]']",jjjjTE, 2j_l + MET, 2j_l + 1tau + MET, 4j_l + 1tau + MET
L_3 Q D,l,nu,jjE,jjlE,"['l -- (E) -- W^+ -- (E) -- tau_L -- [j,j]', 'l -- (E) -- W^+ -- (j) -- q -- [E,j]']","['nu -- (l) -- W^+ -- (E) -- tau_L -- [j,j]', 'nu -- (l) -- W^+ -- (j) -- q -- [E,j]']",jjjjlE, 2j_l + MET, 2j_l + 1l + MET, 4j_l + 1l + MET
L_3 Q D,l,nu,jjE,jjE,"['l -- (E) -- W^+ -- (E) -- tau_L -- [j,j]', 'l -- (E) -- W^+ -- (j) -- q -- [E,j]']","['nu -- (E) -- B -- (E) -- nu_tau -- [j,j]', 'nu -- (E) -- B -- (j) -- q -- [E,j]', 'nu -- (E) -- B -- (j) -- d -- [E,j]']",jjjjE, 2j_l + MET, 2j_l + MET, 4j_l + MET
L_3 Q D_3,l,nu,bjTE,bjTE,"['l -- (E) -- W^+ -- (j) -- q -- [T,b]', 'l -- (E) -- W^+ -- (T) -- nu_tau -- [j,b]']","['nu -- (E) -- B -- (T) -- tau_L -- [j,b]', 'nu -- (E) -- B -- (j) -- q -- [T,b]', 'nu -- (E) -- B -- (b) -- b -- [T,j]']",bbjjTTE, 1j_l + 1b + 1tau + MET, 1j_l + 1b + 1tau + MET, 2j_l + 2b + 2tau + MET
L_3 Q D_3,l,nu,bjTE,bjlE,"['l -- (E) -- W^+ -- (j) -- q -- [T,b]', 'l -- (E) -- W^+ -- (T) -- nu_tau -- [j,b]']","['nu -- (l) -- W^+ -- (E) -- tau_L -- [j,b]', 'nu -- (l) -- W^+ -- (j) -- q -- [E,b]']",bbjjTlE, 1j_l + 1b + 1tau + MET, 1j_l + 1b + 1l + MET, 2j_l + 2b + 1l + 1tau + MET
L_3 Q D_3,l,nu,bjTE,bjE,"['l -- (E) -- W^+ -- (j) -- q -- [T,b]', 'l -- (E) -- W^+ -- (T) -- nu_tau -- [j,b]']","['nu -- (E) -- B -- (E) -- nu_tau -- [j,b]', 'nu -- (E) -- B -- (j) -- q -- [E,b]', 'nu -- (E) -- B -- (b) -- b -- [E,j]']",bbjjTE, 1j_l + 1b + 1tau + MET, 1j_l + 1b + MET, 2j_l + 2b + 1tau + MET
L_3 Q D_3,l,nu,bjTE,bjTl,"['l -- (E) -- W^+ -- (j) -- q -- [T,b]', 'l -- (E) -- W^+ -- (T) -- nu_tau -- [j,b]']","['nu -- (l) -- W^+ -- (j) -- q -- [T,b]', 'nu -- (l) -- W^+ -- (T) -- nu_tau -- [j,b]']",bbjjTTlE, 1j_l + 1b + 1tau + MET, 1j_l + 1b + 1l + 1tau, 2j_l + 2b + 1l + 2tau + MET
L_3 Q D_3,l,nu,bjlE,bjTE,"['l -- (l) -- B -- (E) -- nu_tau -- [j,b]', 'l -- (l) -- B -- (j) -- q -- [E,b]', 'l -- (l) -- B -- (b) -- b -- [E,j]']","['nu -- (E) -- B -- (T) -- tau_L -- [j,b]', 'nu -- (E) -- B -- (j) -- q -- [T,b]', 'nu -- (E) -- B -- (b) -- b -- [T,j]']",bbjjTlE, 1j_l + 1b + 1l + MET, 1j_l + 1b + 1tau + MET, 2j_l + 2b + 1l + 1tau + MET
L_3 Q D_3,l,nu,bjlE,bjlE,"['l -- (l) -- B -- (E) -- nu_tau -- [j,b]', 'l -- (l) -- B -- (j) -- q -- [E,b]', 'l -- (l) -- B -- (b) -- b -- [E,j]']","['nu -- (l) -- W^+ -- (E) -- tau_L -- [j,b]', 'nu -- (l) -- W^+ -- (j) -- q -- [E,b]']",bbjjllE, 1j_l + 1b + 1l + MET, 1j_l + 1b + 1l + MET, 2j_l + 2b + 2l + MET
L_3 Q D_3,l,nu,bjlE,bjE,"['l -- (l) -- B -- (E) -- nu_tau -- [j,b]', 'l -- (l) -- B -- (j) -- q -- [E,b]', 'l -- (l) -- B -- (b) -- b -- [E,j]']","['nu -- (E) -- B -- (E) -- nu_tau -- [j,b]', 'nu -- (E) -- B -- (j) -- q -- [E,b]', 'nu -- (E) -- B -- (b) -- b -- [E,j]']",bbjjlE, 1j_l + 1b + 1l + MET, 1j_l + 1b + MET, 2j_l + 2b + 1l + MET
L_3 Q D_3,l,nu,bjlE,bjTl,"['l -- (l) -- B -- (E) -- nu_tau -- [j,b]', 'l -- (l) -- B -- (j) -- q -- [E,b]', 'l -- (l) -- B -- (b) -- b -- [E,j]']","['nu -- (l) -- W^+ -- (j) -- q -- [T,b]', 'nu -- (l) -- W^+ -- (T) -- nu_tau -- [j,b]']",bbjjTllE, 1j_l + 1b + 1l + MET, 1j_l + 1b + 1l + 1tau, 2j_l + 2b + 2l + 1tau + MET
L_3 Q D_3,l,nu,bjE,bjTE,"['l -- (E) -- W^+ -- (E) -- tau_L -- [j,b]', 'l -- (E) -- W^+ -- (j) -- q -- [E,b]']","['nu -- (E) -- B -- (T) -- tau_L -- [j,b]', 'nu -- (E) -- B -- (j) -- q -- [T,b]', 'nu -- (E) -- B -- (b) -- b -- [T,j]']",bbjjTE, 1j_l + 1b + MET, 1j_l + 1b + 1tau + MET, 2j_l + 2b + 1tau + MET
L_3 Q D_3,l,nu,bjE,bjlE,"['l -- (E) -- W^+ -- (E) -- tau_L -- [j,b]', 'l -- (E) -- W^+ -- (j) -- q -- [E,b]']","['nu -- (l) -- W^+ -- (E) -- tau_L -- [j,b]', 'nu -- (l) -- W^+ -- (j) -- q -- [E,b]']",bbjjlE, 1j_l + 1b + MET, 1j_l + 1b + 1l + MET, 2j_l + 2b + 1l + MET
L_3 Q D_3,l,nu,bjE,bjE,"['l -- (E) -- W^+ -- (E) -- tau_L -- [j,b]', 'l -- (E) -- W^+ -- (j) -- q -- [E,b]']","['nu -- (E) -- B -- (E) -- nu_tau -- [j,b]', 'nu -- (E) -- B -- (j) -- q -- [E,b]', 'nu -- (E) -- B -- (b) -- b -- [E,j]']",bbjjE, 1j_l + 1b + MET, 1j_l + 1b + MET, 2j_l + 2b + MET
L_3 Q D_3,l,nu,bjE,bjTl,"['l -- (E) -- W^+ -- (E) -- tau_L -- [j,b]', 'l -- (E) -- W^+ -- (j) -- q -- [E,b]']","['nu -- (l) -- W^+ -- (j) -- q -- [T,b]', 'nu -- (l) -- W^+ -- (T) -- nu_tau -- [j,b]']",bbjjTlE, 1j_l + 1b + MET, 1j_l + 1b + 1l + 1tau, 2j_l + 2b + 1l + 1tau + MET
L_3 Q D_3,l,nu,bjTl,bjTE,"['l -- (l) -- B -- (T) -- tau_L -- [j,b]', 'l -- (l) -- B -- (j) -- q -- [T,b]', 'l -- (l) -- B -- (b) -- b -- [T,j]']","['nu -- (E) -- B -- (T) -- tau_L -- [j,b]', 'nu -- (E) -- B -- (j) -- q -- [T,b]', 'nu -- (E) -- B -- (b) -- b -- [T,j]']",bbjjTTlE, 1j_l + 1b + 1l + 1tau, 1j_l + 1b + 1tau + MET, 2j_l + 2b + 1l + 2tau + MET
L_3 Q D_3,l,nu,bjTl,bjlE,"['l -- (l) -- B -- (T) -- tau_L -- [j,b]', 'l -- (l) -- B -- (j) -- q -- [T,b]', 'l -- (l) -- B -- (b) -- b -- [T,j]']","['nu -- (l) -- W^+ -- (E) -- tau_L -- [j,b]', 'nu -- (l) -- W^+ -- (j) -- q -- [E,b]']",bbjjTllE, 1j_l + 1b + 1l + 1tau, 1j_l + 1b + 1l + MET, 2j_l + 2b + 2l + 1tau + MET
L_3 Q D_3,l,nu,bjTl,bjE,"['l -- (l) -- B -- (T) -- tau_L -- [j,b]', 'l -- (l) -- B -- (j) -- q -- [T,b]', 'l -- (l) -- B -- (b) -- b -- [T,j]']","['nu -- (E) -- B -- (E) -- nu_tau -- [j,b]', 'nu -- (E) -- B -- (j) -- q -- [E,b]', 'nu -- (E) -- B -- (b) -- b -- [E,j]']",bbjjTlE, 1j_l + 1b + 1l + 1tau, 1j_l + 1b + MET, 2j_l + 2b + 1l + 1tau + MET
L_3 Q D_3,l,nu,bjTl,bjTl,"['l -- (l) -- B -- (T) -- tau_L -- [j,b]', 'l -- (l) -- B -- (j) -- q -- [T,b]', 'l -- (l) -- B -- (b) -- b -- [T,j]']","['nu -- (l) -- W^+ -- (j) -- q -- [T,b]', 'nu -- (l) -- W^+ -- (T) -- nu_tau -- [j,b]']",bbjjTTll, 1j_l + 1b + 1l + 1tau, 1j_l + 1b + 1l + 1tau, 2j_l + 2b + 2l + 2tau
L_3 Q_3 D,l,nu,bjTE,tjlE,"['l -- (E) -- W^+ -- (b) -- t_L -- [T,j]', 'l -- (E) -- W^+ -- (T) -- nu_tau -- [b,j]']","['nu -- (l) -- W^+ -- (E) -- tau_L -- [t,j]', 'nu -- (l) -- W^+ -- (t) -- b_L -- [E,j]']",tbjjTlE, 1j_l + 1b + 1tau + MET, 1j_l + 1t + 1l + MET, 2j_l + 1t + 1b + 1l + 1tau + MET
L_3 Q_3 D,l,nu,bjTE,tjTE,"['l -- (E) -- W^+ -- (b) -- t_L -- [T,j]', 'l -- (E) -- W^+ -- (T) -- nu_tau -- [b,j]']","['nu -- (E) -- B -- (T) -- tau_L -- [t,j]', 'nu -- (E) -- B -- (t) -- t_L -- [T,j]', 'nu -- (E) -- B -- (j) -- d -- [T,t]']",tbjjTTE, 1j_l + 1b + 1tau + MET, 1j_l + 1t + 1tau + MET, 2j_l + 1t + 1b + 2tau + MET
