CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L L E,b,b,vblE,vtllE,"['b -- (b) -- H^0 -- (v) -- W^+ -- (E) -- l -- [E,l]']","['b -- (t) -- H^+ -- (v) -- B -- (l) -- l -- [E,l]', 'b -- (t) -- H^+ -- (v) -- B -- (E) -- nu -- [l,l]', 'b -- (t) -- H^+ -- (v) -- B -- (l) -- e -- [l,E]']",vvtblllE, 1b + 1l + 1v + MET, 1t + 2l + 1v + MET, 1t + 1b + 3l + 2v + MET
L L E,b,b,vtlE,bllE,"['b -- (t) -- H^+ -- (v) -- W^+ -- (E) -- l -- [E,l]']","['b -- (b) -- B -- (l) -- l -- [E,l]', 'b -- (b) -- B -- (E) -- nu -- [l,l]', 'b -- (b) -- B -- (l) -- e -- [l,E]']",vtblllE, 1t + 1l + 1v + MET, 1b + 2l + MET, 1t + 1b + 3l + 1v + MET
L L E,b,b,vtlE,vblE,"['b -- (t) -- H^+ -- (v) -- W^+ -- (E) -- l -- [E,l]']","['b -- (b) -- H^0 -- (v) -- W^+ -- (E) -- l -- [E,l]']",vvtbllE, 1t + 1l + 1v + MET, 1b + 1l + 1v + MET, 1t + 1b + 2l + 2v + MET
L L E,b,b,vtlE,vtlE,"['b -- (t) -- H^+ -- (v) -- W^+ -- (E) -- l -- [E,l]']","['b -- (t) -- H^+ -- (v) -- W^+ -- (E) -- l -- [E,l]']",vvttllE, 1t + 1l + 1v + MET, 1t + 1l + 1v + MET, 2t + 2l + 2v + MET
L L E,b,b,vtlE,vblll,"['b -- (t) -- H^+ -- (v) -- W^+ -- (E) -- l -- [E,l]']","['b -- (b) -- H^0 -- (v) -- W^+ -- (l) -- nu -- [l,l]']",vvtbllllE, 1t + 1l + 1v + MET, 1b + 3l + 1v, 1t + 1b + 4l + 2v + MET
L L E,b,b,vtlE,vtlll,"['b -- (t) -- H^+ -- (v) -- W^+ -- (E) -- l -- [E,l]']","['b -- (t) -- H^+ -- (v) -- W^+ -- (l) -- nu -- [l,l]']",vvttllllE, 1t + 1l + 1v + MET, 1t + 3l + 1v, 2t + 4l + 2v + MET
L L E,b,b,vtlE,vbllE,"['b -- (t) -- H^+ -- (v) -- W^+ -- (E) -- l -- [E,l]']","['b -- (b) -- H^0 -- (v) -- B -- (l) -- l -- [E,l]', 'b -- (b) -- H^0 -- (v) -- B -- (E) -- nu -- [l,l]', 'b -- (b) -- H^0 -- (v) -- B -- (l) -- e -- [l,E]']",vvtblllE, 1t + 1l + 1v + MET, 1b + 2l + 1v + MET, 1t + 1b + 3l + 2v + MET
L L E,b,b,vtlE,vtllE,"['b -- (t) -- H^+ -- (v) -- W^+ -- (E) -- l -- [E,l]']","['b -- (t) -- H^+ -- (v) -- B -- (l) -- l -- [E,l]', 'b -- (t) -- H^+ -- (v) -- B -- (E) -- nu -- [l,l]', 'b -- (t) -- H^+ -- (v) -- B -- (l) -- e -- [l,E]']",vvttlllE, 1t + 1l + 1v + MET, 1t + 2l + 1v + MET, 2t + 3l + 2v + MET
L L E,b,b,vblll,bllE,"['b -- (b) -- H^0 -- (v) -- W^+ -- (l) -- nu -- [l,l]']","['b -- (b) -- B -- (l) -- l -- [E,l]', 'b -- (b) -- B -- (E) -- nu -- [l,l]', 'b -- (b) -- B -- (l) -- e -- [l,E]']",vbblllllE, 1b + 3l + 1v, 1b + 2l + MET, 2b + 5l + 1v + MET
L L E,b,b,vblll,vblE,"['b -- (b) -- H^0 -- (v) -- W^+ -- (l) -- nu -- [l,l]']","['b -- (b) -- H^0 -- (v) -- W^+ -- (E) -- l -- [E,l]']",vvbbllllE, 1b + 3l + 1v, 1b + 1l + 1v + MET, 2b + 4l + 2v + MET
L L E,b,b,vblll,vtlE,"['b -- (b) -- H^0 -- (v) -- W^+ -- (l) -- nu -- [l,l]']","['b -- (t) -- H^+ -- (v) -- W^+ -- (E) -- l -- [E,l]']",vvtbllllE, 1b + 3l + 1v, 1t + 1l + 1v + MET, 1t + 1b + 4l + 2v + MET
L L E,b,b,vblll,vblll,"['b -- (b) -- H^0 -- (v) -- W^+ -- (l) -- nu -- [l,l]']","['b -- (b) -- H^0 -- (v) -- W^+ -- (l) -- nu -- [l,l]']",vvbbllllll, 1b + 3l + 1v, 1b + 3l + 1v, 2b + 6l + 2v
L L E,b,b,vblll,vtlll,"['b -- (b) -- H^0 -- (v) -- W^+ -- (l) -- nu -- [l,l]']","['b -- (t) -- H^+ -- (v) -- W^+ -- (l) -- nu -- [l,l]']",vvtbllllll, 1b + 3l + 1v, 1t + 3l + 1v, 1t + 1b + 6l + 2v
L L E,b,b,vblll,vbllE,"['b -- (b) -- H^0 -- (v) -- W^+ -- (l) -- nu -- [l,l]']","['b -- (b) -- H^0 -- (v) -- B -- (l) -- l -- [E,l]', 'b -- (b) -- H^0 -- (v) -- B -- (E) -- nu -- [l,l]', 'b -- (b) -- H^0 -- (v) -- B -- (l) -- e -- [l,E]']",vvbblllllE, 1b + 3l + 1v, 1b + 2l + 1v + MET, 2b + 5l + 2v + MET
L L E,b,b,vblll,vtllE,"['b -- (b) -- H^0 -- (v) -- W^+ -- (l) -- nu -- [l,l]']","['b -- (t) -- H^+ -- (v) -- B -- (l) -- l -- [E,l]', 'b -- (t) -- H^+ -- (v) -- B -- (E) -- nu -- [l,l]', 'b -- (t) -- H^+ -- (v) -- B -- (l) -- e -- [l,E]']",vvtblllllE, 1b + 3l + 1v, 1t + 2l + 1v + MET, 1t + 1b + 5l + 2v + MET
L L E,b,b,vtlll,bllE,"['b -- (t) -- H^+ -- (v) -- W^+ -- (l) -- nu -- [l,l]']","['b -- (b) -- B -- (l) -- l -- [E,l]', 'b -- (b) -- B -- (E) -- nu -- [l,l]', 'b -- (b) -- B -- (l) -- e -- [l,E]']",vtblllllE, 1t + 3l + 1v, 1b + 2l + MET, 1t + 1b + 5l + 1v + MET
L L E,b,b,vtlll,vblE,"['b -- (t) -- H^+ -- (v) -- W^+ -- (l) -- nu -- [l,l]']","['b -- (b) -- H^0 -- (v) -- W^+ -- (E) -- l -- [E,l]']",vvtbllllE, 1t + 3l + 1v, 1b + 1l + 1v + MET, 1t + 1b + 4l + 2v + MET
L L E,b,b,vtlll,vtlE,"['b -- (t) -- H^+ -- (v) -- W^+ -- (l) -- nu -- [l,l]']","['b -- (t) -- H^+ -- (v) -- W^+ -- (E) -- l -- [E,l]']",vvttllllE, 1t + 3l + 1v, 1t + 1l + 1v + MET, 2t + 4l + 2v + MET
L L E,b,b,vtlll,vblll,"['b -- (t) -- H^+ -- (v) -- W^+ -- (l) -- nu -- [l,l]']","['b -- (b) -- H^0 -- (v) -- W^+ -- (l) -- nu -- [l,l]']",vvtbllllll, 1t + 3l + 1v, 1b + 3l + 1v, 1t + 1b + 6l + 2v
L L E,b,b,vtlll,vtlll,"['b -- (t) -- H^+ -- (v) -- W^+ -- (l) -- nu -- [l,l]']","['b -- (t) -- H^+ -- (v) -- W^+ -- (l) -- nu -- [l,l]']",vvttllllll, 1t + 3l + 1v, 1t + 3l + 1v, 2t + 6l + 2v
