CAT A,CAT B,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L_3 Q_3 D_3,U D_3 D_3,W^0,W^0,bbX,bbbbj,"['W^0 -- (X) -- nu_tau -- [b,b]', 'W^0 -- (b) -- b_L -- [X,b]']","['W^0 -- (b) -- b_L -- (b) -- B -- (j) -- u -- [b,b]']",bbbbbbjX, 2b + MET, 1j_l + 4b, 1j_l + 6b + MET
L_3 Q_3 D_3,U D_3 D_3,W^0,W^0,bbX,vtbj,"['W^0 -- (X) -- nu_tau -- [b,b]', 'W^0 -- (b) -- b_L -- [X,b]']","['W^0 -- (v) -- H^+ -- (t) -- b -- [j,b]', 'W^0 -- (v) -- H^+ -- (t) -- b -- [j,b]']",vtbbbjX, 2b + MET, 1j_l + 1t + 1b + 1v, 1j_l + 1t + 3b + 1v + MET
L_3 Q_3 D_3,U D_3 D_3,W^0,W^0,bbX,ttbbj,"['W^0 -- (X) -- nu_tau -- [b,b]', 'W^0 -- (b) -- b_L -- [X,b]']","['W^0 -- (t) -- t_L -- (t) -- B -- (j) -- u -- [b,b]']",ttbbbbjX, 2b + MET, 1j_l + 2t + 2b, 1j_l + 2t + 4b + MET
L_3 Q_3 D_3,U_3 D D,W^+,W^+,tbX,vtjj,"['W^+ -- (X) -- tau_L -- [t,b]', 'W^+ -- (t) -- b_L -- [X,b]']","['W^+ -- (v) -- H^0 -- (t) -- t -- [j,j]']",vttbjjX, 1t + 1b + MET, 2j_l + 1t + 1v, 2j_l + 2t + 1b + 1v + MET
L_3 Q_3 D_3,U_3 D D,W^+,W^+,tbX,tjjlX,"['W^+ -- (X) -- tau_L -- [t,b]', 'W^+ -- (t) -- b_L -- [X,b]']","['W^+ -- (X) -- l -- (l) -- B -- (j) -- d -- [t,j]', 'W^+ -- (X) -- l -- (l) -- B -- (j) -- d -- [t,j]']",ttbjjlX, 1t + 1b + MET, 2j_l + 1t + 1l + MET, 2j_l + 2t + 1b + 1l + MET
L_3 Q_3 D_3,U_3 D D,W^+,W^+,tbX,ttbjj,"['W^+ -- (X) -- tau_L -- [t,b]', 'W^+ -- (t) -- b_L -- [X,b]']","['W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [t,j]', 'W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [t,j]']",tttbbjjX, 1t + 1b + MET, 2j_l + 2t + 1b, 2j_l + 3t + 2b + MET
L_3 Q_3 D_3,U_3 D D,W^+,W^+,tbX,tjjTX,"['W^+ -- (X) -- tau_L -- [t,b]', 'W^+ -- (t) -- b_L -- [X,b]']","['W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- d -- [t,j]', 'W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- d -- [t,j]']",ttbjjTX, 1t + 1b + MET, 2j_l + 1t + 1tau + MET, 2j_l + 2t + 1b + 1tau + MET
L_3 Q_3 D_3,U_3 D D,W^+,W^+,tbX,tjjjj,"['W^+ -- (X) -- tau_L -- [t,b]', 'W^+ -- (t) -- b_L -- [X,b]']","['W^+ -- (j) -- q -- (j) -- B -- (j) -- d -- [t,j]', 'W^+ -- (j) -- q -- (j) -- B -- (j) -- d -- [t,j]']",ttbjjjjX, 1t + 1b + MET, 4j_l + 1t, 4j_l + 2t + 1b + MET
L_3 Q_3 D_3,U_3 D D,W^+,W^+,tbX,vvtjj,"['W^+ -- (X) -- tau_L -- [t,b]', 'W^+ -- (t) -- b_L -- [X,b]']","['W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- d -- [t,j]', 'W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- d -- [t,j]']",vvttbjjX, 1t + 1b + MET, 2j_l + 1t + 2v, 2j_l + 2t + 1b + 2v + MET
L_3 Q_3 D_3,U_3 D D,W^+,W^+,tbX,vbjj,"['W^+ -- (X) -- tau_L -- [t,b]', 'W^+ -- (t) -- b_L -- [X,b]']","['W^+ -- (v) -- H^+ -- (b) -- t -- [j,j]']",vtbbjjX, 1t + 1b + MET, 2j_l + 1b + 1v, 2j_l + 1t + 2b + 1v + MET
