LSP,L L E,L_3 L E,L L E_3,L_3 L E_3
['B'],{'llllE'},{'LLllE'},{'TTllE'},{'LLTTE'}
"['W^+', 'W^0']","{'vvvvllllE', 'llllll', 'vvlllE', '33jjllllE', '33TTllllE', 'jjTTllllE', 'jjllllE', 'TTTTllllE', 'LLllllE', 'lllE', 'jjjjllllE', 'jjllllllE', '33lllE', 'jjLllllE', 'vvjjllllE', 'jjlllE', '3333llllE', 'llE', 'LLLllllE', 'LLlllE', 'vvTTllllE', 'vv33llllE', 'vvllllllE', 'vvllllE', 'LlllE', 'TTllllllE', '33llllllE', '33LllllE', '33llllE', 'llllllllE', 'vvLllllE'}","{'3333LLllE', 'jjLLLLllE', 'LLLLLLllE', 'vvLllE', 'TTllll', 'jjLllE', '33LLllE', 'LLllE', 'vvLLllE', '33LllE', 'LllE', 'jjLLLllE', '33LLLLllE', 'vv33LLllE', '33LLLllE', 'LLLLLllE', 'llE', 'vvLLLllE', 'vvvvLLllE', '33jjLLllE', 'jjjjLLllE', 'vvjjLLllE', 'jjLLllE', 'vvLLLLllE', 'LLLLllE', 'LLLllE'}","{'LLTTlE', 'TTllll', 'vvLTTllE', 'TTlE', 'jjTTllllE', '33TTllllE', 'LLLTTllE', 'TTTTllllE', 'LTTlE', 'jjjjTTllE', 'vv33TTllE', '33TTllE', 'LLTTllE', 'vvvvTTllE', '33jjTTllE', '33LTTllE', '33TTlE', 'TTTTTTllE', 'jjTTllE', 'vvTTllllE', 'jjTTlE', 'vvTTlE', 'TTllllllE', 'jjLTTllE', '33TTTTllE', 'vvTTllE', 'vvTTTTllE', 'TTE', 'vvjjTTllE', 'jjTTTTllE', '3333TTllE'}","{'jjLLTTE', 'LTTE', '33LLLLTTE', 'jjLLLLTTE', 'vvLTTE', 'jjLLLTTE', 'vvjjLLTTE', 'jjjjLLTTE', 'vvLLLLTTE', 'LLLLTTE', '33LTTE', 'LLLTTE', 'jjLTTE', 'vvvvLLTTE', '33jjLLTTE', 'TTTTll', 'vv33LLTTE', '33LLLTTE', 'vvLLLTTE', 'LLLLLTTE', 'LLTTE', '33LLTTE', '3333LLTTE', 'TTE', 'vvLLTTE', 'LLLLLLTTE'}"
['G'],"{'ttbbllllll', 'tttblllE', '33jjllllE', 'tbbblllE', 'ttbbllE', 'ttttllllE', 'jjjjllllE', 'tttblllllE', 'ttbbllllE', 'jjjjllllll', 'jjjjllE', '33jjlllE', 'jjjjlllE', '33jjlllllE', 'tbjjllE', 'tbjjllllll', 'bbbbllllE', 'jjjjlllllE', 'tbbblllllE'}","{'tbbbLTlllE', 'jjjjLllE', 'jjjjTTllll', '33jjTlllE', 'ttbbllE', 'tttbLllE', 'bbjjLLllE', '33jjLTlllE', 'ttbbLLllE', 'tttbLTlllE', '33jjLllE', 'ttttLLllE', 'ttjjLLllE', 'ttbbTTllll', 'jjjjLTlllE', 'jjjjllE', 'jjjjLLllE', 'tbjjllE', 'bbbbLLllE', 'tbbbLllE', 'tbjjTTllll'}","{'tbbbTTlE', 'jjjjTTllll', 'tttbTTlE', 'jjjjTTlllE', 'jjjjTTllE', 'jjjjTTE', 'tbbbTTlllE', '33jjTTlE', '33jjTTllE', 'ttbbTTE', 'tbjjTTE', 'jjjjTTlE', 'ttbbTTllE', 'ttbbTTllll', 'tttbTTlllE', 'bbbbTTllE', '33jjTTlllE', 'ttttTTllE', 'tbjjTTllll'}","{'tbjjTTTTll', 'ttbbLLTTE', 'ttbbTTTTll', 'jjjjTTTTll', 'bbbbLLTTE', 'jjjjLLTTE', 'jjjjTTE', '33jjLTTTlE', 'tbbbLTTTlE', 'bbjjLLTTE', 'tttbLTTTlE', '33jjTTTlE', 'ttbbTTE', 'tbjjTTE', '33jjLTTE', 'tbbbLTTE', 'jjjjLTTE', 'ttttLLTTE', 'jjjjLTTTlE', 'ttjjLLTTE', 'tttbLTTE'}"
"['H^+', 'H^0']","{'vvlllllE', 'vvllllll', 'vvllllE', 'vvlllE', 'vvllE'}","{'vvTTllll', 'vvLllE', 'vvLTlllE', 'vvLLllE', 'vvllE'}","{'vvTTllE', 'vvTTllll', 'vvTTE', 'vvTTlE', 'vvTTlllE'}","{'vvLTTTlE', 'vvTTTTll', 'vvTTE', 'vvLLTTE', 'vvLTTE'}"
['q'],"{'jjllE', 'jjlllE', 'jjlllllE', 'jjllllll', 'jjllllE'}","{'jjllE', 'jjLTlllE', 'jjLLllE', 'jjLllE', 'jjTTllll'}","{'jjTTllE', 'jjTTlllE', 'jjTTlE', 'jjTTE', 'jjTTllll'}","{'jjLTTE', 'jjLLTTE', 'jjTTTTll', 'jjLTTTlE', 'jjTTE'}"
['d'],{'jjllllE'},{'jjLLllE'},{'jjTTllE'},{'jjLLTTE'}
['u'],{'jjllllE'},{'jjLLllE'},{'jjTTllE'},{'jjLLTTE'}
"['l', 'nu']","{'lllllE', 'llE', 'lllE', 'llllE', 'llll', 'llllllE'}","{'llE', 'LLlllE', 'TTllll', 'LLllE', 'LLllllE', 'LTlllllE', 'LllE', 'TTllllll', 'TTll'}","{'TTE', 'TTllE', 'TTlllE', 'TTlE', 'TTllllE', 'TTll'}","{'LLTTlE', 'LTTE', 'LTTTlllE', 'TTTTllll', 'LLTTE', 'TTTT', 'TTE', 'LLTTllE', 'TTTTll'}"
['e'],"{'llllE', 'llE', 'llllllE'}","{'LLllllE', 'LLllE', 'LLE'}",{'TTllllE'},{'LLTTllE'}
"['b_L', 't_L']","{'33llllll', '33llE', '33llllE', '33lllE', '33lllllE'}","{'33llE', '33LTlllE', '33LLllE', '33TTllll', '33LllE'}","{'33TTE', '33TTllE', '33TTlllE', '33TTllll', '33TTlE'}","{'33TTE', '33TTTTll', '33LLTTE', '33LTTTlE', '33LTTE'}"
