CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L Q D,b_L,t_L,bjjX,tjjl,"['b_L -- (b) -- B -- (X) -- nu -- [j,j]', 'b_L -- (b) -- B -- (j) -- q -- [X,j]', 'b_L -- (b) -- B -- (j) -- d -- [X,j]']","['t_L -- (t) -- B -- (l) -- l -- [j,j]', 't_L -- (t) -- B -- (j) -- q -- [l,j]', 't_L -- (t) -- B -- (j) -- d -- [l,j]']",tbjjjjlX, 2j_l + 1b + MET, 2j_l + 1t + 1l, 4j_l + 1t + 1b + 1l + MET
L Q D,b_L,t_L,bjjX,tjjX,"['b_L -- (b) -- B -- (X) -- nu -- [j,j]', 'b_L -- (b) -- B -- (j) -- q -- [X,j]', 'b_L -- (b) -- B -- (j) -- d -- [X,j]']","['t_L -- (t) -- B -- (X) -- nu -- [j,j]', 't_L -- (t) -- B -- (j) -- q -- [X,j]', 't_L -- (t) -- B -- (j) -- d -- [X,j]']",tbjjjjX, 2j_l + 1b + MET, 2j_l + 1t + MET, 4j_l + 1t + 1b + MET
L Q D,b_L,t_L,bjjX,bjjX,"['b_L -- (b) -- B -- (X) -- nu -- [j,j]', 'b_L -- (b) -- B -- (j) -- q -- [X,j]', 'b_L -- (b) -- B -- (j) -- d -- [X,j]']","['t_L -- (b) -- W^+ -- (X) -- l -- [j,j]', 't_L -- (b) -- W^+ -- (j) -- q -- [X,j]']",bbjjjjX, 2j_l + 1b + MET, 2j_l + 1b + MET, 4j_l + 2b + MET
L Q D,b_L,t_L,bjjX,bjjl,"['b_L -- (b) -- B -- (X) -- nu -- [j,j]', 'b_L -- (b) -- B -- (j) -- q -- [X,j]', 'b_L -- (b) -- B -- (j) -- d -- [X,j]']","['t_L -- (b) -- W^+ -- (j) -- q -- [l,j]', 't_L -- (b) -- W^+ -- (l) -- nu -- [j,j]']",bbjjjjlX, 2j_l + 1b + MET, 2j_l + 1b + 1l, 4j_l + 2b + 1l + MET
L Q D,b_L,t_L,tjjl,tjjl,"['b_L -- (t) -- W^+ -- (j) -- q -- [l,j]', 'b_L -- (t) -- W^+ -- (l) -- nu -- [j,j]']","['t_L -- (t) -- B -- (l) -- l -- [j,j]', 't_L -- (t) -- B -- (j) -- q -- [l,j]', 't_L -- (t) -- B -- (j) -- d -- [l,j]']",ttjjjjll, 2j_l + 1t + 1l, 2j_l + 1t + 1l, 4j_l + 2t + 2l
L Q D,b_L,t_L,tjjl,tjjX,"['b_L -- (t) -- W^+ -- (j) -- q -- [l,j]', 'b_L -- (t) -- W^+ -- (l) -- nu -- [j,j]']","['t_L -- (t) -- B -- (X) -- nu -- [j,j]', 't_L -- (t) -- B -- (j) -- q -- [X,j]', 't_L -- (t) -- B -- (j) -- d -- [X,j]']",ttjjjjlX, 2j_l + 1t + 1l, 2j_l + 1t + MET, 4j_l + 2t + 1l + MET
L Q D,b_L,t_L,tjjl,bjjX,"['b_L -- (t) -- W^+ -- (j) -- q -- [l,j]', 'b_L -- (t) -- W^+ -- (l) -- nu -- [j,j]']","['t_L -- (b) -- W^+ -- (X) -- l -- [j,j]', 't_L -- (b) -- W^+ -- (j) -- q -- [X,j]']",tbjjjjlX, 2j_l + 1t + 1l, 2j_l + 1b + MET, 4j_l + 1t + 1b + 1l + MET
L Q D,b_L,t_L,tjjl,bjjl,"['b_L -- (t) -- W^+ -- (j) -- q -- [l,j]', 'b_L -- (t) -- W^+ -- (l) -- nu -- [j,j]']","['t_L -- (b) -- W^+ -- (j) -- q -- [l,j]', 't_L -- (b) -- W^+ -- (l) -- nu -- [j,j]']",tbjjjjll, 2j_l + 1t + 1l, 2j_l + 1b + 1l, 4j_l + 1t + 1b + 2l
L Q D,b_L,t_L,bjjl,tjjl,"['b_L -- (b) -- B -- (l) -- l -- [j,j]', 'b_L -- (b) -- B -- (j) -- q -- [l,j]', 'b_L -- (b) -- B -- (j) -- d -- [l,j]']","['t_L -- (t) -- B -- (l) -- l -- [j,j]', 't_L -- (t) -- B -- (j) -- q -- [l,j]', 't_L -- (t) -- B -- (j) -- d -- [l,j]']",tbjjjjll, 2j_l + 1b + 1l, 2j_l + 1t + 1l, 4j_l + 1t + 1b + 2l
L Q D,b_L,t_L,bjjl,tjjX,"['b_L -- (b) -- B -- (l) -- l -- [j,j]', 'b_L -- (b) -- B -- (j) -- q -- [l,j]', 'b_L -- (b) -- B -- (j) -- d -- [l,j]']","['t_L -- (t) -- B -- (X) -- nu -- [j,j]', 't_L -- (t) -- B -- (j) -- q -- [X,j]', 't_L -- (t) -- B -- (j) -- d -- [X,j]']",tbjjjjlX, 2j_l + 1b + 1l, 2j_l + 1t + MET, 4j_l + 1t + 1b + 1l + MET
L Q D,b_L,t_L,bjjl,bjjX,"['b_L -- (b) -- B -- (l) -- l -- [j,j]', 'b_L -- (b) -- B -- (j) -- q -- [l,j]', 'b_L -- (b) -- B -- (j) -- d -- [l,j]']","['t_L -- (b) -- W^+ -- (X) -- l -- [j,j]', 't_L -- (b) -- W^+ -- (j) -- q -- [X,j]']",bbjjjjlX, 2j_l + 1b + 1l, 2j_l + 1b + MET, 4j_l + 2b + 1l + MET
L Q D,b_L,t_L,bjjl,bjjl,"['b_L -- (b) -- B -- (l) -- l -- [j,j]', 'b_L -- (b) -- B -- (j) -- q -- [l,j]', 'b_L -- (b) -- B -- (j) -- d -- [l,j]']","['t_L -- (b) -- W^+ -- (j) -- q -- [l,j]', 't_L -- (b) -- W^+ -- (l) -- nu -- [j,j]']",bbjjjjll, 2j_l + 1b + 1l, 2j_l + 1b + 1l, 4j_l + 2b + 2l
L Q D,t_L,t_L,tjjl,tjjl,"['t_L -- (t) -- B -- (l) -- l -- [j,j]', 't_L -- (t) -- B -- (j) -- q -- [l,j]', 't_L -- (t) -- B -- (j) -- d -- [l,j]']","['t_L -- (t) -- B -- (l) -- l -- [j,j]', 't_L -- (t) -- B -- (j) -- q -- [l,j]', 't_L -- (t) -- B -- (j) -- d -- [l,j]']",ttjjjjll, 2j_l + 1t + 1l, 2j_l + 1t + 1l, 4j_l + 2t + 2l
L Q D,t_L,t_L,tjjl,tjjX,"['t_L -- (t) -- B -- (l) -- l -- [j,j]', 't_L -- (t) -- B -- (j) -- q -- [l,j]', 't_L -- (t) -- B -- (j) -- d -- [l,j]']","['t_L -- (t) -- B -- (X) -- nu -- [j,j]', 't_L -- (t) -- B -- (j) -- q -- [X,j]', 't_L -- (t) -- B -- (j) -- d -- [X,j]']",ttjjjjlX, 2j_l + 1t + 1l, 2j_l + 1t + MET, 4j_l + 2t + 1l + MET
L Q D,t_L,t_L,tjjl,bjjX,"['t_L -- (t) -- B -- (l) -- l -- [j,j]', 't_L -- (t) -- B -- (j) -- q -- [l,j]', 't_L -- (t) -- B -- (j) -- d -- [l,j]']","['t_L -- (b) -- W^+ -- (X) -- l -- [j,j]', 't_L -- (b) -- W^+ -- (j) -- q -- [X,j]']",tbjjjjlX, 2j_l + 1t + 1l, 2j_l + 1b + MET, 4j_l + 1t + 1b + 1l + MET
L Q D,t_L,t_L,tjjl,bjjl,"['t_L -- (t) -- B -- (l) -- l -- [j,j]', 't_L -- (t) -- B -- (j) -- q -- [l,j]', 't_L -- (t) -- B -- (j) -- d -- [l,j]']","['t_L -- (b) -- W^+ -- (j) -- q -- [l,j]', 't_L -- (b) -- W^+ -- (l) -- nu -- [j,j]']",tbjjjjll, 2j_l + 1t + 1l, 2j_l + 1b + 1l, 4j_l + 1t + 1b + 2l
L Q D,t_L,t_L,tjjX,tjjl,"['t_L -- (t) -- B -- (X) -- nu -- [j,j]', 't_L -- (t) -- B -- (j) -- q -- [X,j]', 't_L -- (t) -- B -- (j) -- d -- [X,j]']","['t_L -- (t) -- B -- (l) -- l -- [j,j]', 't_L -- (t) -- B -- (j) -- q -- [l,j]', 't_L -- (t) -- B -- (j) -- d -- [l,j]']",ttjjjjlX, 2j_l + 1t + MET, 2j_l + 1t + 1l, 4j_l + 2t + 1l + MET
L Q D,t_L,t_L,tjjX,tjjX,"['t_L -- (t) -- B -- (X) -- nu -- [j,j]', 't_L -- (t) -- B -- (j) -- q -- [X,j]', 't_L -- (t) -- B -- (j) -- d -- [X,j]']","['t_L -- (t) -- B -- (X) -- nu -- [j,j]', 't_L -- (t) -- B -- (j) -- q -- [X,j]', 't_L -- (t) -- B -- (j) -- d -- [X,j]']",ttjjjjX, 2j_l + 1t + MET, 2j_l + 1t + MET, 4j_l + 2t + MET
L Q D,t_L,t_L,tjjX,bjjX,"['t_L -- (t) -- B -- (X) -- nu -- [j,j]', 't_L -- (t) -- B -- (j) -- q -- [X,j]', 't_L -- (t) -- B -- (j) -- d -- [X,j]']","['t_L -- (b) -- W^+ -- (X) -- l -- [j,j]', 't_L -- (b) -- W^+ -- (j) -- q -- [X,j]']",tbjjjjX, 2j_l + 1t + MET, 2j_l + 1b + MET, 4j_l + 1t + 1b + MET
L Q D,t_L,t_L,tjjX,bjjl,"['t_L -- (t) -- B -- (X) -- nu -- [j,j]', 't_L -- (t) -- B -- (j) -- q -- [X,j]', 't_L -- (t) -- B -- (j) -- d -- [X,j]']","['t_L -- (b) -- W^+ -- (j) -- q -- [l,j]', 't_L -- (b) -- W^+ -- (l) -- nu -- [j,j]']",tbjjjjlX, 2j_l + 1t + MET, 2j_l + 1b + 1l, 4j_l + 1t + 1b + 1l + MET
L Q D,t_L,t_L,bjjX,tjjl,"['t_L -- (b) -- W^+ -- (X) -- l -- [j,j]', 't_L -- (b) -- W^+ -- (j) -- q -- [X,j]']","['t_L -- (t) -- B -- (l) -- l -- [j,j]', 't_L -- (t) -- B -- (j) -- q -- [l,j]', 't_L -- (t) -- B -- (j) -- d -- [l,j]']",tbjjjjlX, 2j_l + 1b + MET, 2j_l + 1t + 1l, 4j_l + 1t + 1b + 1l + MET
L Q D,t_L,t_L,bjjX,tjjX,"['t_L -- (b) -- W^+ -- (X) -- l -- [j,j]', 't_L -- (b) -- W^+ -- (j) -- q -- [X,j]']","['t_L -- (t) -- B -- (X) -- nu -- [j,j]', 't_L -- (t) -- B -- (j) -- q -- [X,j]', 't_L -- (t) -- B -- (j) -- d -- [X,j]']",tbjjjjX, 2j_l + 1b + MET, 2j_l + 1t + MET, 4j_l + 1t + 1b + MET
L Q D,t_L,t_L,bjjX,bjjX,"['t_L -- (b) -- W^+ -- (X) -- l -- [j,j]', 't_L -- (b) -- W^+ -- (j) -- q -- [X,j]']","['t_L -- (b) -- W^+ -- (X) -- l -- [j,j]', 't_L -- (b) -- W^+ -- (j) -- q -- [X,j]']",bbjjjjX, 2j_l + 1b + MET, 2j_l + 1b + MET, 4j_l + 2b + MET
L Q D,t_L,t_L,bjjX,bjjl,"['t_L -- (b) -- W^+ -- (X) -- l -- [j,j]', 't_L -- (b) -- W^+ -- (j) -- q -- [X,j]']","['t_L -- (b) -- W^+ -- (j) -- q -- [l,j]', 't_L -- (b) -- W^+ -- (l) -- nu -- [j,j]']",bbjjjjlX, 2j_l + 1b + MET, 2j_l + 1b + 1l, 4j_l + 2b + 1l + MET
L Q D,t_L,t_L,bjjl,tjjl,"['t_L -- (b) -- W^+ -- (j) -- q -- [l,j]', 't_L -- (b) -- W^+ -- (l) -- nu -- [j,j]']","['t_L -- (t) -- B -- (l) -- l -- [j,j]', 't_L -- (t) -- B -- (j) -- q -- [l,j]', 't_L -- (t) -- B -- (j) -- d -- [l,j]']",tbjjjjll, 2j_l + 1b + 1l, 2j_l + 1t + 1l, 4j_l + 1t + 1b + 2l
L Q D,t_L,t_L,bjjl,tjjX,"['t_L -- (b) -- W^+ -- (j) -- q -- [l,j]', 't_L -- (b) -- W^+ -- (l) -- nu -- [j,j]']","['t_L -- (t) -- B -- (X) -- nu -- [j,j]', 't_L -- (t) -- B -- (j) -- q -- [X,j]', 't_L -- (t) -- B -- (j) -- d -- [X,j]']",tbjjjjlX, 2j_l + 1b + 1l, 2j_l + 1t + MET, 4j_l + 1t + 1b + 1l + MET
L Q D,t_L,t_L,bjjl,bjjX,"['t_L -- (b) -- W^+ -- (j) -- q -- [l,j]', 't_L -- (b) -- W^+ -- (l) -- nu -- [j,j]']","['t_L -- (b) -- W^+ -- (X) -- l -- [j,j]', 't_L -- (b) -- W^+ -- (j) -- q -- [X,j]']",bbjjjjlX, 2j_l + 1b + 1l, 2j_l + 1b + MET, 4j_l + 2b + 1l + MET
L Q D,t_L,t_L,bjjl,bjjl,"['t_L -- (b) -- W^+ -- (j) -- q -- [l,j]', 't_L -- (b) -- W^+ -- (l) -- nu -- [j,j]']","['t_L -- (b) -- W^+ -- (j) -- q -- [l,j]', 't_L -- (b) -- W^+ -- (l) -- nu -- [j,j]']",bbjjjjll, 2j_l + 1b + 1l, 2j_l + 1b + 1l, 4j_l + 2b + 2l
