CAT A,CAT B,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L L E,U D D,W^+,W^+,lll,vvjjj,"['W^+ -- (l) -- nu -- [l,l]']","['W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- u -- [j,j]', 'W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- d -- [j,j]', 'W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- d -- [j,j]']",vvjjjlll, 3l, 3j_l + 2v, 3j_l + 3l + 2v
L L E,U D D,W^+,W^+,lll,jjjlX,"['W^+ -- (l) -- nu -- [l,l]']","['W^+ -- (X) -- l -- (l) -- B -- (j) -- u -- [j,j]', 'W^+ -- (X) -- l -- (l) -- B -- (j) -- d -- [j,j]', 'W^+ -- (X) -- l -- (l) -- B -- (j) -- d -- [j,j]']",jjjllllX, 3l, 3j_l + 1l + MET, 3j_l + 4l + MET
L L E,U D D,W^+,W^+,lll,jjjjj,"['W^+ -- (l) -- nu -- [l,l]']","['W^+ -- (j) -- q -- (j) -- B -- (j) -- u -- [j,j]', 'W^+ -- (j) -- q -- (j) -- B -- (j) -- d -- [j,j]', 'W^+ -- (j) -- q -- (j) -- B -- (j) -- d -- [j,j]']",jjjjjlll, 3l, 5j_l, 5j_l + 3l
L L E,U D D,W^+,W^+,lll,jjjTX,"['W^+ -- (l) -- nu -- [l,l]']","['W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- u -- [j,j]', 'W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- d -- [j,j]', 'W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- d -- [j,j]']",jjjTlllX, 3l, 3j_l + 1tau + MET, 3j_l + 3l + 1tau + MET
L L E,U D D,W^+,W^+,jjllX,tbjjj,"['W^+ -- (j) -- q -- (j) -- B -- (l) -- e -- [l,X]']","['W^+ -- (t) -- b_L -- (b) -- B -- (j) -- u -- [j,j]', 'W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [j,j]', 'W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [j,j]']",tbjjjjjllX, 2j_l + 2l + MET, 3j_l + 1t + 1b, 5j_l + 1t + 1b + 2l + MET
L L E,U D D,W^+,W^+,jjllX,vvjjj,"['W^+ -- (j) -- q -- (j) -- B -- (l) -- e -- [l,X]']","['W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- u -- [j,j]', 'W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- d -- [j,j]', 'W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- d -- [j,j]']",vvjjjjjllX, 2j_l + 2l + MET, 3j_l + 2v, 5j_l + 2l + 2v + MET
L L E,U D D,W^+,W^+,jjllX,jjjlX,"['W^+ -- (j) -- q -- (j) -- B -- (l) -- e -- [l,X]']","['W^+ -- (X) -- l -- (l) -- B -- (j) -- u -- [j,j]', 'W^+ -- (X) -- l -- (l) -- B -- (j) -- d -- [j,j]', 'W^+ -- (X) -- l -- (l) -- B -- (j) -- d -- [j,j]']",jjjjjlllX, 2j_l + 2l + MET, 3j_l + 1l + MET, 5j_l + 3l + MET
L L E,U D D,W^+,W^+,jjllX,jjjjj,"['W^+ -- (j) -- q -- (j) -- B -- (l) -- e -- [l,X]']","['W^+ -- (j) -- q -- (j) -- B -- (j) -- u -- [j,j]', 'W^+ -- (j) -- q -- (j) -- B -- (j) -- d -- [j,j]', 'W^+ -- (j) -- q -- (j) -- B -- (j) -- d -- [j,j]']",jjjjjjjllX, 2j_l + 2l + MET, 5j_l, 7j_l + 2l + MET
L L E,U D D,W^+,W^+,jjllX,jjjTX,"['W^+ -- (j) -- q -- (j) -- B -- (l) -- e -- [l,X]']","['W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- u -- [j,j]', 'W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- d -- [j,j]', 'W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- d -- [j,j]']",jjjjjTllX, 2j_l + 2l + MET, 3j_l + 1tau + MET, 5j_l + 2l + 1tau + MET
L L E,U D D,W^+,W^+,lX,tbjjj,"['W^+ -- (X) -- l -- [X,l]']","['W^+ -- (t) -- b_L -- (b) -- B -- (j) -- u -- [j,j]', 'W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [j,j]', 'W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [j,j]']",tbjjjlX, 1l + MET, 3j_l + 1t + 1b, 3j_l + 1t + 1b + 1l + MET
L L E,U D D,W^+,W^+,lX,vvjjj,"['W^+ -- (X) -- l -- [X,l]']","['W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- u -- [j,j]', 'W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- d -- [j,j]', 'W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- d -- [j,j]']",vvjjjlX, 1l + MET, 3j_l + 2v, 3j_l + 1l + 2v + MET
L L E,U D D,W^+,W^+,lX,jjjlX,"['W^+ -- (X) -- l -- [X,l]']","['W^+ -- (X) -- l -- (l) -- B -- (j) -- u -- [j,j]', 'W^+ -- (X) -- l -- (l) -- B -- (j) -- d -- [j,j]', 'W^+ -- (X) -- l -- (l) -- B -- (j) -- d -- [j,j]']",jjjllX, 1l + MET, 3j_l + 1l + MET, 3j_l + 2l + MET
L L E,U D D,W^+,W^+,lX,jjjjj,"['W^+ -- (X) -- l -- [X,l]']","['W^+ -- (j) -- q -- (j) -- B -- (j) -- u -- [j,j]', 'W^+ -- (j) -- q -- (j) -- B -- (j) -- d -- [j,j]', 'W^+ -- (j) -- q -- (j) -- B -- (j) -- d -- [j,j]']",jjjjjlX, 1l + MET, 5j_l, 5j_l + 1l + MET
L L E,U D D,W^+,W^+,lX,jjjTX,"['W^+ -- (X) -- l -- [X,l]']","['W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- u -- [j,j]', 'W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- d -- [j,j]', 'W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- d -- [j,j]']",jjjTlX, 1l + MET, 3j_l + 1tau + MET, 3j_l + 1l + 1tau + MET
L L E,U D D,W^+,W^+,vvllX,tbjjj,"['W^+ -- (v) -- H^+ -- (v) -- B -- (l) -- e -- [l,X]']","['W^+ -- (t) -- b_L -- (b) -- B -- (j) -- u -- [j,j]', 'W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [j,j]', 'W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [j,j]']",vvtbjjjllX, 2l + 2v + MET, 3j_l + 1t + 1b, 3j_l + 1t + 1b + 2l + 2v + MET
L L E,U D D,W^+,W^+,vvllX,vvjjj,"['W^+ -- (v) -- H^+ -- (v) -- B -- (l) -- e -- [l,X]']","['W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- u -- [j,j]', 'W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- d -- [j,j]', 'W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- d -- [j,j]']",vvvvjjjllX, 2l + 2v + MET, 3j_l + 2v, 3j_l + 2l + 4v + MET
L L E,U D D,W^+,W^+,vvllX,jjjlX,"['W^+ -- (v) -- H^+ -- (v) -- B -- (l) -- e -- [l,X]']","['W^+ -- (X) -- l -- (l) -- B -- (j) -- u -- [j,j]', 'W^+ -- (X) -- l -- (l) -- B -- (j) -- d -- [j,j]', 'W^+ -- (X) -- l -- (l) -- B -- (j) -- d -- [j,j]']",vvjjjlllX, 2l + 2v + MET, 3j_l + 1l + MET, 3j_l + 3l + 2v + MET
L L E,U D D,W^+,W^+,vvllX,jjjjj,"['W^+ -- (v) -- H^+ -- (v) -- B -- (l) -- e -- [l,X]']","['W^+ -- (j) -- q -- (j) -- B -- (j) -- u -- [j,j]', 'W^+ -- (j) -- q -- (j) -- B -- (j) -- d -- [j,j]', 'W^+ -- (j) -- q -- (j) -- B -- (j) -- d -- [j,j]']",vvjjjjjllX, 2l + 2v + MET, 5j_l, 5j_l + 2l + 2v + MET
L L E,U D D,W^+,W^+,vvllX,jjjTX,"['W^+ -- (v) -- H^+ -- (v) -- B -- (l) -- e -- [l,X]']","['W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- u -- [j,j]', 'W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- d -- [j,j]', 'W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- d -- [j,j]']",vvjjjTllX, 2l + 2v + MET, 3j_l + 1tau + MET, 3j_l + 2l + 1tau + 2v + MET
