CAT A,CAT B,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
U D D,L_3 Q_3 D_3,B,B,jjj,bbX,"['B -- (j) -- u -- [j,j]', 'B -- (j) -- d -- [j,j]', 'B -- (j) -- d -- [j,j]']","['B -- (X) -- nu_tau -- [b,b]', 'B -- (b) -- b_L -- [X,b]', 'B -- (b) -- b -- [X,b]']",bbjjjX, 3j_l, 2b + MET, 3j_l + 2b + MET
U D_3 D,L Q D,B,B,bjj,jjl,"['B -- (j) -- u -- [j,b]', 'B -- (j) -- d -- [j,b]', 'B -- (b) -- b -- [j,j]']","['B -- (l) -- l -- [j,j]', 'B -- (j) -- q -- [l,j]', 'B -- (j) -- d -- [l,j]']",bjjjjl, 2j_l + 1b, 2j_l + 1l, 4j_l + 1b + 1l
U D_3 D,L Q D,B,B,bjj,jjX,"['B -- (j) -- u -- [j,b]', 'B -- (j) -- d -- [j,b]', 'B -- (b) -- b -- [j,j]']","['B -- (X) -- nu -- [j,j]', 'B -- (j) -- q -- [X,j]', 'B -- (j) -- d -- [X,j]']",bjjjjX, 2j_l + 1b, 2j_l + MET, 4j_l + 1b + MET
U D_3 D,L Q D_3,B,B,bjj,bjl,"['B -- (j) -- u -- [j,b]', 'B -- (j) -- d -- [j,b]', 'B -- (b) -- b -- [j,j]']","['B -- (l) -- l -- [j,b]', 'B -- (j) -- q -- [l,b]', 'B -- (b) -- b -- [l,j]']",bbjjjl, 2j_l + 1b, 1j_l + 1b + 1l, 3j_l + 2b + 1l
U D_3 D,L Q D_3,B,B,bjj,bjX,"['B -- (j) -- u -- [j,b]', 'B -- (j) -- d -- [j,b]', 'B -- (b) -- b -- [j,j]']","['B -- (X) -- nu -- [j,b]', 'B -- (j) -- q -- [X,b]', 'B -- (b) -- b -- [X,j]']",bbjjjX, 2j_l + 1b, 1j_l + 1b + MET, 3j_l + 2b + MET
U D_3 D,L Q_3 D,B,B,bjj,tjl,"['B -- (j) -- u -- [j,b]', 'B -- (j) -- d -- [j,b]', 'B -- (b) -- b -- [j,j]']","['B -- (l) -- l -- [t,j]', 'B -- (t) -- t_L -- [l,j]', 'B -- (j) -- d -- [l,t]']",tbjjjl, 2j_l + 1b, 1j_l + 1t + 1l, 3j_l + 1t + 1b + 1l
U D_3 D,L Q_3 D,B,B,bjj,bjX,"['B -- (j) -- u -- [j,b]', 'B -- (j) -- d -- [j,b]', 'B -- (b) -- b -- [j,j]']","['B -- (X) -- nu -- [b,j]', 'B -- (b) -- b_L -- [X,j]', 'B -- (j) -- d -- [X,b]']",bbjjjX, 2j_l + 1b, 1j_l + 1b + MET, 3j_l + 2b + MET
U D_3 D,L Q_3 D_3,B,B,bjj,tbl,"['B -- (j) -- u -- [j,b]', 'B -- (j) -- d -- [j,b]', 'B -- (b) -- b -- [j,j]']","['B -- (l) -- l -- [t,b]', 'B -- (t) -- t_L -- [l,b]', 'B -- (b) -- b -- [l,t]']",tbbjjl, 2j_l + 1b, 1t + 1b + 1l, 2j_l + 1t + 2b + 1l
U D_3 D,L Q_3 D_3,B,B,bjj,bbX,"['B -- (j) -- u -- [j,b]', 'B -- (j) -- d -- [j,b]', 'B -- (b) -- b -- [j,j]']","['B -- (X) -- nu -- [b,b]', 'B -- (b) -- b_L -- [X,b]', 'B -- (b) -- b -- [X,b]']",bbbjjX, 2j_l + 1b, 2b + MET, 2j_l + 3b + MET
U D_3 D,L_3 Q D,B,B,bjj,jjX,"['B -- (j) -- u -- [j,b]', 'B -- (j) -- d -- [j,b]', 'B -- (b) -- b -- [j,j]']","['B -- (X) -- nu_tau -- [j,j]', 'B -- (j) -- q -- [X,j]', 'B -- (j) -- d -- [X,j]']",bjjjjX, 2j_l + 1b, 2j_l + MET, 4j_l + 1b + MET
U D_3 D,L_3 Q D,B,B,bjj,jjT,"['B -- (j) -- u -- [j,b]', 'B -- (j) -- d -- [j,b]', 'B -- (b) -- b -- [j,j]']","['B -- (T) -- tau_L -- [j,j]', 'B -- (j) -- q -- [T,j]', 'B -- (j) -- d -- [T,j]']",bjjjjT, 2j_l + 1b, 2j_l + 1tau, 4j_l + 1b + 1tau
U D_3 D,L_3 Q D_3,B,B,bjj,bjT,"['B -- (j) -- u -- [j,b]', 'B -- (j) -- d -- [j,b]', 'B -- (b) -- b -- [j,j]']","['B -- (T) -- tau_L -- [j,b]', 'B -- (j) -- q -- [T,b]', 'B -- (b) -- b -- [T,j]']",bbjjjT, 2j_l + 1b, 1j_l + 1b + 1tau, 3j_l + 2b + 1tau
U D_3 D,L_3 Q D_3,B,B,bjj,bjX,"['B -- (j) -- u -- [j,b]', 'B -- (j) -- d -- [j,b]', 'B -- (b) -- b -- [j,j]']","['B -- (X) -- nu_tau -- [j,b]', 'B -- (j) -- q -- [X,b]', 'B -- (b) -- b -- [X,j]']",bbjjjX, 2j_l + 1b, 1j_l + 1b + MET, 3j_l + 2b + MET
U D_3 D,L_3 Q_3 D,B,B,bjj,tjT,"['B -- (j) -- u -- [j,b]', 'B -- (j) -- d -- [j,b]', 'B -- (b) -- b -- [j,j]']","['B -- (T) -- tau_L -- [t,j]', 'B -- (t) -- t_L -- [T,j]', 'B -- (j) -- d -- [T,t]']",tbjjjT, 2j_l + 1b, 1j_l + 1t + 1tau, 3j_l + 1t + 1b + 1tau
U D_3 D,L_3 Q_3 D,B,B,bjj,bjX,"['B -- (j) -- u -- [j,b]', 'B -- (j) -- d -- [j,b]', 'B -- (b) -- b -- [j,j]']","['B -- (X) -- nu_tau -- [b,j]', 'B -- (b) -- b_L -- [X,j]', 'B -- (j) -- d -- [X,b]']",bbjjjX, 2j_l + 1b, 1j_l + 1b + MET, 3j_l + 2b + MET
