Mother,Daughter,Transitions
G,e,JJl
G,H^0,tt bb
G,H^pm,tb
G,l,JJl
G,nu,JJE
G,tau,JJT
G,tau_L,JJT
G,nu_tau,JJE
e,G,JJl
l,G,JJl
l,H^pm,l
nu,G,JJl
tau,G,JJT
tau_L,G,JJT
nu_tau,G,JJE
H^0,G,tt bb
H^pm,G,tb
H^pm,nu,l
