 G e & str. sup. & JJl 
 G H^0 & str. sup. & tt bb 
 G H^pm & str. sup. & tb 
 G l & str. sup. & JJl 
 G nu & str. sup. & JJE
 G tau & str. sup. & JJT
 G tau_L & str. sup. & JJT 
 G nu_tau & str. sup. & JJE
 e G & str. sup. & JJl
 l G & str. sup. & JJl
 l H^pm & str. sup. & l 
 nu G & str. sup. & JJl
 tau G & str. sup. & JJT
 tau_L G & str. sup. & JJT
 nu_tau G & str. sup. & JJE
 H^0 G & str. sup. & tt bb 
 H^pm G & str. sup. & tb
 H^pm nu & str. sup. & l
